"LATITUDE.MIN","LONGITUDE.MIN","ROCK.NAME","LA.PPM.","CE.PPM.","PR.PPM.","ND.PPM.","SM.PPM.","EU.PPM.","GD.PPM.","TB.PPM.","DY.PPM.","HO.PPM.","ER.PPM.","TM.PPM.","YB.PPM.","LU.PPM."
41,27,"LHERZOLITE, XENOLITH [17969]",0.246,0.794,0.128,0.651,0.223,0.084,0.3,0.056,0.365,0.082,0.238,0.037,0.242,0.037
41,27,"LHERZOLITE, XENOLITH [17969]",0.176,0.542,0.09,0.474,0.152,0.057,0.201,0.037,0.252,0.058,0.165,0.025,0.171,0.026
41,27,"LHERZOLITE, XENOLITH [17969]",0.192,0.506,0.072,0.352,0.104,0.037,0.13,0.026,0.181,0.039,0.116,0.019,0.129,0.019
41,27,"LHERZOLITE, XENOLITH [17969]",0.162,0.524,0.104,0.556,0.202,0.074,0.281,0.051,0.352,0.077,0.23,0.035,0.233,0.037
41,27,"LHERZOLITE, XENOLITH [17969]",0.175,0.629,0.124,0.667,0.232,0.089,0.317,0.062,0.402,0.092,0.246,0.041,0.279,0.042
41,27,"LHERZOLITE, XENOLITH [17969]",0.837,1.831,0.239,1.086,0.283,0.099,0.31,0.048,0.297,0.063,0.18,0.03,0.196,0.032
41,27,"LHERZOLITE, XENOLITH [17969]",2.12,4.9,0.588,2.692,0.794,0.262,0.795,0.125,0.761,0.15,0.403,0.059,0.389,0.06
41,27,"LHERZOLITE, XENOLITH [17969]",1.722,3.43,0.441,1.984,0.595,0.197,0.577,0.087,0.532,0.105,0.282,0.041,0.272,0.042
58.23,-6.8,"LHERZOLITE, SPINEL, XENOLITH [20039]",100.23,216.44,15.96,40.74,4.36,0.75,3.59,0.33,1.39,0.22,0.64,0.09,0.54,0.08
58.23,-6.8,"LHERZOLITE, SPINEL, XENOLITH [20039]",54.65,135.63,12.26,35.78,4.72,0.93,3.78,0.41,2,0.32,0.89,0.13,0.78,0.11
58.23,-6.8,"LHERZOLITE, SPINEL, XENOLITH [20039]",87.14,213.27,20.02,53.41,6.47,1.12,4.8,0.47,2.11,0.34,0.97,0.14,0.87,0.13
58.23,-6.8,"LHERZOLITE, SPINEL, XENOLITH [20039]",18.91,21.13,2.74,7.89,0.93,0.22,0.82,0.1,0.58,0.11,0.32,0.05,0.32,0.05
58.77,-2.97,"LHERZOLITE, SPINEL, XENOLITH [20039]",10.45,17.57,2,6.9,1.06,0.27,0.82,0.09,0.41,0.08,0.24,0.04,0.19,0.03
58.77,-2.97,"LHERZOLITE, SPINEL, XENOLITH [20039]",10.09,15.73,1.68,5.87,1.02,0.32,0.95,0.13,0.65,0.12,0.34,0.05,0.31,0.06
57,-5,"LHERZOLITE, SPINEL, XENOLITH [20039]",0.5,1.07,0.16,0.84,0.27,0.11,0.32,0.07,0.48,0.1,0.31,0.05,0.33,0.06
57,-5,"LHERZOLITE, SPINEL, XENOLITH [20039]",1.06,2.32,0.31,1.38,0.39,0.13,0.39,0.07,0.55,0.11,0.34,0.05,0.34,0.06
57,-5,"LHERZOLITE, SPINEL, XENOLITH [20039]",1.26,2.24,0.28,1.16,0.29,0.11,0.31,0.06,0.44,0.09,0.28,0.05,0.3,0.05
