"LATITUDE.MIN","LONGITUDE.MIN","ROCK.NAME","LA.PPM.","CE.PPM.","PR.PPM.","ND.PPM.","SM.PPM.","EU.PPM.","GD.PPM.","TB.PPM.","DY.PPM.","HO.PPM.","ER.PPM.","TM.PPM.","YB.PPM.","LU.PPM."
28.56,-19,"PHONOLITE [19993]",136,204,18.2,58.6,8.05,2.33,6.15,0.87,5.11,0.97,2.79,0.42,2.74,0.42
28.56,-19,"PHONOLITE [19993]",139,208,18.6,59.9,8.19,2.29,6.33,0.88,5.36,1,2.85,0.42,2.8,0.45
28.56,-19,"PHONOLITE [19993]",139,210,18.6,59.6,8,2.31,6.32,0.85,5.13,0.96,2.72,0.42,2.71,0.42
28.56,-19,"PHONOLITE [19993]",137,204,17.9,56.9,7.74,2.22,5.91,0.83,4.99,0.96,2.7,0.41,2.72,0.42
28.56,-19,"PHONOLITE [19993]",137,205,18.1,57.9,7.99,2.22,6.15,0.82,4.9,0.98,2.72,0.44,2.7,0.43
28.56,-19,"PHONOLITE [19993]",126,191,16.6,51.2,7.61,2.25,5.76,0.77,4.45,0.85,2.52,0.41,2.48,0.35
28.56,-19,"PHONOLITE [19993]",139,204,17.8,53,7.79,2.22,5.74,0.79,4.53,0.87,2.41,0.39,2.36,0.35
40.9949,124.3907,"PHONOLITE [20006]",45.8,96.7,11.7,43.6,8.46,2.41,5.15,0.66,3.36,0.55,1.25,0.19,1.26,0.21
40.9949,124.3907,"PHONOLITE [20006]",274,396,35.8,104,16,3.88,10.8,1.36,6.94,1.24,2.94,0.45,2.83,0.39
40.9949,124.3907,"PHONOLITE [20006]",212,393,42.1,148,23.8,5.72,14.9,1.62,7.67,1.16,2.58,0.34,2.01,0.29
40.9949,124.3907,"PHONOLITE [20006]",276,467,48,163,23.5,5.5,14.4,1.49,6.97,1.1,2.47,0.33,1.98,0.3
40.9949,124.3907,"PHONOLITE, PSEUDOLEUCITE [20006]",201,353,37.9,134,25,6.42,16.2,2,9.95,1.57,3.5,0.49,2.92,0.43
40.9949,124.3907,"PHONOLITE, PSEUDOLEUCITE [20006]",371,465,39,122,18.3,4.15,12,1.2,5.51,0.82,1.67,0.24,1.44,0.19
-32.6928,-68.9967,"PHONOLITE [20186]",76.4,149,17.1,67.4,13.3,4,10.9,1.5,7.6,1.4,4,0.6,3.6,0.5
-14,48,"PHONOLITE [20197]",153,204,15.3,39,5.3,1.2,5.3,0.9,6.2,1.4,4.9,0.9,6.5,1.3
-14,48,"PHONOLITE [20197]",107.1,159.8,14.1,42.3,6,1.9,5,0.7,4.3,0.9,2.6,0.4,3,0.5
40.795,14.163,"PHONOLITE [20123]",72.35,132.5,13.18,50.16,8.88,2.053,6.813,0.937,5.03,0.904,2.553,0.387,2.622,0.404
40.795,14.163,"PHONOLITE [20123]",68.49,126.4,12.79,49.02,8.782,2.15,6.795,0.93,4.898,0.887,2.435,0.37,2.497,0.378
39.2,44,"PHONOLITE [20288]",86.6,161.6,15.77,50.7,8.9,1.82,9.02,1.55,9.65,2.23,7.26,1.21,7.87,1.21
39.2,44,"PHONOLITE [20288]",48.4,108.7,12.7,49.1,9.7,2.75,9.3,1.47,8.19,1.7,4.98,0.77,4.81,0.74
39.2,44,"PHONOLITE [20288]",55.7,113.9,12.03,41.2,7.9,2.5,8.11,1.39,8.29,1.76,5.5,0.91,5.72,0.91
39.2,44,"PHONOLITE [20288]",56.6,114.4,12.44,45.3,8.63,2.48,8.2,1.45,8.68,1.83,5.87,0.96,6.19,0.97
39.2,44,"PHONOLITE [20288]",56.9,114.8,12.46,45.4,8.6,2.56,8.32,1.46,8.74,1.85,5.7,0.92,6.15,0.97
39.2,44,"PHONOLITE [20288]",66.8,132.6,14.07,51.2,9.57,1.91,9.15,1.71,10.69,2.33,7.71,1.25,8.59,1.33
39.2,44,"PHONOLITE [20288]",72.4,144,15.24,53.6,10.42,1.86,9.78,1.92,11.87,2.65,8.62,1.47,9.66,1.51
39.2,44,"PHONOLITE [20288]",128.9,256.2,26.78,95.2,17.65,1.57,17.05,3.39,21.76,4.78,15.17,2.59,17.48,2.73
39.2,44,"PHONOLITE [20288]",134.6,268.1,27.87,95.5,18.41,1.52,17.88,3.54,22.35,5.11,16.33,2.79,18.86,2.9
39.2,44,"PHONOLITE [20288]",134.1,269.3,27.99,96.7,18.71,1.51,17.77,3.52,22.3,5.09,16.21,2.74,18.31,2.86
39.2,44,"PHONOLITE [20288]",69.8,136.6,14.18,50.8,9.19,1.44,8.56,1.68,10.62,2.36,7.76,1.31,9.1,1.4
39.2,44,"PHONOLITE [20288]",56.7,108.9,11.14,38,7.05,1.94,7.37,1.23,7.67,1.71,5.21,0.84,5.4,0.86
39.2,44,"PHONOLITE [20288]",67.2,132,13.89,50,9.28,1.95,9.8,1.7,10.84,2.42,7.6,1.22,8.23,1.25
39.2,44,"PHONOLITE [20288]",96.9,184.4,19.15,69.8,12.53,1.59,12.65,2.43,14.69,3.48,11.67,1.97,12.82,2.08
39.2,44,"PHONOLITE [20288]",115.9,224.4,22.44,74.3,14.44,1.86,14.56,2.86,18.98,4.3,13.85,2.41,16.94,2.45
39.2,44,"PHONOLITE [20288]",116.2,216,22.95,79.1,14.31,1.99,14.49,2.94,18.97,4.56,15.47,2.54,16.61,2.66
28,-16.25,"PHONOLITE [4846]",106,152,12.7,40,6.7,1.78,5.35,0.87,5.01,1.04,3.04,0.49,3.39,0.55
28,-16.25,"PHONOLITE [4846]",115,200,20.3,74,13.2,3.67,10.8,1.62,8.57,1.6,3.98,0.56,3.22,0.49
28.3,-16.6,"PHONOLITE [4846]",89,101,7.7,21,3.04,0.71,2.63,0.43,2.57,0.58,1.82,0.33,2.44,0.41
28.3,-16.6,"PHONOLITE [4846]",89,116,9.7,29,4.76,1.24,3.91,0.63,3.52,0.72,2.18,0.35,2.46,0.42
28.3,-16.6,"PHONOLITE [4846]",78,94,6.7,18,2.58,0.57,1.97,0.35,2.28,0.54,1.72,0.32,2.29,0.41
28.3,-16.6,"PHONOLITE [4846]",85,107,7.6,21,3.04,0.72,2.35,0.39,2.49,0.55,1.77,0.32,2.25,0.4
28.3,-16.6,"PHONOLITE [4846]",155,223,18.3,53,8.44,1.32,6.66,1.21,8.08,1.72,5.24,0.85,5.76,0.93
