"LATITUDE.MIN","LONGITUDE.MIN","ROCK.NAME","LA.PPM.","CE.PPM.","PR.PPM.","ND.PPM.","SM.PPM.","EU.PPM.","GD.PPM.","TB.PPM.","DY.PPM.","HO.PPM.","ER.PPM.","TM.PPM.","YB.PPM.","LU.PPM."
40.84568,14.39241,"PHONOLITIC-TEPHRITE [20059]",42.6,91.5,11,44.9,8.46,1.96,6.45,0.94,4.67,0.82,2.21,0.34,1.94,0.31
40.84568,14.39241,"PHONOLITIC-TEPHRITE [20059]",41.3,90.6,10.7,42.2,8.36,1.97,6.72,0.97,4.39,0.88,2.27,0.34,2.09,0.3
40.84568,14.39241,"PHONOLITIC-TEPHRITE [20059]",37,72.7,8.66,35.2,6.64,1.72,6.04,0.71,3.75,0.72,1.78,0.25,1.54,0.23
40.84454,14.39352,"PHONOLITIC-TEPHRITE [20059]",53.3,114.9,13.6,52,10.55,2.54,8.12,1.16,5.32,0.95,2.67,0.37,2.24,0.32
39.2,44,"PHONOLITIC-TEPHRITE [20288]",57.6,118.6,13.57,55,10.32,2.82,9.85,1.59,9.28,1.88,5.38,0.87,5.71,0.83
28.5,-18,"PHONOLITIC-TEPHRITE [4795]",134.2,244.5,26.94,96.57,16.4,4.68,13.6,1.75,8.74,1.58,4.1,0.53,3.3,0.45
28.5,-18,"PHONOLITIC-TEPHRITE [4795]",145.1,264.8,31.19,111.9,18.62,5.05,13.73,1.9,9.58,1.69,4.48,0.58,3.68,0.53
28.3,-16.6,"PHONOLITIC-TEPHRITE [4846]",87,146,14.4,52,9.97,2.95,8.28,1.25,6.88,1.31,3.33,0.46,2.82,0.42
28.3,-16.6,"PHONOLITIC-TEPHRITE [4846]",89,147,14.3,51,9.73,2.82,8.1,1.22,6.8,1.27,3.21,0.46,2.77,0.41
53,90,"PHONOLITIC-TEPHRITE [20388]",30.9,62.4,7.8,32.9,6.03,1.59,5.3,0.71,3.93,0.89,2.33,0.36,2.16,0.32
53,90,"PHONOLITIC-TEPHRITE [20388]",37.4,80.8,9.7,41.1,7.59,2.05,6.6,0.89,5.33,1.06,3,0.41,2.72,0.44
50.6651,7.2519,"PHONOLITIC-TEPHRITE [20410]",74.2,140,15.8,56.8,10.1,2.82,7.74,1,5.1,0.887,2.25,0.293,1.86,0.259
40,117,"PHONOLITIC-TEPHRITE [18796]",35.8,67.3,7.98,30.1,5.54,1.63,4.87,0.62,3.39,0.63,1.67,0.23,1.49,0.2
49.821,123.9231,"PHONOLITIC-TEPHRITE [20923]",94.7607573774095,162.619978987971,18.2340096073926,68.1735419793524,11.3679918152652,3.37446056051656,9.48012616786329,1.05952949344586,5.13242087189407,0.801374036714475,1.94929105812685,0.228826878395926,1.26545487375812,0.164502148674747
25.38526,101.28913,"PHONOLITIC-TEPHRITE [20926]",168,341,40.2,154,27.5,6.94,22.5,2.43,11.6,1.84,4.48,0.53,3.08,0.44
26.16558,100.19154,"PHONOLITIC-TEPHRITE [20926]",39,84,9.8,40,7.6,1.87,7.06,0.87,4.78,0.88,2.45,0.32,2.07,0.31
26.17,100.19,"PHONOLITIC-TEPHRITE [20926]",23,48,5.8,23,4.7,1.33,4.86,0.63,3.69,0.69,1.83,0.24,1.46,0.21
50.41523,12.9859,"PHONOLITIC-TEPHRITE [21063]",159.9,326.2,36.01,127.4,19.7,5.4,13.98,1.8,9.63,1.67,4.33,0.54,3.47,0.46
50.41523,12.9859,"PHONOLITIC-TEPHRITE [21063]",166.9,327,35.7,126.65,19.3,5.22,14.17,1.79,9.53,1.66,4.31,0.54,3.42,0.45
-56.8333,68.0933,"PHONOLITIC-TEPHRITE [5171]",72,162,19,80,15,3.4,13,1.6,9.7,1.8,4.8,0.52,3.4,0.43
-18.96,46.91,"PHONOLITIC-TEPHRITE [22141]",166,344,37.5,145,25,7.4,20.2,2.6,12.7,2.1,5.3,0.67,3.9,0.57
-18.96,46.91,"PHONOLITIC-TEPHRITE [22141]",176,362,38.2,146,25.4,7.5,19.6,2.6,12.5,2.1,5.1,0.67,4,0.61
37.4801,130.8531,"PHONOLITIC-TEPHRITE [22239]",80.2,269,16.6,60.5,10.4,3.34,8.18,1.09,5.81,1.01,2.67,0.33,2.12,0.31
37.4801,130.8531,"PHONOLITIC-TEPHRITE [22239]",81.3,272,16.6,60.8,10.5,3.47,8.3,1.09,5.87,1.03,2.67,0.33,2.08,0.3
37.4801,130.8531,"PHONOLITIC-TEPHRITE [22239]",78.9,224,15.3,54.1,8.95,2.91,7.04,0.95,4.96,0.89,2.36,0.29,1.92,0.27
37.4801,130.8531,"PHONOLITIC-TEPHRITE [22239]",71.2,135,14.7,53.7,8.89,3.2,7.02,0.94,4.85,0.85,2.33,0.29,1.84,0.25
37.5262,130.8583,"PHONOLITIC-TEPHRITE [22239]",84,273,16.3,56.1,9.13,3.12,7.2,0.98,5.32,0.93,2.51,0.32,2.08,0.29
37.5262,130.8583,"PHONOLITIC-TEPHRITE [22239]",77.9,266,15.9,57,9.25,3.08,7.54,0.98,5.24,0.92,2.43,0.31,1.95,0.27
-13.25,48.27,"TEPHRITE [15879] / PHONOLITIC-TEPHRITE [4837]",78.62,140.6,14.28,53.35,9.89,2.96,7.96,1.12,5.91,1.15,2.74,0.39,2.35,0.36
49.5356,123.1744,"PHONOLITIC-TEPHRITE [22379]",70.5,124,14.5,58.3,10.6,3.37,8.81,1.22,6.01,0.93,2.38,0.28,1.58,0.2
49.2194,125.7928,"PHONOLITIC-TEPHRITE [22379]",80.8,147,17,66.2,11,3.27,8.7,1.15,5.41,0.82,2.11,0.24,1.32,0.17
48.7356,126.1547,"PHONOLITIC-TEPHRITE [22379]",94.9,171,20,76.5,12.8,3.8,10.3,1.37,6.59,1.01,2.6,0.3,1.63,0.22
48.7372,126.1531,"PHONOLITIC-TEPHRITE [22379]",97.3,174,20.2,77.5,12.9,3.81,10.3,1.39,6.64,1.02,2.6,0.3,1.65,0.22
48.6828,126.0842,"PHONOLITIC-TEPHRITE [22379]",79.2,143,17.2,64.7,11.2,3.39,9.1,1.22,5.74,0.88,2.41,0.29,1.65,0.23
48.6914,126.0875,"PHONOLITIC-TEPHRITE [22379]",84.4,151,17.3,66.7,10.9,3.31,8.96,1.2,5.84,0.89,2.34,0.27,1.53,0.21
48.1869,99.8642,"PHONOLITIC-TEPHRITE [22379]",68.2,122,14.1,56.9,10.3,3.22,8.53,1.2,5.84,0.9,2.21,0.26,1.39,0.19
48.1733,99.7261,"PHONOLITIC-TEPHRITE [22379]",77.7,138,16.1,63.8,11.4,3.56,9.39,1.33,6.35,0.95,2.33,0.27,1.41,0.18
48.1944,99.8347,"PHONOLITIC-TEPHRITE [22379]",45.8,85.8,10.3,42.3,8.16,2.63,7.06,1.06,5.4,0.88,2.33,0.29,1.62,0.23
48.1656,99.8922,"PHONOLITIC-TEPHRITE [22379]",63.9,115,13.4,53.1,9.7,3.06,8.04,1.15,5.51,0.86,2.16,0.24,1.4,0.18
48.1569,99.9883,"PHONOLITIC-TEPHRITE [22379]",63.4,114,13.4,53.4,9.74,3.08,8.09,1.14,5.58,0.86,2.18,0.25,1.39,0.18
48.1983,100.02,"PHONOLITIC-TEPHRITE [22379]",79.2,141,16.3,64,11.5,3.57,9.47,1.29,6.28,0.94,2.31,0.25,1.38,0.18
38.7914,47.8531,"PHONOLITIC-TEPHRITE [22469]",45.62,83.93,10,21.4,4.8,2.16,6.96,0.95,5.13,0.96,2.59,0.38,2.48,0.29
38.7611,47.805,"PHONOLITIC-TEPHRITE [22469]",47.45,87.78,10.68,43.28,8.96,2.65,8.04,1.07,5.73,1.06,2.79,0.4,2.61,0.4
38.6839,47.5536,"PHONOLITIC-TEPHRITE [22469]",46.16,85.24,10.27,41.59,8.68,2.52,7.73,1.03,5.48,1,2.66,0.38,2.46,0.38
38.6942,47.5519,"PHONOLITIC-TEPHRITE [22469]",46.72,81.65,9.37,35.71,6.88,2.13,6,0.81,4.33,0.8,2.17,0.32,2.12,0.33
38.6919,47.5539,"PHONOLITIC-TEPHRITE [22469]",46.32,82.81,9.57,36.41,7.02,1.94,6.12,0.81,4.41,0.83,2.24,0.33,2.2,0.34
39.4587,46.24037,"PHONOLITIC-TEPHRITE [22764]",99,193,21.4,84,12.7,3.3,8.7,1.2,4.3,0.8,2,0.3,2,0.3
39.68745,45.91403,"PHONOLITIC-TEPHRITE [22764]",97,194,21.8,86,13.2,3.3,8.9,1.2,4.5,0.8,2.1,0.3,1.9,0.3
39.50771,46.20948,"PHONOLITIC-TEPHRITE [22764]",98,193,22.7,82,11.7,3,7.6,0.9,4.6,0.7,1.9,0.3,1.7,0.2
-72.700733,165.556922,"PHONOLITIC-TEPHRITE [22774]",91.3195699988936,166.418652841677,18.4412603848269,67.868538505274,11.3686849624615,3.51957015806475,9.58759960933745,1.183820809404,6.85811856361218,1.23300619557143,3.30074062570912,0.437984390109496,2.86357438391638,0.407481963161251
-72.6878371462,165.606623,"PHONOLITIC-TEPHRITE [22774]",90.3816156957227,163.654691040114,18.1004785812107,66.6031191615642,11.0999945815823,3.39319894765456,9.61665951800724,1.16284711744055,6.60155019264313,1.20110155052689,3.25826403517171,0.43648925293148,2.81117622739659,0.402319206099386
-72.6566692069,165.568003,"PHONOLITIC-TEPHRITE [22774]",95.1824203070202,172.731600383625,18.7911142207169,68.4250385248686,11.3267887475147,3.55748853548227,10.1678989226815,1.26677512923806,7.11439308384343,1.34113203365456,3.7315799146611,0.49914945734416,3.2504790352562,0.471043969980025
-72.727103,165.539127,"PHONOLITIC-TEPHRITE [22774]",94.5557511000911,166.534401124916,17.837110798369,64.1958406031031,10.3653541491149,3.2864888789392,9.26002504857574,1.1631379813298,6.61344009281705,1.24652031932814,3.44960042088905,0.47162801008286,3.1415207627709,0.445731423375155
-72.727103,165.539127,"PHONOLITIC-TEPHRITE [22774]",85.6673952401771,153.068369614549,16.7376497591479,60.4535835859158,10.1146880598227,3.20237927329586,8.70540975067824,1.07625577572201,6.08147137265628,1.14360268055261,3.11445174118225,0.424046506139965,2.68242862055281,0.396085833712041
-72.689876,165.564903,"PHONOLITIC-TEPHRITE [22774]",100.211654270959,178.305244548512,18.952529834128,66.4026230562823,10.7171229005651,3.37280722918572,9.08562477426747,1.14623914773825,6.4787219860515,1.26399696453538,3.60053831598026,0.489185342681582,3.19624360625892,0.466897346781824
-72.6773207076,165.640141,"PHONOLITIC-TEPHRITE [22774]",83.8518681110201,151.149827987067,16.9525950708295,62.7065261002062,10.286230137725,3.08880630307074,8.90063312463966,1.09539886068569,6.151954879186,1.14939921580802,3.14607279851429,0.421364713994178,2.73701483962062,0.398206046650331
-72.640890358,165.497904,"PHONOLITIC-TEPHRITE [22774]",88.9872870669801,156.916294712296,16.6956776835517,58.7917013833627,9.24275478906335,3.2129915627819,7.99289391558736,0.995101829611906,5.61814134027366,1.0466489594417,2.96038562274583,0.408610267112548,2.63192388364462,0.383190417913587
33.1333,85.8167,"PHONOLITIC-TEPHRITE [23110]",184.1,362.7,41.37,154,22.14,5.2,15.46,1.69,7.82,1.32,3.08,0.41,2.38,0.34
33.1333,85.8167,"PHONOLITIC-TEPHRITE [23110]",187.8,364.4,41.6,152.9,21.66,5.14,15.23,1.63,7.71,1.31,3.05,0.4,2.43,0.35
-24.7,-49,"PHONOLITIC-TEPHRITE [23182]",97.1,192,20.9,76.5,12.5,3.45,9.98,1.15,5.92,1.05,2.44,0.34,1.97,0.3
61,33,"PHONOLITIC-TEPHRITE [23194]",12.9,25.3,3.43,15.1,3.09,0.67,2.89,0.41,2.44,0.47,1.34,0.18,1.12,0.19
35.951,52.109,"PHONOLITIC-TEPHRITE [23642]",100.11,192.91,22.07,74.25,11.03,3.45,10.91,1.13,4.96,0.84,2.38,0.29,1.76,0.29
