"LATITUDE.MIN","LONGITUDE.MIN","ROCK.NAME","LA.PPM.","CE.PPM.","PR.PPM.","ND.PPM.","SM.PPM.","EU.PPM.","GD.PPM.","TB.PPM.","DY.PPM.","HO.PPM.","ER.PPM.","TM.PPM.","YB.PPM.","LU.PPM."
65.8,-16.97,"PICRITE [4692]",0.54,1.84,0.36,2.31,1,0.45,1.72,0.32,2.2,0.48,1.41,0.22,1.45,0.23
21,104,"PICRITE [20175]",0.8,2.3,0.4,2.1,0.82,0.45,1.39,0.3,2.08,0.46,1.28,0.2,1.24,0.19
11.4878,39.2403,"PICRITE [20330]",30.8,74,10.3,45,10,2.98,8.94,1.49,6.63,1.25,2.97,0.42,2.36,0.33
11.8242,39.5544,"PICRITE [20330]",34,79.6,11.3,49.7,11.6,3.48,10.3,1.78,8.11,1.54,3.68,0.52,2.93,0.41
11.8956,39.4617,"PICRITE [20330]",27.3,62.7,9.5,42,9.5,3.05,10.8,1.44,5.57,1.01,2.61,0.33,2.03,0.26
12.4431,39.5433,"PICRITE [20330]",20.4,46.7,6.6,28.7,6.3,1.9,5.52,0.91,3.68,0.68,1.54,0.24,1.14,0.18
15.0881,43.7278,"PICRITE [20330]",32.8,72.7,8.74,35.9,6.84,2.12,6.66,0.85,4.09,0.71,1.91,0.23,1.36,0.18
15.1028,43.7111,"PICRITE [20330]",46.2,105,12.7,52.4,9.94,3.01,9.62,1.23,5.81,0.99,2.54,0.29,1.71,0.22
19.74,-155.05,"THOLEIITIC BASALT [7011] / BASALT [6966] / PICRITE [13124]",8.39,22.66,3.39,16.4,4.37,1.51,4.84,0.759,4.2,0.78,2.04,0.27,1.63,0.22
19.74,-155.05,"THOLEIITIC BASALT [7011] / BASALT [6966] / PICRITE [13124] / NOT GIVEN [15719]",9.27,22.8,3.36,15.9,4.17,1.43,4.44,0.72,4.09,0.803,2.08,0.276,1.71,0.242
19.74,-155.05,"THOLEIITIC BASALT [7011] / BASALT [6966] / NOT GIVEN [21778] / PICRITE [13124]",8.13,21.3,2.96,13.96,3.64,1.28,4.2,0.63,3.7,0.69,1.84,0.267,1.6,0.2
19.74,-155.05,"THOLEIITIC BASALT [7011] / BASALT [6966] / PICRITE [13124] / NOT GIVEN [21778]",6.19,15.7,2.52,12.2,3.28,1.13,3.61,0.591,3.26,0.63,1.62,0.232,1.34,0.188
19.74,-155.05,"THOLEIITIC BASALT [7011] / BASALT [6966] / PICRITE [13124]",8.99,22.8,3.31,16.2,4.23,1.48,4.6,0.752,4.23,0.818,2.03,0.292,1.7,0.232
19.74,-155.05,"THOLEIITIC BASALT [7011] / BASALT [6966] / PICRITE [13124]",5,13.28,1.97,9.38,2.65,0.92,3.05,0.48,2.8,0.53,1.42,0.19,1.14,0.16
19.74,-155.05,"THOLEIITIC BASALT [7011] / BASALT [6966] / PICRITE [13124]",6.5,16.98,2.57,12.49,3.47,1.22,4.05,0.64,3.74,0.72,1.92,0.26,1.51,0.22
51.5,103.5,"PICRITE [20386]",8.03,20,2.61,11.32,3.02,0.87,2.63,0.44,2.94,0.64,1.79,0.26,1.5,0.26
51.5,103.5,"PICRITE [20386]",10.63,24.18,2.78,12.01,3.78,1.56,3.83,0.72,5.38,1.31,3.52,0.49,2.93,0.51
51.5,103.5,"PICRITE [20386]",10.34,23.59,2.67,11.37,3.01,0.71,2.45,0.37,2.34,0.5,1.43,0.22,1.34,0.23
51.5,103.5,"PICRITE [20386]",2.29,6.78,1.14,5.7,1.71,0.59,1.74,0.31,2.29,0.51,1.54,0.23,1.32,0.21
51.5,103.5,"PICRITE [20386]",9.58,19.07,2.38,10.48,3.11,1.04,2.8,0.48,2.98,0.61,1.69,0.26,1.54,0.27
51.5,103.5,"PICRITE [20386]",16.19,32.78,4.01,17.12,4.12,1.02,3.13,0.48,3.3,0.73,2.08,0.29,1.67,0.26
50,81,"PICRITE [20389]",11,24,3.2,13,2.5,0.7,2.1,0.3,1.8,0.3,0.8,0.1,0.8,0.1
50,81,"PICRITE [20389]",13,26,3.4,15.91,3.07,0.7,2.3,0.3,1.7,0.4,0.9,0.1,0.7,0.1
50,81,"PICRITE [20389]",10,23,3.2,14,2.7,0.8,2.4,0.3,1.7,0.4,1,0.1,0.9,0.1
12.117,-61.722,"PICRITE [4679]",5.6,12.8,1.8,8.6,2.3,0.8,2.6,0.5,2.7,0.6,1.6,0.3,1.5,0.3
