"LATITUDE.MIN","LONGITUDE.MIN","ROCK.NAME","LA.PPM.","CE.PPM.","PR.PPM.","ND.PPM.","SM.PPM.","EU.PPM.","GD.PPM.","TB.PPM.","DY.PPM.","HO.PPM.","ER.PPM.","TM.PPM.","YB.PPM.","LU.PPM."
-21,-57,"PYROXENITE [19975]",9.4,15.7,2.49,9.2,2.37,0.73,2.61,0.43,2.98,0.56,1.63,0.24,1.55,0.22
-21,-57,"PYROXENITE [19975]",14.7,28.5,4.14,17.1,4.37,1.35,4.93,0.84,5.28,1.02,3.04,0.5,3.25,0.5
40.911,124.5491,"PYROXENITE [20006]",180,372,46.3,192,33.1,7.46,20.6,2.05,8.58,1.16,2.24,0.24,1.3,0.18
32,36,"PYROXENITE, GARNET [20029]",0.8,1.8,0.2,1,0.26,0.15,0.54,0.11,0.78,0.18,0.64,0.09,0.64,0.08
68,27,"PYROXENITE [20106]",1.43,4.03,0.68,3.46,1.25,0.35,1.85,0.35,2.06,0.43,1.16,0.18,1.12,0.17
68,27,"PYROXENITE [20106]",0.41,1.63,0.32,1.91,0.89,0.12,1.24,0.21,1.44,0.3,0.79,0.11,0.71,0.11
68,27,"PYROXENITE [20106]",0.88,1.73,0.29,1.97,0.67,0.14,1.32,0.22,1.81,0.35,0.87,0.13,0.67,0.1
-32.6928,-68.9967,"PYROXENITE [20236]",30.4,75.2,11.5,55.7,13.1,4.13,11.4,1.5,6.2,0.9,2.3,0.28,1.6,0.2
-32.6928,-68.9967,"PYROXENITE [20236]",25.2,63.6,8.76,47,10.7,3.19,10.1,1.03,5.39,0.79,1.97,0.2,1.3,0.17
30.2088,115.4958,"PYROXENITE [20206]",1.93,3.9,0.723,3.87,1.23,0.257,1.44,0.248,1.52,0.288,0.775,0.102,0.62,0.09
30.2094,115.4953,"PYROXENITE [20206]",0.554,1.32,0.194,0.907,0.211,0.045,0.189,0.032,0.19,0.035,0.109,0.016,0.117,0.017
30.2097,115.495,"PYROXENITE [20206]",0.874,1.8,0.403,2.23,0.774,0.224,0.942,0.165,1.03,0.197,0.548,0.076,0.464,0.057
30.2071,115.4972,"PYROXENITE [20206]",1.38,4.26,0.805,4.61,1.58,0.289,1.8,0.324,1.96,0.345,0.982,0.14,0.795,0.107
30.2059,115.4993,"PYROXENITE [20206]",2.42,2.77,0.677,3.75,1.07,0.189,1.43,0.233,1.43,0.28,0.797,0.102,0.639,0.099
30.2079,115.5008,"PYROXENITE [20206]",1.85,3.15,0.609,3.27,0.951,0.301,1.21,0.201,1.24,0.24,0.687,0.086,0.565,0.094
30.2175,115.4901,"PYROXENITE [20206]",1.19,2.73,0.504,2.48,0.775,0.219,0.94,0.159,1.02,0.18,0.538,0.073,0.453,0.062
30.2177,115.4897,"PYROXENITE [20206]",2.02,4.37,0.65,3.25,0.926,0.206,1.08,0.181,1.13,0.21,0.577,0.082,0.537,0.078
30.2189,115.4878,"PYROXENITE [20206]",1.27,4.12,0.87,4.93,1.66,0.424,2.13,0.35,2.24,0.426,1.2,0.173,1.04,0.149
30.1948,115.5061,"PYROXENITE [20206]",1.74,1.95,0.553,2.89,0.83,0.209,1,0.165,1.02,0.192,0.528,0.074,0.432,0.065
30.1948,115.5035,"PYROXENITE [20206]",1.25,1.98,0.497,2.51,0.77,0.267,0.942,0.164,1,0.19,0.538,0.081,0.497,0.077
26.92,9.37,"PYROXENITE, XENOLITH [20273]",11.3,31.1,4.29,21.3,4.56,1.44,4.09,0.5,2.57,0.4,0.85,0.1,0.57,0.08
26.92,9.37,"PYROXENITE, XENOLITH [20273]",3.3,9.59,1.5,8.15,2.05,0.67,2.09,0.27,1.47,0.24,0.51,0.06,0.34,0.05
