"LATITUDE.MIN","LONGITUDE.MIN","ROCK.NAME","LA.PPM.","CE.PPM.","PR.PPM.","ND.PPM.","SM.PPM.","EU.PPM.","GD.PPM.","TB.PPM.","DY.PPM.","HO.PPM.","ER.PPM.","TM.PPM.","YB.PPM.","LU.PPM."
41,37,"RHYODACITE [20174]",33.4,59.5,6.61,22.6,4.26,0.91,4.03,0.61,3.28,0.7,2.22,0.34,2.35,0.38
41,37,"RHYODACITE [20174]",31.5,57.5,6.32,21.8,3.98,0.88,3.86,0.57,3.03,0.65,2.03,0.31,2.12,0.36
41,37,"RHYODACITE [20174]",33.8,55.9,5.82,18.8,2.76,0.38,2.37,0.31,1.74,0.39,1.37,0.22,1.64,0.28
41,37,"RHYODACITE [20174]",29.8,54.6,5.54,17.8,3.02,0.45,2.8,0.42,2.34,0.52,1.71,0.29,1.98,0.33
41,37,"RHYODACITE [20174]",26.5,43.9,4.59,14.4,2.33,0.37,2.08,0.32,1.88,0.43,1.5,0.25,1.81,0.3
41,37,"RHYODACITE [20174]",32.7,56.3,5.86,18.4,2.61,0.39,2.38,0.32,1.8,0.42,1.42,0.23,1.68,0.27
41,37,"RHYODACITE [20174]",32.4,57.4,6.82,24.2,4.27,1,4.1,0.6,3.13,0.68,2.05,0.32,2.22,0.36
53.93,158.07,"RHYODACITE [4788]",10.9,22.6,2.9,11.4,2.3,0.63,1.8,0.26,1.4,0.26,0.72,0.11,0.65,0.1
53.93,158.07,"RHYODACITE [4788]",14.5,31.7,4.3,16,3.1,0.77,2.2,0.35,2,0.41,1.24,0.2,1.41,0.23
53.93,158.07,"RHYODACITE [4788]",14.5,29.1,3.8,13,2.4,0.5,1.7,0.27,1.5,0.28,0.84,0.13,0.89,0.13
53,90,"RHYODACITE [20388]",53.4,105.6,13.5,56.6,11.86,2.77,10.5,1.61,9.87,2.02,5.9,0.88,5.89,0.92
53,90,"RHYODACITE [20388]",58.6,144.5,15.6,66.8,12.69,3.3,10.9,1.51,9.19,1.9,5.69,0.82,5.49,0.88
55,149,"RHYODACITE [20393]",12.35,28.07,3.48,14.78,2.91,0.92,3.15,0.39,2.16,0.39,1.14,0.14,1.01,0.15
35.7886,46.0936,"RHYODACITE [20452]",8.5,19.8,2.57,10.2,2.67,0.71,3.72,0.67,4.65,1.01,3.43,0.55,3.65,0.58
23.8,-99.2,"RHYODACITE [20439]",16.7,34.1,4.36,18.1,3.9,0.965,3.32,0.55,3.35,0.68,2,0.303,1.96,0.308
23.8,-99.2,"RHYODACITE [20439]",19.5,41.9,4.59,19.2,4.12,0.964,3.72,0.68,4.28,0.86,2.55,0.384,2.59,0.432
23.8,-99.2,"RHYODACITE [20439]",13.7,29.3,3.16,12.7,2.33,0.523,2.18,0.34,1.99,0.4,1.17,0.182,12.5,0.212
24.99,-99.8,"RHYODACITE [20439]",22.3,50.5,6.74,26.3,5.92,0.793,5.41,0.93,5.54,1.13,3.4,0.545,3.62,0.539
24.78,-100.03,"RHYODACITE [20439]",22.4,56.5,8.35,34.7,8.1,1.05,7.3,1.3,7.5,1.6,5,0.8,5.1,0.74
24.78,-100.03,"RHYODACITE [20439]",26,61.3,8.82,37.4,9.1,1.91,9,1.6,9.3,1.9,5.8,0.9,5.8,0.84
24.98,-100.06,"RHYODACITE [20439]",12.6,29,3.59,14.5,3.5,0.3,3.2,0.6,3.9,0.7,2.1,0.31,1.9,0.26
11.3,-8.4,"RHYODACITE [20588]",11.3,19.4,2.2,7.7,1.7,0.5,1.5,0.3,1.4,0.3,0.7,0.1,0.6,0.1
41.5569,72.1467,"RHYODACITE [20621]",81.7,141,14.8,52,8.91,1.81,7.37,0.92,5.58,1.1,3.23,0.41,2.92,0.5
31.5,92,"RHYODACITE [20760]",76.84,134.1,16.83,52.95,9.47,0.39,8.7,1.48,8.36,1.65,4.91,0.93,5.28,0.94
31.5,92,"RHYODACITE [20760]",53.85,111.6,13.12,43.92,8.11,0.32,7.68,1.22,7.01,1.4,4.27,0.85,5.03,0.99
8.479362,-80.743692,"RHYODACITE [20839]",11.2,21.2,2.49,9.21,1.84,0.35,2.05,0.31,2.09,0.47,1.56,0.24,1.83,0.29
41,115,"RHYODACITE [20851]",35.3,67.3,6.7,24,3.6,1.12,2.97,0.38,2.02,0.36,1.02,0.14,0.87,0.13
41,115,"RHYODACITE [20851]",41.9,87.8,10.1,39.6,7.21,2.13,5.71,0.83,4.57,0.87,2.51,0.35,2.2,0.34
41,115,"RHYODACITE [20851]",39.1,79.1,8.7,32.9,5.89,1.55,5.02,0.74,4.21,0.8,2.34,0.34,2.17,0.32
41,115,"RHYODACITE [20851]",28.3,51.9,5.4,20,3.36,0.98,2.89,0.4,2.2,0.4,1.15,0.16,1.02,0.16
41,115,"RHYODACITE [20851]",64,115,11.5,40,6.03,1.31,4.56,0.56,2.82,0.49,1.38,0.18,1.15,0.17
41,115,"RHYODACITE [20851]",51.5,88.6,9.2,33.4,5.21,1.37,3.96,0.48,2.29,0.4,1.11,0.14,0.88,0.13
41,115,"RHYODACITE [20851]",33.9,74,7.1,27.2,4.69,1.62,3.88,0.57,3.16,0.59,1.7,0.23,1.38,0.22
41,115,"RHYODACITE [20851]",67.8,125,14.3,51.5,7.89,1.5,6.83,0.87,4.49,0.86,2.22,0.31,1.91,0.29
41,115,"RHYODACITE [20851]",34.6,60.8,7,24.9,4.51,1.47,4,0.55,3.01,0.59,1.6,0.24,1.49,0.24
18.91326,-70.21689,"RHYODACITE [20891]",3.265,8.38,1.6,8.326,3.041,0.983,3.878,0.688,4.74,1.067,3.003,0.463,3.071,0.493
18.90886,-70.22914,"RHYODACITE [20891]",1.136,4.902,0.527,2.51,0.891,0.285,1.091,0.185,1.213,0.301,0.953,0.182,1.24,0.209
18.92226,-70.21658,"RHYODACITE [20891]",1.691,5.173,0.788,3.896,1.343,0.418,1.797,0.329,2.255,0.543,1.617,0.285,1.866,0.292
18.96793,-70.27436,"RHYODACITE [20891]",4.383,8.726,1.718,9.144,3.24,0.887,3.917,0.693,4.788,1.067,2.87,0.438,2.777,0.423
36.4,25.45,"RHYODACITE [21120]",26.3,54.5,6.26,23.8,5.48,1.07,6,1.01,6.52,1.46,4.52,0.7,4.7,0.73
36.4,25.45,"RHYODACITE [21120]",26.4,53,6.44,24.8,5.74,1.18,6.31,1.06,6.8,1.52,4.64,0.72,4.8,0.75
36.4,25.45,"RHYODACITE [21120]",28.6,59.3,7.02,26.9,6.19,1.28,6.85,1.15,7.36,1.64,5.04,0.78,5.24,0.81
36.4,25.45,"RHYODACITE [21120]",24.6,51.4,6.35,25.5,6.06,1.51,6.71,1.12,7.09,1.56,4.69,0.71,4.66,0.72
36.4,25.45,"RHYODACITE [21120]",24.6,50.3,5.98,23.3,5.44,1.37,5.98,1,6.31,1.39,4.2,0.63,4.23,0.65
36.4,25.45,"RHYODACITE [21120]",26.5,50.8,5.96,22.8,5.55,1.05,5.7,1.04,6.75,1.59,4.63,0.69,4.7,0.74
36.4,25.45,"RHYODACITE [21120]",31.3,60.2,6.98,26.8,6.48,1.23,6.65,1.22,7.98,1.88,5.48,0.81,5.57,0.88
36.4,25.45,"RHYODACITE [21120]",29.4,60.5,7.16,27.2,6.29,1.25,6.95,1.18,7.53,1.69,5.23,0.81,5.46,0.85
36.4,25.45,"RHYODACITE [21120]",29.8,61.1,7.15,27.2,6.26,1.25,6.9,1.18,7.53,1.69,5.2,0.8,5.4,0.85
36.4,25.45,"RHYODACITE [21120]",29.6,60.7,7.15,27.4,6.3,1.27,6.96,1.18,7.57,1.69,5.21,0.81,5.42,0.85
36.4,25.45,"RHYODACITE [21120]",28.4,59.1,6.93,26.6,6.15,1.15,6.74,1.16,7.42,1.66,5.17,0.8,5.41,0.85
43.3597,131.5567,"RHYODACITE [21274]",19.1,35.5,4.005,13.87,2.04,0.607,1.59,0.178,0.93,0.171,0.48,0.0753,0.52,0.08
43.2601,131.3483,"RHYODACITE [21274]",36.8,60.5,6.265,20.43,3.01,0.858,2.27,0.247,1.15,0.202,0.53,0.0716,0.49,0.075
57,-6,"RHYODACITE [7069]",3.59,87.3,10.6,1.82,7.52,1.64,7.35,0.021,0.11,1.04,2.8,0.42,2.68,0.38
31,54,"RHYODACITE [21522]",32.1,59.3,6.02,20.8,2.54,0.73,1.32,0.18,0.87,0.17,0.53,0.09,0.57,0.1
-29,-50,"RHYODACITE [21646]",48.1,94.1,11.91,46.8,9.56,1.88,10.43,1.72,10.01,2.13,6.29,0.91,5.71,0.88
-29,-50,"RHYODACITE [21646]",39.9,84.2,9.65,37.7,7.51,1.44,7.3,1.17,6.39,1.38,3.79,0.54,3.42,0.51
-29,-50,"RHYODACITE [21646]",36.6,81,9.15,35.5,7.08,1.42,6.52,1.08,6.08,1.2,3.41,0.51,3.3,0.48
-29,-50,"RHYODACITE [21646]",38.1,85.1,9.63,37.4,7.28,1.43,6.61,1.09,6.22,1.2,3.2,0.5,3.15,0.47
-29,-50,"RHYODACITE [21646]",39.8,85.7,9.8,40.2,7.75,1.54,7.35,1.18,6.59,1.36,3.88,0.57,3.6,0.54
-29,-50,"RHYODACITE [21646]",39.5,85,9.75,38.2,7.6,1.47,7.05,1.15,6.41,1.29,3.65,0.55,3.58,0.51
-29,-50,"RHYODACITE [21646]",39.3,82.9,9.75,37.2,7.59,1.54,7.81,1.25,6.9,1.52,4.24,0.61,3.76,0.58
-29,-50,"RHYODACITE [21646]",41.1,89.9,10.24,39.4,7.86,1.5,7.12,1.17,6.7,1.28,3.6,0.55,3.48,0.53
-29,-50,"RHYODACITE [21646]",39.9,86.9,9.67,36.8,7.76,1.61,7.59,1.26,7.16,1.45,4.05,0.6,3.76,0.57
-29,-50,"RHYODACITE [21646]",47.6,106.3,13.49,58.9,12.93,2.98,15.4,2.58,15.45,3.32,9.65,1.46,9.48,1.42
-29,-50,"RHYODACITE [21646]",36.2,80.6,9.09,35,7.2,1.41,6.69,1.11,6.33,1.21,3.41,0.51,3.36,0.51
33.778,84.9982,"RHYODACITE [22032]",57.95,114.1,12.73,45.55,8.208,1.687,6.815,0.947,5.33,1.077,3.026,0.455,3.059,0.475
33.778,84.9982,"RHYODACITE [22032]",56.76,112.2,12.42,44.81,8.243,1.701,6.933,0.959,5.411,1.12,3.105,0.473,3.204,0.498
33.7837,85.0229,"RHYODACITE [22032]",48.72,97.64,10.96,40.91,7.681,1.853,6.584,0.907,5.219,1.065,2.942,0.438,2.939,0.456
33.7837,85.0229,"RHYODACITE [22032]",56.42,111.3,12.71,47.71,8.895,2.078,7.453,1.02,5.718,1.166,3.18,0.476,3.177,0.495
33.792,84.9221,"RHYODACITE [22032]",28.6,56.66,6.308,21.89,4.11,0.597,3.711,0.583,3.596,0.788,2.299,0.358,2.477,0.384
33.8097,84.9246,"RHYODACITE [22032]",52.78,106.5,12.45,47.69,9.327,2.268,7.895,1.1,6.077,1.212,3.298,0.484,3.214,0.494
48.3397,-69.5566,"RHYODACITE [22071]",37.4,84.7,10.9,45.7,11.6,1.98,11.9,2.05,13.6,2.67,7.86,1.14,6.92,1.13
48.3397,-69.5571,"RHYODACITE [22071]",41.6,90.8,11.5,45.4,11.4,2.43,12,2.1,13.7,2.91,8.5,1.25,8.58,1.35
48.3371,-69.5722,"RHYODACITE [22071]",44.4,94.6,11.2,45,10,1.88,9.05,1.63,10.9,2.24,6.56,1.01,6.76,1.1
49.7,89.1,"RHYODACITE [22268]",39.8,86.6,10.2,38.2,8,1.6,8,1.3,7.8,1.6,4.5,0.7,3.9,0.6
49.7,89.1,"RHYODACITE [22268]",39,80,10.8,45,9,1.3,8.6,1.2,7.4,1.4,4.1,0.62,3.8,0.57
-32.43011,-69.10092,"RHYODACITE [22318]",37.7,77.6,9.09,36.4,7,1.93,5.4,0.8,4.2,0.8,2.6,0.37,2.7,0.48
27.8,126.9,"RHYODACITE [22419]",22.25,46.14,5.02,19.32,4.15,0.67,4.11,0.82,5.05,1.23,3.53,0.65,4.23,0.66
-6.64,-52,"RHYODACITE [15759]",28.3,50.7,5.63,19.4,2.96,0.92,2.45,0.31,1.6,0.3,0.85,0.13,0.79,0.12
-6.64,-52,"RHYODACITE [15759]",58.7,112,12,40.7,7.36,1.59,7.26,1.15,6.83,1.31,3.93,0.57,3.57,0.54
27,33,"RHYODACITE [9737]",40.35,84.21,9.91,38.12,6.3,1.15,4.81,0.69,4.07,0.72,1.98,0.32,1.79,0.3
27,33,"RHYODACITE [9737]",36.05,77.69,9.36,37.08,6.28,1.48,4.63,0.65,3.49,0.62,1.54,0.24,1.31,0.24
25.9697,116.4327,"RHYODACITE [22728]",80.8,104,16.85,57,9.04,1.71,7.15,1.03,6.12,1.11,3.01,0.46,2.88,0.44
-27,-53,"RHYODACITE [22838]",71.7,159.3,19.79,81.3,15.78,4.17,14.54,2.19,11.84,2.19,5.73,0.83,5.04,0.73
33.5,95.5,"RHYODACITE [22998]",28.3,53.7,6.46,25.1,6.11,1.1,6.61,1.09,7.36,1.59,4.96,0.74,5.07,0.78
33.5,95.5,"RHYODACITE [22998]",24.4,49.5,5.97,23.2,5.61,0.47,4.95,0.83,5.27,1.19,3.77,0.58,4.19,0.61
33.5,95.5,"RHYODACITE [22998]",26.4,49.6,5.87,21,4.48,0.35,4.26,0.75,4.88,1.11,3.71,0.58,3.81,0.57
33.5,95.5,"RHYODACITE [22998]",23.2,45.8,5.34,20.7,4.79,0.56,4.86,0.84,5.62,1.2,3.88,0.58,4.12,0.61
33.5,95.5,"RHYODACITE [22998]",25.1,48.7,5.68,21.1,5.04,0.7,5.08,0.93,6.03,1.34,4.25,0.64,4.4,0.64
33.5,95.5,"RHYODACITE [22998]",17.9,36.5,4.33,16.2,4.18,0.52,4.35,0.83,5.65,1.24,3.87,0.6,4.17,0.66
33.5,95.5,"RHYODACITE [22998]",24.9,47.7,5.62,21.2,5.25,0.91,5.48,0.95,6.15,1.31,4.11,0.61,4.23,0.65
33.5,95.5,"RHYODACITE [22998]",29.2,52,6.13,23.3,5.23,0.76,5.86,1.04,6.5,1.5,4.39,0.69,4.62,0.72
33.5,95.5,"RHYODACITE [22998]",29.5,55.9,6.58,26,5.83,0.59,5.61,0.95,6.17,1.35,4.1,0.7,4.36,0.66
33.5,95.5,"RHYODACITE [22998]",27.6,53.4,6.25,23.3,4.56,0.52,4.57,0.67,4.06,0.83,2.79,0.46,2.91,0.46
33.5,95.5,"RHYODACITE [22998]",27.2,55.1,6.34,24.8,5.5,0.55,4.82,0.73,4.47,1.01,3.21,0.48,3.39,0.56
36.592512,27.207493,"RHYODACITE [22204]",29.2180739489481,54.4733269909049,5.83470895378704,20.8438387515061,3.84667028461631,1.00998934389609,3.54535170352425,0.541696947106084,3.47947661558668,0.75023730506935,2.30586010668405,0.35991046674533,2.47678365618133,0.382042026090043
36.593885,27.205999,"RHYODACITE [22204]",27.4870114462604,53.2708201801465,5.94170082863718,22.2062605384582,4.21206190065092,1.15705888577864,3.80530923890113,0.60622843435659,3.95394195195917,0.843005307580483,2.56203744007417,0.401595033665464,2.76774521484969,0.432158857606887
36.605118,27.171981,"RHYODACITE [22204]",33.9926535943024,60.5377316430932,6.28885052981553,22.2654136234796,4.03049415132951,0.983085560232218,3.65764198130592,0.553195954324812,3.56242170752765,0.774137049758337,2.36025028490829,0.363330454074302,2.48731164403774,0.393860959351725
36.615401,27.191205,"RHYODACITE [22204]",30.720868103714,53.0268883403706,5.1907391589267,16.9474343370192,2.72008329090615,0.634638534887096,2.31729985127474,0.33974080307432,2.25699160313162,0.490598620024969,1.55335204179496,0.246971604173713,1.72980068053837,0.275972881097939
36.596238,27.165768,"RHYODACITE [22204]",26.240412678291,45.5680177302248,4.5953666181879,15.6032984069653,2.68323208918571,0.702275465672195,2.26401011182001,0.339427689150446,2.20534622499149,0.46475288294796,1.45142162071887,0.23458365810702,1.55915117773067,0.256112459892623
53.5,91,"RHYODACITE [23064]",39,83,9.6,35,7,1.68,6.2,1.03,5.57,1.24,3.05,0.54,3.59,0.61
54.5,89.5,"RHYODACITE [23064]",28,56,6.8,25,4.5,1.33,4.2,0.72,3.74,0.83,1.94,0.37,2.39,0.41
56.064,158.49,"RHYODACITE [23079]",23.98,51.45,7.64,31.4,6.77,1.33,6.6,0.96,5.88,1.21,3.72,0.54,3.87,0.6
