"LATITUDE.MIN","LONGITUDE.MIN","ROCK.NAME","LA.PPM.","CE.PPM.","PR.PPM.","ND.PPM.","SM.PPM.","EU.PPM.","GD.PPM.","TB.PPM.","DY.PPM.","HO.PPM.","ER.PPM.","TM.PPM.","YB.PPM.","LU.PPM."
63.6,34.8,"TONALITE [20191]",18,31.3,3.38,11.37,1.605,0.741,1.2,0.13,0.639,0.114,0.296,0.0391,0.27,0.0405
63.6,34.8,"TONALITE [20191]",32.2,55.4,5.72,18.68,2.402,0.812,1.72,0.181,0.894,0.161,0.423,0.0557,0.364,0.05996
63.6,34.8,"TONALITE [20191]",23.7,39.4,4.65,16.23,2.409,0.811,1.97,0.242,1.34,0.26,0.739,0.106,0.695,0.105
63.6,34.8,"TONALITE [20191]",26.2,58.6,6.19,22.66,3.86,0.889,3.17,0.42,2.43,0.474,1.36,0.195,1.28,0.1873
34.7564,131.9058,"TONALITE, HORNBLENDE-BIOTITE [19747]",24.4,49.5,5.09,19.3,4.11,1.03,3.95,0.67,4.05,0.83,2.44,0.369,2.49,0.409
48.2,-80,"TONALITE [18001]",23.8,58.4,8.5,38.4,8.9,1.66,11.08,1.85,12.96,2.63,8.56,1.21,9.06,1.25
48.2,-80,"TONALITE [18001]",34.8,97,13.47,60.5,15,1.32,15.78,2.98,18.19,3.61,11.71,1.85,11.41,1.67
48.2,-80,"TONALITE [18001]",11.9,24.5,2.84,11.5,2.6,0.92,3,0.5,3.2,0.7,2,0.33,2.2,0.35
66.27,112.8,"TONALITE, HORNBLENDE-BIOTITE [20649]",18.6,40,4.87,21,3.57,1.24,2.74,0.35,1.75,0.26,0.88,0.06,0.7,0.06
66.27,112.8,"TONALITE, HORNBLENDE-BIOTITE [20649]",32.6,76.6,9.3,39.2,7.17,1.73,5.8,0.65,3.36,0.59,1.72,0.16,1.59,0.18
66.27,112.8,"TONALITE, HORNBLENDE-BIOTITE [20649]",29.4,67.6,8.21,31.6,6.06,1.6,4.96,0.58,3.4,0.6,1.56,0.23,1.48,0.21
