"LATITUDE.MIN","LONGITUDE.MIN","ROCK.NAME","LA.PPM.","CE.PPM.","PR.PPM.","ND.PPM.","SM.PPM.","EU.PPM.","GD.PPM.","TB.PPM.","DY.PPM.","HO.PPM.","ER.PPM.","TM.PPM.","YB.PPM.","LU.PPM."
13,78,"SUBALKALI BASALT [18844]",12,25.9,3.31,14.1,3.7,1.16,4.4,0.8,5.2,1.1,3.2,0.5,3.4,0.53
13,78,"SUBALKALI BASALT [18844]",8.1,16.2,2.08,8.2,2.3,0.76,2.7,0.5,3,0.6,1.8,0.27,1.7,0.27
13,78,"SUBALKALI BASALT [18844]",6.4,13,1.69,6.8,1.9,0.68,2.4,0.4,2.6,0.5,1.6,0.24,1.5,0.24
13,78,"SUBALKALI BASALT [18844]",4.1,8.5,0.99,4.3,1.1,0.38,1.3,0.2,1.6,0.3,1,0.15,1,0.17
13,78,"SUBALKALI BASALT [18844]",7,14.5,1.64,6.8,1.6,0.55,2,0.4,2.4,0.5,1.4,0.22,1.5,0.24
13,78,"SUBALKALI BASALT [18844]",5.5,11.8,1.39,6.3,1.9,0.69,2.2,0.4,2.5,0.5,1.4,0.23,1.5,0.25
13,78,"SUBALKALI BASALT [18844]",7.4,15.3,1.8,7.3,1.9,0.56,2.2,0.4,2.5,0.5,1.5,0.24,1.7,0.26
13,78,"SUBALKALI BASALT [18844]",4.42,9.02,1.09,4.79,1.27,0.41,1.49,0.27,1.67,0.35,1.07,0.16,0.99,0.15
13,78,"SUBALKALI BASALT [18844]",11.8,25,3.12,14,3.55,1.19,3.79,0.65,3.9,0.78,2.26,0.33,2.02,0.31
69,86,"SUBALKALI BASALT [20384]",24,51,7,29,5.9,2,5.6,0.88,5.2,1.01,2.7,0.38,2.5,0.35
69,86,"SUBALKALI BASALT [20384]",47,104,13.9,57,11.5,3.2,10.9,1.63,9.5,1.82,5.1,0.75,4.3,0.63
54,70,"SUBALKALI BASALT [20384]",31,66,9,38,7.6,1.99,7.1,1.1,7.1,1.55,4.7,0.75,4.7,0.73
54,70,"SUBALKALI BASALT [20384]",48,103,14.7,59,11.4,2.6,11.5,1.64,10,2.2,6.2,1.04,6.4,0.97
54,70,"SUBALKALI BASALT [20384]",34,74,10,42,8.6,2.2,7.7,1.23,7.6,1.55,4.8,0.75,4.8,0.73
50,79,"SUBALKALI BASALT [20384]",42,88,12.1,52,10.4,2.8,8.9,1.36,8.4,1.75,5.1,0.81,5.3,0.79
28.5105,30.5503,"SUBALKALI BASALT [21062]",18.8,44.2,6.1,26.2,6.83,2.3,7.44,1.16,6.83,1.35,3.67,0.51,3.12,0.455
28.5105,30.5503,"SUBALKALI BASALT [21062]",18.2,44,5.88,27.3,6.85,2.37,7.46,1.14,6.75,1.34,3.63,0.503,3.15,0.454
28.5105,30.5503,"SUBALKALI BASALT [21062]",18.2,44.3,5.8,26.8,6.79,2.36,7.28,1.14,6.73,1.34,3.59,0.49,3.08,0.452
28.4981,30.5671,"SUBALKALI BASALT [21062]",20,46.6,6.23,29.5,7.49,2.53,8.24,1.23,7.34,1.47,3.98,0.555,3.42,0.49
28.4981,30.5671,"SUBALKALI BASALT [21062]",17.9,42.3,5.86,25.5,6.54,2.26,7.27,1.14,6.56,1.32,3.58,0.505,3.11,0.452
28.5034,30.9345,"SUBALKALI BASALT [21062]",18.4,43.2,5.62,27.3,6.86,2.34,7.54,1.12,6.8,1.35,3.66,0.5,3.11,0.447
28.5188,30.5423,"SUBALKALI BASALT [21062]",24.9,56.7,7.4,34,8.24,2.59,8.65,1.31,7.96,1.58,4.38,0.594,3.77,0.539
28.5188,30.5423,"SUBALKALI BASALT [21062]",24.5,56.4,7.32,33.9,8.16,2.57,8.69,1.33,7.95,1.59,4.42,0.604,3.75,0.545
28.3567,30.4831,"SUBALKALI BASALT [21062]",20.5,48.3,6.23,29.7,7.4,2.53,8.01,1.23,7.29,1.45,4,0.552,3.41,0.493
28.3567,30.4831,"SUBALKALI BASALT [21062]",20.5,47.6,6.41,30.1,7.45,2.51,8.16,1.22,7.4,1.46,3.97,0.555,3.46,0.5
28.3537,30.4917,"SUBALKALI BASALT [21062]",20.1,46.6,6.18,29.4,7.31,2.48,8.05,1.21,7.35,1.45,4,0.551,3.41,0.487
27.6337,30.2852,"SUBALKALI BASALT [21062]",46.8,106.2,13.48,59,13.65,4.8,14.43,2.1,12.31,2.46,6.75,0.93,5.92,0.882
27.6337,30.2852,"SUBALKALI BASALT [21062]",44.7,103.3,12.97,56.4,13.07,4.65,13.33,2,12.01,2.36,6.5,0.901,5.71,0.855
27.6337,30.2852,"SUBALKALI BASALT [21062]",47.4,106.9,14.03,59.5,13.97,4.69,14.37,2.19,12.41,2.47,6.85,0.965,6.04,0.889
28.2836,30.7517,"SUBALKALI BASALT [21062]",19,43.2,6.04,26.7,6.87,2.35,7.68,1.2,7.05,1.39,3.8,0.532,3.28,0.48
28.2836,30.7517,"SUBALKALI BASALT [21062]",18.8,44,5.91,27.7,6.97,2.38,7.93,1.2,7.17,1.44,3.9,0.527,3.31,0.472
28.6345,30.3519,"SUBALKALI BASALT [21062]",17.5,44.8,5.77,26.3,6.52,2.3,7.04,1.07,6.38,1.26,3.4,0.463,2.96,0.427
28.6345,30.3519,"SUBALKALI BASALT [21062]",19.1,45.5,6.09,28.2,7.03,2.42,7.98,1.21,7.13,1.44,3.89,0.527,3.32,0.486
28.6345,30.3519,"SUBALKALI BASALT [21062]",18.1,42.5,5.74,27.3,6.84,2.38,7.71,1.15,6.87,1.36,3.68,0.518,3.14,0.463
28.1877,30.8371,"SUBALKALI BASALT [21062]",18.8,44.6,5.86,27,6.75,2.31,7.35,1.13,6.68,1.31,3.56,0.481,3.02,0.431
28.1877,30.8371,"SUBALKALI BASALT [21062]",17.4,41.4,5.72,27,6.74,2.39,7.21,1.06,6.28,1.22,3.23,0.422,2.63,0.367
28.1877,30.8371,"SUBALKALI BASALT [21062]",17.4,42.9,5.6,25.6,6.3,2.19,6.91,1.05,6.24,1.24,3.33,0.464,2.91,0.417
28.1877,30.8371,"SUBALKALI BASALT [21062]",19.1,43.6,5.97,25.8,6.57,2.27,7.27,1.12,6.6,1.29,3.53,0.498,3.05,0.442
28.1509,30.9338,"SUBALKALI BASALT [21062]",20.7,49.7,6.91,30.1,8.03,2.63,8.65,1.34,7.72,1.51,4.12,0.573,3.53,0.508
28.1509,30.9338,"SUBALKALI BASALT [21062]",18.4,44.9,6.07,26.8,7.01,2.36,7.55,1.17,6.78,1.34,3.62,0.507,3.12,0.449
18.81,-99.2,"SUBALKALI BASALT [20646]",31,70,9.7,40.4,8.8,2.69,9.4,1.29,7.1,1.43,3.8,0.57,3.72,0.58
36,102,"SUBALKALI BASALT [22232]",18.4,40.1,5.7,25.3,6.22,2.12,6.67,1.06,6.38,1.27,3.59,0.5,3.05,0.46
36,102,"SUBALKALI BASALT [22232]",21.1,47.4,6.87,30.7,7.79,2.36,8.33,1.34,8.32,1.71,4.83,0.64,3.98,0.6
36,102,"SUBALKALI BASALT [22232]",5.83,14.7,2.28,11.1,3.28,0.96,3.91,0.67,4.32,0.94,2.64,0.38,2.37,0.35
36,102,"SUBALKALI BASALT [22232]",19.9,43.2,6.05,26.4,6.39,2,6.63,1.04,6.51,1.33,3.83,0.54,3.29,0.46
36,102,"SUBALKALI BASALT [22232]",9.92,22.5,3.37,15.1,4.03,1.46,4.28,0.7,4.31,0.9,2.49,0.34,2.17,0.31
36,102,"SUBALKALI BASALT [22232]",14.1,31.7,4.71,21.3,5.61,1.82,5.84,0.93,5.7,1.2,3.2,0.48,2.79,0.4
36,102,"SUBALKALI BASALT [22232]",4.29,10.6,1.74,10.55,2.7,1.1,3.49,0.58,3.94,0.85,2.4,0.35,2.28,0.36
36,102,"SUBALKALI BASALT [22232]",4.5,11.2,1.85,9.34,2.96,1.02,3.82,0.66,4.25,0.94,2.73,0.39,2.45,0.39
36,102,"SUBALKALI BASALT [22232]",7.34,17.7,2.63,12.6,3.57,1.39,4.9,0.82,5.09,1.11,3.28,0.44,2.9,0.43
36,102,"SUBALKALI BASALT [22232]",6.71,16.5,2.5,12,3.29,1.24,4.56,0.77,4.73,1,3.01,0.38,2.58,0.37
36,102,"SUBALKALI BASALT [22232]",7.14,17.6,2.67,13,3.61,1.37,4.65,0.83,5.06,1.05,3.25,0.41,2.71,0.4
36,102,"SUBALKALI BASALT [22232]",20.6,48.7,7.57,36.2,10.4,3.31,12.8,2.15,13.7,2.96,8.69,1.23,7.78,1.17
36,102,"SUBALKALI BASALT [22232]",21.7,50.6,7.71,37.8,10.8,3.41,12.9,2.19,14.3,3.03,9.03,1.27,7.95,1.21
36,102,"SUBALKALI BASALT [22232]",21.4,50.6,7.83,38.5,10.9,3.33,13.4,2.22,14.4,3.12,9.09,1.28,8.06,1.23
-25.36,-129.25,"SUBALKALI BASALT [6126]",26.27,56.12,7.28,30.53,6.99,2.28,6.43,0.95,5.34,0.99,2.49,0.33,2.03,0.29
-25.36,-129.25,"SUBALKALI BASALT [6126]",24.29,53.3,7.17,30.96,7.17,2.3,6.77,1,5.62,1.03,2.62,0.34,2.11,0.3
27.67,127.33,"SUBALKALI BASALT [22419]",7.37,14.9,2.41,11.36,3.18,1.13,3.21,0.63,3.67,0.84,2.31,0.37,2.25,0.34
34,131,"SUBALKALI BASALT [18473]",35.94,65.03,7.72,28.63,5.066,1.611,4.219,0.5772,3.328,0.6242,1.62,0.2378,1.553,0.2265
34,131,"SUBALKALI BASALT [18473]",30.57,60.23,8.188,35.45,7.276,2.431,6.987,0.9638,5.445,0.8857,2.561,0.3379,2.225,0.3329
22,74.08,"SUBALKALI BASALT [22803]",10.15,22.35,2.862,12.5,3.356,1.199,3.913,0.633,4.11,0.874,2.312,0.335,2.16,0.301
22,74.08,"SUBALKALI BASALT [22803]",10.31,20.97,2.608,10.93,3.035,1.059,3.792,0.679,4.861,1.088,3.135,0.481,3.153,0.47
46.4439,12.0011,"SUBALKALI BASALT [23341]",24.4,52.9,6.65,27.7,6,1.79,5.3,0.8,4.4,0.8,2.4,0.32,2.2,0.33
46.3044,11.8859,"SUBALKALI BASALT [23341]",24.3,50.4,5.99,25.4,5.6,1.43,5,0.8,4.4,0.8,2.3,0.34,2,0.31
46.4397,11.735,"SUBALKALI BASALT [23341]",26.9,54.6,6.69,27.2,6.1,1.6,5.1,0.7,4.3,0.8,2.3,0.34,2.1,0.35
-20.33,57.5,"SUBALKALI BASALT [8382] / ALKALI BASALT, OLIVINE [1337]",12.8,26.6,3.79,16.5,4.18,1.52,4.72,0.74,4.4,0.85,2.05,0.28,1.78,0.26
-52.5,169.17,"BASALT [9501] / SUBALKALI BASALT [9526]",33.5716811377834,71.2489686873846,9.19145090951951,38.0505244961301,8.27014497308765,2.77812802027266,7.65106274309512,1.13051506698621,5.92660982988253,1.03190193690331,2.51188465013947,0.320787333516678,1.93277806152516,0.263426708050132
21.17,71.5,"SUBALKALI BASALT [24288]",6.6,14,1.77,7.9,2.2,0.87,3.2,0.6,3.7,0.8,2.3,0.34,2.1,0.3
21.17,71.5,"SUBALKALI BASALT [24288]",10.4,24.7,3.38,15.5,4.5,1.62,5,0.9,5.3,1,2.8,0.4,2.5,0.37
21.17,71.5,"SUBALKALI BASALT [24288]",10.6,22.8,2.94,13.2,3.6,1.22,4.5,0.8,4.8,1,2.7,0.4,2.6,0.39
-20.33,57.5,"SUBALKALI BASALT [8382]",26.5,53.4,7,29.5,6.64,2.17,6.74,1,5.37,1.03,2.48,0.33,2.04,0.29
-20.33,57.5,"SUBALKALI BASALT [8382]",27.4,55.1,7.19,30.2,6.69,2.17,6.79,1.01,5.47,1.02,2.48,0.34,2.07,0.29
36.42,118.58,"SUBALKALI BASALT [12012]",22.6,45.8,5.72,23.6,5.37,1.82,5.16,0.77,4.15,0.76,1.95,0.28,1.56,0.22
35.586,47.7875,"SUBALKALI BASALT [26151]",38.4,71.3,7.69,28.5,5.5,1.56,4.9,0.7,4.1,0.8,2.2,0.31,2,0.29
35.5763333333333,47.7915,"SUBALKALI BASALT [26151]",41.4,77.6,8.41,31.9,6.2,1.72,5.2,0.8,4.3,0.8,2.1,0.3,1.9,0.3
36.12035,47.3191166666667,"SUBALKALI BASALT [26151]",53.3,119,15.8,68.2,13.3,2.83,7.7,1,5.1,0.9,2.5,0.36,2.2,0.3
36.1223916666667,47.3055866666667,"SUBALKALI BASALT [26151]",48.5,110,14.7,63.7,12.3,2.66,7.4,1,4.9,0.9,2.4,0.34,2,0.28
36.11982,47.30917,"SUBALKALI BASALT [26151]",40.1,88.2,11.6,48.8,9.6,2.17,6.5,0.9,4.6,0.9,2.4,0.31,2,0.3
18.8211,81.6953,"SUBALKALI BASALT [8676]",7.1,16,2.04,9.4,2.5,0.88,3.1,0.6,4,0.9,2.6,0.42,2.5,0.4
18.8714,81.6725,"SUBALKALI BASALT [8676]",5.8,14,1.85,8.9,2.6,0.89,3.1,0.6,4.1,0.9,2.6,0.43,2.8,0.42
18.8106,81.655,"SUBALKALI BASALT [8676]",11,25,2.98,13,3.4,1.13,4.2,0.8,5,1.2,3.4,0.51,3.3,0.51
18.8031,81.6306,"SUBALKALI BASALT [8676]",12,19,1.89,7.5,1.6,0.37,1.9,0.4,2.3,0.5,1.5,0.24,1.5,0.23
18.8952,81.3556,"SUBALKALI BASALT [8676]",5.5,11,1.32,6.1,1.5,0.47,1.8,0.4,2.3,0.5,1.5,0.24,1.6,0.24
18.1818,81.3823,"SUBALKALI BASALT [8676]",7.4,17,2.13,9.8,2.6,0.95,3.3,0.6,4.1,0.9,2.8,0.44,2.7,0.43
18.7894,81.2642,"SUBALKALI BASALT [8676]",8.1,19,2.2,9.9,2.6,0.96,3.3,0.6,4,0.9,2.7,0.41,2.7,0.43
18.7847,81.2589,"SUBALKALI BASALT [8676]",7.6,15,1.74,7.6,1.8,0.53,2,0.4,2.3,0.5,1.5,0.24,1.4,0.22
20,68,"SUBALKALI BASALT [11486] / BASALT [1971]",21.1,50.1,6.21,25.1,5.98,1.75,5.97,0.72,4.44,0.83,2.06,0.28,1.7,0.28
25.75,100.4,"SUBALKALI BASALT [16336]",9.3,20.7,2.73,10.4,2.97,1.08,2.83,0.47,3.05,0.65,1.7,0.23,1.44,0.2
27,100.5,"SUBALKALI BASALT [16336]",34.1,69.6,8.1,34.7,6.18,2.03,6,0.87,4.45,0.86,2.31,0.28,1.91,0.25
5.13,10.32,"SUBALKALI BASALT [11696]",18.97,39.4,5.3,24,6.04,2.05,5.85,0.85,4.77,0.87,2.25,0.32,1.86,0.25
5.13,10.32,"SUBALKALI BASALT [11696]",24.23,50.8,6.7,30.7,7.94,2.62,7.6,1.14,6.41,1.19,3.06,0.44,2.51,0.34
5.13,10.32,"SUBALKALI BASALT [11696]",32.23,66.7,9.1,40.4,9.76,3.12,9.58,1.36,7.74,1.4,3.7,0.53,3.04,0.41
-45.1159,169.5914,"SUBALKALI BASALT [13152]",9.1,22.5,3.3,13.91,3.94,1.6,5.1,0.8,5.1,1,2.5,0.3,1.7,0.2
-45.3468,169.2211,"SUBALKALI BASALT [13152]",12.2,30.4,4.3,18.34,5.09,1.8,6.7,1.1,7.1,1.4,3.8,0.5,2.8,0.4
22.25,78.25,"SUBALKALI BASALT [13569]",17.46,39.73,5.29,25.77,6.73,2.19,7.51,1.15,6.91,1.37,3.6,0.5,3.5,0.46
22.25,78.25,"SUBALKALI BASALT [13569]",24.18,52.55,6.75,31.1,7.61,2.33,8.32,1.27,7.56,1.48,3.91,0.55,3.86,0.52
22.25,78.25,"SUBALKALI BASALT [13569]",19.13,42.54,5.59,26.4,6.65,2.2,7.39,1.14,6.73,1.33,3.53,0.49,3.36,0.44
22.25,78.25,"SUBALKALI BASALT [13569]",9.42,21.67,3.07,15.18,4.31,1.53,5.01,0.82,5.07,1.01,2.76,0.39,2.69,0.37
