"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"TEPHRITE [25766]",44.33,54.8,96.8,10.5,40.8,7.1,2.11,5.23,0.76,4.29,0.8,1.98,0.26,1.48,0.2,43.214,130.077
"TEPHRITE [15416]",50.4,99,195,22.2,99.4,14.3,2.68,6.87,0.77,3.36,0.54,1.27,0.16,0.99,0.14,50.45,103.6
"TEPHRITE [4868]",37.81,81.9,150,16.4,61.1,10.7,3.12,9.36,1.23,6.28,1.13,3.06,0.39,2.44,0.34,31,-16
"TEPHRITE [24303]",45,97.6,182,19.6,67.4,10.2,2.89,7.18,0.98,5.13,0.88,2.51,0.29,2,0.28,36.815,45.815
"TEPHRITE [15966]",42.73,58.63,126.63,15.43,59.82,12.05,3.8,10.82,1.33,7.01,1.25,3.04,0.41,2.19,0.32,14.9626,-24.357
"TEPHRITE [12403]",43.22,119.6,229.6,26.2,103,17.2,4.14,9.91,1.02,5.45,1,2.38,0.31,1.74,0.25,40.9,39.7
"TEPHRITE [26026]",43.48885,84.2914523972492,170.704542777808,20.2173919873167,76.4814325148508,13.8499152028909,4.16961152753382,12.8761625066217,1.55090157750323,7.66771958485271,1.33410907692301,3.376573593529,0.410614963463217,2.47144647717479,0.344313877234586,28.618459,-17.885296
"TEPHRITE, NEPHELINE [12818]",43.23,100,150,14,57,9.5,3,7,1.2,5.7,0.9,3,0.3,2.5,0.3,-35.8212,149.5472
"TEPHRITE [15966]",42.51,58.1,124.67,15.37,59.99,12.61,3.79,10.64,1.36,7.06,1.25,3.14,0.39,2.14,0.32,14.957,-24.3547
"TEPHRITE [21660]",42.615538225,82.4371247047467,166.769079151627,20.1279059512266,80.2015741686629,15.4186659300887,4.40338521251873,11.5658315190626,1.51970933332379,7.6277990299347,1.32804970260785,3.1696530127121,0.427229203738274,2.44951826747233,0.357953464285802,-0.721992,-77.588395
"TEPHRITE [25766]",44.12,52.2,96.5,10.5,37.5,6.47,2.24,6.41,0.89,4.61,0.92,2.32,0.3,1.57,0.24,43.217,130.086
"TEPHRITE [17181]",44.41,56.9,80.9,9.82,39.1,7.06,2.38,6.15,0.91,5.23,0.91,2.49,0.34,2.1,0.28,39.6879,-31.1166
"TEPHRITE [9391] / ALKALI BASALT [15598] / BASALT [26028]",46.5,92.7,190,22.1,83.9,13.6,3.96,10.5,1.32,6.82,1.28,3.09,0.385,2.44,0.316,-37.15,-12.25
