"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"TEPHRITIC-PHONOLITE [12235] / NOT GIVEN [12288]",54,403,697,63.3,189,24,5.4,15.9,2,8.9,1.4,3.9,0.6,3.6,0.5,33.85,83.25
"TEPHRITIC-PHONOLITE [17911]",55,78.5340507901382,147.780632127469,12.7718722569599,42.088571043396,6.0023190503167,2.00840680536383,4.70652376556056,1.17331299872133,3.76503786640211,0.756128268654143,2.27384315455399,0.345500374331434,3.21783123709734,0.327919069666382,-78.3716,163.4439
"TEPHRITIC-PHONOLITE [18825]",53.52,184.8,430,40.74,156.8,19.2,5.13,12.07,1.41,6.04,0.95,2.63,0.38,2.37,0.35,39.3614,28.0107
"TEPHRITIC-PHONOLITE [21660]",52.94564695,145.024119898666,246.265751265338,26.0272164129479,90.1063129283718,14.4867231908042,4.03654931164376,9.86236826360343,1.33720189513944,6.983894190581,1.28622767446718,3.32672695229373,0.487404975371572,3.02087441337949,0.476739495061792,-0.54212,-77.628198
"TEPHRITIC-PHONOLITE [9456]",55.69,68,135,14.4,53,9,2.7,7,1,5,1,2.4,0.4,2.4,0.4,40.78,14.05
"TEPHRITIC-PHONOLITE [18713]",53.11,177.7,419.8,39.7,149.3,18.3,4.94,10.86,1.36,6.03,0.93,2.49,0.35,2.31,0.35,39.4,28
"TEPHRITIC-PHONOLITE [18825]",54.1,215.5,420.6,43.17,152,22.3,5.3,10.66,1.44,6.31,0.96,252,0.38,2.43,0.38,39.3614,28.0107
"TEPHRITIC-PHONOLITE [9456]",54.17,66,124,13,47.6,9,2.2,7,1,4.9,1,2.6,0.4,2.5,0.4,40.78,14.05
"TEPHRITIC-PHONOLITE [21660]",52.792672925,145.768242070019,246.151054458463,26.3394443008998,91.5308086832173,14.7226550849747,4.08692936826556,10.1944806009299,1.3675351556882,7.06690827104266,1.31091454962494,3.4132564711527,0.482006051557625,3.05124936884101,0.482051764702164,-0.54212,-77.628198
"TEPHRITIC-PHONOLITE [12930]",49.64,127.48,221.23,23.64,83.15,14.34,3.94,11.19,1.54,7.47,1.33,3.41,0.51,2.88,0.44,28.57,-17.87
"TEPHRITIC-PHONOLITE [21660]",52.863855025,145.355721041128,247.315967258799,26.103389424623,90.784706985294,14.6120823438351,4.05268813100373,10.0741944182634,1.36180422947058,7.04384056376114,1.31284009034391,3.38414480125491,0.474265147371267,3.00159476984036,0.470822924283023,-0.545823,-77.626857
"TEPHRITIC-PHONOLITE [12235] / NOT GIVEN [12288]",54.09,237,474,48,158,21,4.4,12,1.4,5.8,0.8,2.3,0.3,1.5,0.2,33.85,83.25
