"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"THOLEIITIC ANDESITE [2342]",56.1,2.01,5.83,0.97,5.3,1.72,0.64,2.21,0.34,2.5,0.47,1.53,0.24,1.59,0.27,30.861,141.3142
"THOLEIITIC ANDESITE [8263] / NOT GIVEN [8262]",51.83,16,32,4.4,19,5,1.8,5.4,0.91,5,0.94,2.4,0.39,2.1,0.28,37.27,15.02
"BASALTIC-ANDESITE [11800] / THOLEIITIC ANDESITE [11855]",53.54,13.7,32,4.55,19.59,5.173,1.59,6.91,1.2,8.03,1.64,5.1,0.76,5.23,0.78,33.125,107.8
"THOLEIITIC ANDESITE [9650]",48.85,21,49,6.6,27,5.7,1.97,6.1,0.82,4.5,0.88,2.4,0.31,1.9,0.3,-28.3972,153.2708
"THOLEIITIC ANDESITE [9650]",53.52,18.5,43,5.4,21,5.4,1.87,6,0.78,4.5,0.87,2.13,0.28,1.67,0.26,-28.2667,153.2167
"THOLEIITIC ANDESITE [28668]",50.67,3.38,9.22,1.43,6.84,2.44,0.9,3.49,0.6,4.08,0.85,2.43,0.36,2.46,0.38,65.729339793,29.246785862
"THOLEIITIC ANDESITE [8263]",52.99,9.5,20,2.9,14,4.7,1.5,5.5,1,5.2,1,2.6,0.42,2.7,0.37,37.27,15.02
"THOLEIITIC ANDESITE [5803]",56,2.97,6.43,1.02,5.25,1.56,0.55,2.03,0.35,2.55,0.53,1.64,0.29,1.81,0.3,30.861,141.3142
"THOLEIITIC ANDESITE [10608] / NOT GIVEN [14365]",60.62,2.72,6.78,0.92,4.06,1.21,0.46,1.62,0.26,1.79,0.4,1.24,0.18,1.29,0.21,-15.965,-173.97
"BASALT [6407] / THOLEIITIC ANDESITE [10608] / ANDESITE [4279] / NOT GIVEN [10898]",58.1,1.57,5.1,0.98,5.62,2.16,0.84,3.27,0.64,4.38,0.98,2.93,0.47,3.05,0.48,-19.4883,-175.9633
"THOLEIITIC ANDESITE [10608]",56.51,2.11,6.47,1.17,6.84,2.95,0.98,4.09,0.76,5.27,1.17,3.44,0.53,3.33,0.51,-21.03,-174.92
"THOLEIITIC ANDESITE [10608]",59.2,2.01,6.59,1.17,6.23,2.25,0.89,3.1,0.55,3.66,0.79,2.37,0.35,2.22,0.34,-21.03,-174.92
"THOLEIITIC ANDESITE [10608]",58.87,2.07,7.15,1.32,7.35,2.83,1.1,3.71,0.69,4.61,0.99,2.81,0.43,2.77,0.42,-21.03,-174.92
"THOLEIITIC ANDESITE [10608]",56.05,1.9,6.43,1.24,6.87,2.49,0.97,3.42,0.68,4.34,0.96,2.74,0.43,2.7,0.4,-21.03,-174.92
"THOLEIITIC ANDESITE [10608]",58.35,2.88,5.82,0.93,4.55,1.22,0.44,1.55,0.28,1.78,0.38,1.14,0.18,1.24,0.2,-15.965,-173.97
"THOLEIITIC ANDESITE [10608]",56.85,2.31,5.25,0.81,3.74,1.08,0.41,1.35,0.25,1.72,0.36,1.13,0.19,1.19,0.2,-15.965,-173.97
"THOLEIITIC ANDESITE [10608]",56.28,4.38,12.2,2.07,11.3,3.69,1.31,4.91,0.88,5.84,1.28,3.75,0.59,3.77,0.6,-22.29,-176.635
"THOLEIITIC ANDESITE [11274]",54.74,7.06,17.32,2.28,10.99,2.9,0.96,3.57,0.5,3.72,0.79,2.22,0.31,2.08,0.31,48.55,-56.65
"THOLEIITIC ANDESITE [11274]",58.56,7.25,18.33,2.56,11.88,3.16,1.09,4.12,0.6,3.9,0.76,2.39,0.26,1.58,0.28,48.55,-56.65
"THOLEIITIC ANDESITE [11274]",57.85,4.74,11.49,1.6,7.35,2.46,0.8,2.34,0.32,2.47,0.49,1.34,0.24,1.28,0.2,48.55,-56.65
"THOLEIITIC ANDESITE [11274]",57.06,3.29,8.23,1.12,5.26,1.14,0.41,1.19,0.14,1,0.18,0.61,0.07,0.76,0.13,48.55,-56.65
"THOLEIITIC ANDESITE [11274]",64.17,4.69,12.02,1.64,8.15,2.13,0.55,2.47,0.34,2.07,0.35,1,0.16,1.48,0.2,48.55,-56.65
"THOLEIITIC ANDESITE [18558]",58.29,1.59,4.41,0.6,3.59,1.3,0.51,1.86,0.33,2.16,0.49,1.49,0.23,1.4,0.21,27.7206,142.0958
