"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"THOLEIITIC BASALT, OLIVINE [4450]",48.7,5.02,14.68,2.3,11.19,3.15,1.14,3.45,0.66,4.19,0.89,2.6,0.43,2.36,0.398,43.0458,-122.2053
"THOLEIITIC BASALT [5575]",52.2,4.7,12.6,1.93,9.9,3.22,1.15,4.4,0.77,5.05,1.13,3.21,0.52,3.28,0.51,49.25,-85.5
"THOLEIITIC BASALT [8681]",49.65,2.84,7.49,1.01,5.67,1.93,0.76,2.45,0.47,3.18,0.69,2.07,0.32,1.97,0.31,51.5,-90.25
"THOLEIITIC BASALT, OLIVINE [19477]",48.16,36.64,70.31,8.821,36.93,7.921,2.596,7.343,1.007,5.018,0.877,2.017,0.247,1.455,0.201,20.85,110
"THOLEIITIC BASALT [28708]",52.24459,2.3,6.2,1.01,5.390974047,1.781166743,0.68,2.54,0.41,2.86,0.63,2.03,0.28,1.86,0.26,-26.791556,118.317228
"THOLEIITIC BASALT [13316]",48.02,9.16,21.66,3.29,15.87,4.83,1.81,5.29,0.84,4.83,0.91,2.35,0.32,1.94,0.29,21.735,-158.624
"THOLEIITIC BASALT, QUARTZ [9565] / NOT GIVEN [20356]",49.95,3.56,8.79,1.32,6.48,2.04,0.814,2.7,0.492,3.31,0.714,2.06,0.306,2.05,0.305,66.099,-16.905
"THOLEIITIC BASALT [28708]",54.61,10.5,27.2,3.9,18.3,5,1.8,6.6,1,7,1.5,4.7,0.7,4.6,0.6,-27.038738,118.654412
"THOLEIITIC BASALT [2] / BASALT [14362]",49.17,11.86,29.68,4.47,20.07,5.24,1.78,5.45,0.88,4.66,0.96,2.21,0.307,1.7,0.272,19.74,-155.05
"THOLEIITIC BASALT, OLIVINE [8674]",48.36,6,15.3,2.5,11.1,3.5,1.4,4.8,0.78,5.08,1.06,2.68,0.36,2.1,0.32,67.79,-111.1553
"THOLEIITIC BASALT [5170] / BASALT [6568]",50.19,2.18,5.09,0.821,4.14,1.56,0.68,2.34,0.47,3.03,0.708,2.05,0.33,2.13,0.334,-57.792,81.2395
"THOLEIITIC BASALT [8682]",53.05,2.28,5.81,0.83,4.48,1.32,0.49,1.88,0.34,2.38,0.56,1.6,0.25,1.67,0.25,14.875,77.375
"THOLEIITIC BASALT [7164]",49.5,5.6,15,2.2,11,3.8,1.3,5.2,0.92,5.7,1.2,3.5,0.58,3.7,0.57,51.5,-74.5
"THOLEIITIC BASALT [2412]",48.9,7.26,17.84,2.06,11.35,3.17,1.13,3.76,0.61,3.87,0.87,2.45,0.36,2.4,0.36,69.45,86.22
"THOLEIITIC BASALT, OLIVINE [4450]",47.5,2.61,9.17,1.56,8.45,2.72,1.08,3.5,0.62,4.08,0.88,2.52,0.385,2.31,0.379,42.894,-122.247
"THOLEIITIC BASALT, QUARTZ [7742]",49.16,26.8,66.01,10.15,47.38,10.89,3.27,10.42,1.41,7.05,1.23,2.89,0.42,2.25,0.33,-72.25,-3.38
"THOLEIITIC BASALT [4105] / BASALT [3927]",49.9,2.36,7.64,1.29,7.53,2.84,1.01,3.71,0.74,4.33,0.92,2.7,0.42,2.45,0.59,-18.56753,-177.8623
"THOLEIITIC BASALT [7011] / BASALT [6966] / PICRITE [13124]",46.38,7.64,19.3,2.95,13.7,3.67,1.23,3.94,0.646,3.64,0.7,1.75,0.251,1.46,0.218,19.74,-155.05
"THOLEIITIC BASALT, OLIVINE [7803]",48.92,15.5,32,4.32,16.52,4.18,1.6,5.2,0.76,4.25,0.824,1.99,0.287,1.72,0.246,-38,145
"THOLEIITIC BASALT [7011] / BASALT [6456]",49.16,8.84,22,3.22,16.5,4.44,1.54,4.8,0.786,4.38,0.83,2.13,0.311,1.79,0.252,19.74,-155.05
"THOLEIITIC BASALT [8678]",49.84,9.66,23.1,3.27,15.5,4.08,1.49,4.63,0.896,5.54,1.17,3.55,0.519,3.2,0.467,59.65,-109.25
"THOLEIITIC BASALT [22437]",47.27,38.0341109,85.1138832,11.2613499,48.4868905,10.8518563,2.76900355,10.9090266,1.69590438,10.1842338,2.03819703,5.7277655,0.82409819,5.23088383,0.76900825,39.3006,106.6503
"THOLEIITIC BASALT [7155]",50.9,4.02,11.5,1.65,7.88,2.49,0.44,3.53,0.66,5.36,1.31,4.75,0.76,5.29,0.87,48.12,-77.77
"BASALT [22968] / THOLEIITIC BASALT [26825]",52.5,45.1,103.2,13.13,58.8,11.31,3.66,10.89,1.52,8.88,1.57,4.14,0.54,3.7,0.53,-7.9738855,-41.9901054
"THOLEIITIC BASALT [7011] / BASALT [6966]",50.18,9.09,24.01,3.72,17.9,4.7,1.64,5.38,0.862,4.8,0.957,2.41,0.32,1.97,0.26,19.74,-155.05
"THOLEIITIC BASALT [6121] / BASALT, OLIVINE [151]",52.67,14.47,34.4,4.9,21.9,5.58,1.92,6.27,0.93,5.57,1.04,2.71,0.39,2.3,0.32,18.9,-155.7
"THOLEIITIC BASALT [16253]",51.69118333,12.03222969,29.56671262,4.229941092,20.24597527,5.609110479,1.949768274,5.709862096,0.89151128,5.350497559,0.988752176,2.573353902,0.343295626,2.119848601,0.284583924,19.33,-155.11
"THOLEIITIC BASALT [28708]",51.275064,2.2,5.5,0.9,4.566449396,1.564025409,0.6,2.1,0.4,2.5,0.6,2,0.3,1.9,0.3,-27.003634,118.160266
"THOLEIITIC BASALT [232]",49.71,16.8,41.7,5.96,26.3,6.29,2.16,6.35,0.91,5.31,1,2.59,0.362,2.1,0.287,19.4,-155.27
