"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"TONALITE, BIOTITE-HORNBLENDE [21692]",63.1,28.9,56.6,5.41,19.9,3.72,1.02,3.46,0.56,3.19,0.71,2.08,0.34,2.42,0.35,39,27
"TONALITE [23746]",72.7,21.7,41.1,4.46,16.4,3.07,0.782,3.14,0.441,2.46,0.454,1.28,0.18,1.27,0.196,11.9282,76.5726
"TONALITE [25714]",60.52,37.4,79.1,9.27,38.9,6.5,1.8,4.16,0.64,3.1,0.56,1.65,0.19,1.28,0.15,49.09052,18.778387
"TONALITE [22538]",52.5,20.4901775085002,40.9349323607057,5.37302583815552,24.5015904337597,5.98599913034362,1.74710120379789,5.30994284088879,0.801531285768531,4.49065806750625,0.873365391772065,2.22340186043613,0.302755043723004,1.82029016022922,0.289320422854824,48.0295982,-120.8960037
"TONALITE [28562]",69.3,70.6,141,14.5,50.7,6.68,1.23,5.2,0.66,2.34,0.37,1.06,0.11,0.86,0.12,69.6093,28.9706
"TONALITE [21718]",61.5,81.7,167,17.3,61.9,10.8,1.83,7.77,1,5.27,0.948,2.51,0.337,2.12,0.283,37,96
"TONALITE [28793]",64.36,7.6,19.8,2.88,13.2,3.44,0.85,3.46,0.52,3.13,0.63,1.73,0.26,1.61,0.26,24.16,35.25
"TONALITE [12552]",64.12,18.1,30.5,4.14,16,3.1,0.85,3.1,0.52,2.97,0.57,1.89,0.25,1.77,0.25,-36.895,-70.625
"TONALITE, BIOTITE-HORNBLENDE [21692]",63.3,24.58,42.7,4.71,15.66,3.23,0.83,2.62,0.52,2.89,0.65,1.75,0.29,1.7,0.3,39,27
"TONALITE [24585]",69.64,44.1,64.8,7.01,23.3,3.5,0.81,3.1,0.4,2.6,0.5,1.6,0.24,1.8,0.27,49.7199278225657,-54.0870790032518
"TONALITE [28857]",76.22,14.8,23.6,2.61,8.9,1.08,0.81,0.86,0.08,0.4,0.08,0.29,0.05,0.33,0.06,19.226,-70.588
"TONALITE [24424]",69.19,20.88,43.09,4.49,16.01,2.25,0.66,1.96,0.32,1.57,0.36,1.04,0.14,0.83,0.11,35.5,117
"TONALITE, BIOTITE [23626]",65.4,36.1,62.8,6.38,22.7,2.9,0.92,2.07,0.24,1.59,0.27,0.81,0.14,0.8,0.12,-20.1138,-40.3215
"TONALITE [23308]",59.4782932446811,14.1479502444589,25.9326298567588,3.12651836943197,13.4655327892483,3.03243164033812,1.93685286834442,3.02182216493163,0.45579041780728,2.79987547050257,0.596152532308973,1.69047106170333,0.260586057678664,1.80338351934668,0.298058312726306,-30.6271,-67.68225
"TONALITE [26043]",68.76,12,21.52,2.29,8.68,1.72,0.81,1.57,0.21,1.24,0.24,0.75,0.13,0.86,0.14,30,92
