"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"TRACHYANDESITE [23601]",60.66,28.39,57.55,6.5,23.87,4.18,2.25,2.99,0.37,1.83,0.3,0.81,0.11,0.71,0.11,48,117.5
"TRACHYANDESITE [20461]",56.14,76.5,145,16.4,53.6,9.02,2.4,6.71,0.89,4.77,0.87,2.31,0.3,1.99,0.3,31.33,116.9
"TRACHYANDESITE [24308]",52.95,14.3,31.5,4.06,17.7,3.89,1.38,3.64,0.52,2.81,0.53,1.43,0.19,1.23,0.18,43.5224,105.7211
"TRACHYANDESITE [23517]",59.7985995309645,29.8,60.3,7.53,27.7,5.3,1.17,4.16,0.59,3.09,0.63,1.77,0.27,1.6,0.3,38.37254,-119.11222
"TRACHYANDESITE [18825]",58.17,121,219.8,21.31,67.5,9.9,2.21,5.69,0.91,4.49,0.77,2.12,0.33,2.13,0.32,39.3614,28.0107
"TRACHYANDESITE [24810]",54.85,82.1,160,19.2,72.8,11.7,3.35,9.41,1.11,5.12,0.962,2.52,0.336,2.2,0.334,34.5056,91.66
"TRACHYANDESITE [18825]",56.94,139.6,245.4,36.31,87.5,13.7,3.25,8.08,1.1,5.31,0.9,2.3,0.33,1.97,0.32,39.3614,28.0107
"TRACHYANDESITE [25065]",55.37920694825,48.6,100.5,12.47,55.4,11.97,3.6,12.44,2.18,13.4,2.61,7.72,1.22,7.57,1.18,-33,-54
"TRACHYANDESITE [25065]",56.5720035319,50.6,98.9,12.83,51.9,11.56,3.67,12.04,2.24,13.26,2.61,8.47,1.28,7.59,1.15,-33,-54
"TRACHYANDESITE [16551]",60.94,92.4,158.1,17.5,58.1,9,2.1,8.6,1.1,5.7,1.1,3.1,0.4,2.9,3.4,31.42,-111.15
"TRACHYANDESITE [24812]",58.88,64.3,124,13.3,48.7,7.78,2.04,5.13,0.68,3.5,0.7,1.8,0.26,1.52,0.24,42,126.5
"TRACHYANDESITE [23517]",61.1655492521919,30.4,56.6,6.93,26.9,4.4,1.13,3.64,0.48,2.63,0.57,1.34,0.19,1.2,0.25,38.29938,-118.91281
"TRACHYANDESITE [23517]",60.7930592044969,37.4,73.3,8.73,32.7,5.4,1.14,4.2,0.56,3.24,0.62,1.64,0.26,1.7,0.26,38.3409029,-119.02862615
