"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"TRACHYBASALT [25065]",47.9946465399974,26.4,54,6.93,30.5,7.09,2.45,7.27,1.24,6.64,1.32,3.75,0.57,3.41,0.52,-33,-54
"TRACHYBASALT [19629]",48.1,17.6,42.9,5.8,27.4,6.8,2.1,7.7,1.14,7.2,1.5,4.1,0.57,3.7,0.56,38.673,42.2369
"TRACHYBASALT [11656]",46.4,19,42,5.8,25,6.3,1.9,5.7,0.81,4.3,0.81,2.1,0.32,2.2,0.37,-3.2542,152.5417
"TRACHYBASALT [28635]",50.3,15.6,32.1,4.3,18.3,4.34,1.33,4.06,0.59,3.36,0.65,1.68,0.24,1.45,0.23,33.25,54.5
"TRACHYBASALT [25065]",45.8672275761413,35.6,70.5,8.32,34.8,6.64,2.27,6.27,1.05,5.85,1.11,3.08,0.47,2.76,0.4,-33,-54
"TRACHYBASALT [19148]",47.5,60,111,13.1,48.1,8.9,2.85,7.95,1.21,5.44,1.03,2.73,0.36,2.3,0.35,37.73,15
"TRACHYBASALT [11135]",48.3482431844471,68.6904,143.9765,18.2919,74.8659,13.4979,4.0415,10.1973,1.2104,5.9657,0.9395,2.2369,0.256,1.4746,0.1908,-32.833,-65.833
"TRACHYBASALT [15778]",49.34,39.3,79.9,9.71,37,7.09,2.04,6.87,0.81,4.23,0.83,2.34,0.31,2.08,0.31,30.95,117.45
"TRACHYBASALT [12566]",47.43,66.2,127,13.5,57.7,10.3,2.81,9.27,1.3,6.29,1.22,3.18,0.385,2.5,0.37,37.72841,15.00343
"TRACHYBASALT [15584]",47.9,24,48.6,5.88,23.8,5.62,1.77,4.99,0.75,4.14,0.75,1.87,0.27,1.64,0.23,32.6517,117.8364
"TRACHYBASALT [10641]",49.84,89.48,182.39,19.81,78.3,14.55,4.45,12.52,1.58,7.15,1.24,3.08,0.44,2.73,0.39,63,118
