"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"TRACHYDACITE [18619]",66.8,79.35,167.7,21.62,73.78,12.14,1.16,7.58,0.83,3.31,0.51,1.52,0.18,1.16,0.18,32,82
"TRACHYDACITE [26420]",62.82,138.7,265.5,27.9,96.7,13.8,2.84,10.1,1.14,5.44,0.93,2.27,0.31,1.84,0.27,33.7525,90.3417
"TRACHYDACITE [25791]",63.29,61.8,107,11.86,41.4,6.96,1.33,6.07,0.84,4.35,0.89,2.29,0.31,2.19,0.35,-26.5939,-68.084205
"TRACHYDACITE [23517]",64.0170983664953,44.3,83.5,9.89,35.6,6.2,1.15,5.32,0.69,3.42,0.66,1.77,0.27,1.9,0.28,38.28121009,-119.07732365
"TRACHYDACITE [23051]",65.12,95.8,162.7,18.1,63.5,9.5,2.3,6.8,0.8,4.3,0.8,2.1,0.3,2.3,0.4,38.667,29.934
"TRACHYDACITE [23517]",66.0544714598769,36.2,64.9,7.48,26,4.5,0.96,3.02,0.47,2.47,0.55,1.36,0.22,1.4,0.27,38.28341838,-119.06139818
"TRACHYDACITE [25961]",66.9,58.7,114.5,12.65,48.8,8.49,1.72,7.23,1.05,6.04,1.27,3.42,0.46,3.28,0.48,51,13
"TRACHYDACITE [28541]",64.8,30,54.6,6.01,21.2,3.45,0.97,2.98,0.42,2.55,0.52,1.38,0.21,1.42,0.21,40.17,30.4
"TRACHYDACITE [22753]",66.4,25.2,48.7,5.12,20.3,3.62,0.99,2.89,0.43,2.52,0.49,1.44,0.22,1.57,0.25,-37.2123,-70.2117
"TRACHYDACITE [23517]",63.3625465901078,34.4,62.8,7.4,27.2,4.8,1.31,3.98,0.53,2.8,0.53,1.46,0.19,1.3,0.21,38.23967,-119.05901
