"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"TRACHYTE [14146]",64.01,135,301,34.86,127.2,27.04,2.73,25.14,4.16,25.41,5.19,14.69,2.3,14.59,2.1,10.7,37.07
"TRACHYTE [25225]",58.66,70.5,121,14.7,49.3,7.45,1.13,5.25,0.63,3,0.55,1.4,0.17,1.08,0.16,38.6287145,30.484758
"TRACHYTE [20818]",63.5718141427563,123,224,22.3,71.7,11.7,0.75,10.18,1.49,8.32,1.68,5.29,0.87,6.28,1.03,40.71028,13.86056
"TRACHYTE [16170]",59.36,103,191,20.5,70.1,12.3,2,9.5,1.5,7.8,1.5,4.2,0.6,4.2,0.6,40.78,14.05
"TRACHYTE [20288]",57.71,54.4,107.5,11.74,42.1,7.88,1.96,7.53,1.33,8.17,1.74,5.22,0.88,6.11,0.9,39.2,44
"TRACHYTE [19630]",62.6,44,91,10.8,41,7.4,1.66,6.2,0.84,6.2,1.17,3.42,0.48,3.12,0.47,54,91
"TRACHYTE [10114]",60.37,112,205,21.4,75,13.4,1.6,11,1.7,8.7,1.8,4.8,0.7,4.8,0.8,40.88,14.42
"TRACHYTE [11658]",60.61,157.24,306.83,27.32,86.12,13.51,1.17,8.92,1.37,8.03,1.66,4.89,0.74,5.68,0.86,40.83265,14.08865
"TRACHYTE [18206]",64.2399275569315,111.625321025248,207.453363290491,21.6415445985103,98.3354253975571,21.4416067051251,4.77942290405741,19.2613905666694,3.02102238978532,20.9005271862763,4.12809220149806,12.9964175377304,1.78486454866911,12.1529541401275,1.62936325767734,8.97,39.9
"TRACHYTE [17631]",62.59,203,378,39,135,19,2.36,16.3,2,10.3,1.95,5.7,0.83,5,0.73,-9.13,33.67
"TRACHYTE [21210]",64.79,154,311,32.1,113,24.2,0.3,22.3,3.53,20.8,3.87,9.95,1.42,8.7,1.25,42,128
