"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"TRANSITIONAL BASALT [12580]",49.87,71.4,134,14.9,59.9,11,3.3,8.06,1.2,5.84,0.95,2.55,0.28,1.64,0.22,-31.5,-64
"HAWAIITE [9501] / TRANSITIONAL BASALT [9526]",48.63,40.8236933519665,83.4866520263526,9.90204471950489,39.6241724895189,8.42663405869435,2.81996303406561,7.40719620586773,1.13134809343182,5.94562507486524,1.07317133160311,2.69312425633859,0.349660331403474,2.12914953084448,0.296081732880815,-52.5,169.17
"TRANSITIONAL BASALT [14135]",48.54,19,55,7.7,28,7.4,2.4,8.5,1.03,5.6,0.95,2.5,0.36,1.9,0.27,21.559,-158.173
"TRANSITIONAL BASALT [4934] / BASALT [11188]",50.9,28.7,57.1,7.75,29.31,4.97,2,3.97,0.53,2.99,0.55,1.79,0.22,1.61,0.21,19.0238,-102.076
"TRANSITIONAL BASALT [5198]",49.7,13.43,32.92,4.41,21.25,5.49,1.86,5.82,0.81,4.98,0.9,2.41,0.34,1.94,0.27,48.6,-87.85
"TRANSITIONAL BASALT [2426] / PICROBASALT [14569]",43,4.6,11.44,1.58,8.31,2.42,0.8,2.39,0.42,2.55,0.5,1.21,0.19,1.19,0.16,70.5,-53.25
"TRANSITIONAL BASALT [14399]",46.3,10.7,25,3.68,17.3,4.93,1.69,5.4,0.84,4.88,0.92,2.41,0.34,2.02,0.3,20.1,-156.4
"TRANSITIONAL BASALT [9013] / ALKALI BASALT [9012]",48.48,18.1,44,6.25,29.1,7.04,2.46,7.28,1.14,6.45,1.15,2.77,0.39,2.33,0.32,19.15,-155.11
"TRANSITIONAL BASALT [6671]",48.39,37.1,82.98,10.44,43.46,8.89,2.82,8.43,1.33,7.61,1.6,4.15,0.6,3.73,0.55,67.3,-34.7
"TRANSITIONAL BASALT [23574]",54.14,16.8,39.4,5.39,24,5.32,2.13,5.23,0.84,5.35,1.12,3.29,0.51,3.49,0.537,49,-74.5
"TRANSITIONAL BASALT [23574]",52.22,13.5,33.1,3.99,18.2,3.91,1.24,3.72,0.56,3.14,0.6,1.79,0.271,1.75,0.302,49,-74.5
"TRANSITIONAL BASALT [23574]",49.01,7.91,20.2,2.93,13,3.25,1.12,3.04,0.5,3.03,0.66,1.88,0.286,1.87,0.3,49,-74.5
"TRANSITIONAL BASALT [23574]",51.84,10.2,26.5,3.39,16.2,3.58,1.16,3.52,0.59,3.56,0.69,2,0.291,1.92,0.35,49,-74.5
"TRANSITIONAL BASALT [9565]",47.5,13.4,31.7,4.11,17.6,4.08,1.33,3.94,0.608,3.74,0.754,2.1,0.275,1.85,0.265,64.866,-21.978
"TRANSITIONAL BASALT [23574]",50.92,6.28,16.5,2.3,11.4,3.03,1.16,3.35,0.6,3.91,0.79,2.3,0.355,2.54,0.385,49,-74.5
"TRANSITIONAL BASALT [2426] / PICROBASALT [14569]",45.5,2.64,8.11,1.35,7.9,2.76,1,3.28,0.58,3.72,0.76,2.17,0.28,1.89,0.28,70,-54
"TRANSITIONAL BASALT [14399]",47,11.9,27.6,4.08,19.3,5.51,1.86,5.98,0.93,5.35,1.01,2.58,0.37,2.2,0.33,20.1,-156.4
"TRANSITIONAL BASALT [6671]",48.44,25.42,59.72,8,34.32,7.01,2.26,6.7,1.08,5.95,1.22,3.17,0.46,2.82,0.41,67.3,-34.7
"TRANSITIONAL BASALT [8935]",45.4,60,120,15,53,9,2.8,7.2,0.93,5.1,0.86,2.3,0.31,1.9,0.28,53.875,-125.25
"TRANSITIONAL BASALT [600] / BASALT [24087]",48.66,21.6,47.8,6.2,29,8.03,2.7,8,1.38,8.4,1.58,4.3,0.55,3.25,0.5,-0.78,-91.03
"BASALT [24299] / TRANSITIONAL BASALT [7785]",47.97,23.7,50.4,6.09,24.8,5.37,1.57,5.06,0.77,4.39,0.86,2.46,0.35,2.22,0.32,13.445,40.978
"TRANSITIONAL BASALT [25006]",47.5,17.8,37.5,4.78,19.5,4.74,1.5,4.81,0.76,4.67,1.04,2.69,0.39,2.48,0.35,10.2,38
"TRANSITIONAL BASALT [806] / NOT GIVEN [17320]",47.7,21.6,45.5,6.09,26.8,6.34,2.13,6.73,1.01,5.92,1.16,3.21,0.42,2.76,0.38,-27.17,-109.33
"TRANSITIONAL BASALT [600]",49.1,15.9,34.4,4.5,20.6,5.81,2,5.6,1.01,6.1,1.2,3.2,0.41,2.46,0.37,-0.78,-91.03
"TRANSITIONAL BASALT [6671]",47.93,25.74,57.26,7.42,31.07,6.9,2.23,7.04,1.16,6.82,1.44,3.8,0.59,3.55,0.52,68,-33.6
"TRANSITIONAL BASALT [9565]",46.82,20.4,43.7,5.43,21.9,4.62,1.45,4.48,0.651,3.73,0.723,1.94,0.268,1.74,0.252,64.965,-22.884
"TRANSITIONAL BASALT [2426] / BASALT [14569] / PICRITE [3508]",42,4.81,11.75,1.59,8.23,2.26,0.77,2.22,0.39,2.44,0.47,1.29,0.19,1.22,0.18,70.5,-53.25
"TRANSITIONAL BASALT [15667]",45.21,28.8,58.2,7.32,27.7,6.4,2.19,6.12,0.92,4.46,0.9,2.13,0.29,1.63,0.25,34.9742,36.1472
"TRANSITIONAL BASALT [6087]",49.96,1.82,4.71,0.69,3.3,1.12,0.36,1.53,0.3,2.35,0.58,1.89,0.28,1.91,0.3,54.58,-102.25
"TRANSITIONAL BASALT [3348]",49,35.6,80.5,11,44.1,9.55,2.95,8.66,1.24,6.7,1.23,3.23,0.41,2.53,0.36,32.75,-16.8889
"TRANSITIONAL BASALT [9565] / NOT GIVEN [20356]",48.07,16.1,35.5,4.62,19.2,4.29,1.39,4.21,0.685,4.11,0.817,2.25,0.319,2.09,0.312,64.834,-22.286
"TRANSITIONAL BASALT [6087]",51.45,1.53,4.27,0.63,3.26,0.99,0.37,1.62,0.3,2.4,0.55,1.73,0.26,1.72,0.25,54.58,-102.25
"TRANSITIONAL BASALT [3348] / BASALT [7407]",45.31,25.58,54.07,7.53,33.66,7.42,2.34,6.94,0.97,5.22,0.97,2.45,0.31,2.08,0.28,32.4322,-16.4881
"TRANSITIONAL BASALT [9013] / BASALT [9014] / ALKALI BASALT [9012]",48.14,19.3,46.8,6.64,30.6,7.64,2.63,7.84,1.27,7.08,1.3,3.15,0.45,2.69,0.38,19.15,-155.11
"BASALT [24299] / TRANSITIONAL BASALT [7785]",47.85,22.7,48.6,5.95,23.3,4.87,1.39,4.67,0.69,4,0.77,2.18,0.32,2.04,0.29,13.445,40.978
"TRANSITIONAL BASALT [20947]",48.85,15.34,32.5,4,17.87,4.09,1.63,4.38,0.71,4.15,0.81,2.28,0.33,2.12,0.3,9.9311,40.2694
"TRANSITIONAL BASALT [6671]",51.81,23.52,53.61,7.03,30.92,6.91,2.24,6.9,1.08,6.1,1.2,3.18,0.46,3.05,0.45,66.6,-35
"TRANSITIONAL BASALT [23574]",54.69,16.7,39.5,5.38,23.8,5.32,1.58,5.08,0.82,4.94,1,2.98,0.461,3.03,0.474,49,-74.5
"TRANSITIONAL BASALT [23574]",48.55,5.68,14.7,2.19,10.6,2.89,0.945,3.35,0.58,3.53,0.73,2.17,0.324,2.29,0.349,49,-74.5
"TRANSITIONAL BASALT [6671]",46.35,41.1,80.05,10.86,41.8,7.85,2.38,6.93,0.99,5.02,0.92,2.34,0.35,1.89,0.28,66.6,-35
"TRANSITIONAL BASALT [12580]",51.03,63.9,123,13.45,56.8,11.4,3.32,8.51,1.26,5.9,1.02,2.58,0.28,1.7,0.22,-31.5,-64
"TRANSITIONAL BASALT [6671]",48.34,26.71,63,8.29,35.32,7.91,2.54,8.2,1.35,7.89,1.69,4.31,0.64,4.12,0.64,67.3,-34.7
"BASALT [12179] / TRANSITIONAL BASALT [12075]",52.65,29.24,58.57,7.4,31.26,7.24,2.51,7.84,1.14,6.1,1.09,2.65,0.38,2.19,0.32,40.04,113.6
"TRANSITIONAL BASALT [20947]",46.96,17.53,38.12,4.87,21.05,4.71,1.79,4.7,0.7,3.93,0.75,2.04,0.27,1.78,0.26,9.1353,39.9514
"BASALT [24299] / TRANSITIONAL BASALT [7785]",48.9,12.9,27.4,3.46,14.5,3.48,1.22,3.47,0.56,3.29,0.63,1.73,0.27,1.75,0.26,11.009,41.374
"TRANSITIONAL BASALT [2781] / HAWAIITE [2996]",50.61,22.8,62.3,5.1,32,4.8,1.47,5.47,0.79,5.08,1.01,2.95,0.4,2.7,0.43,56.25,-6.4
"TRANSITIONAL BASALT [11689]",46.71,37.8,83,10.8,43.2,9.6,3.35,9.59,1.34,6.53,1.11,2.77,0.31,1.86,0.27,45.75,11.65
"TRANSITIONAL BASALT [6671]",46.84,30.99,66.99,8.91,37.21,7.78,2.64,7.26,1.17,6.52,1.28,3.42,0.52,3.02,0.41,67.9,-33.6
"TRANSITIONAL BASALT [14399]",46.32,10.7,25,3.7,17.3,5.01,1.7,5.46,0.84,4.86,0.91,2.39,0.32,1.96,0.3,20.1,-156.4
"TRANSITIONAL BASALT [23574]",54.75,12.1,29,3.88,17.2,3.71,1.17,3.61,0.59,3.52,0.73,2.11,0.336,2.15,0.313,49,-74.5
"BASALT [24299] / TRANSITIONAL BASALT [7785]",45.21,23.9,48.8,6.19,25.2,5.39,1.92,5.21,0.72,3.75,0.71,1.9,0.26,1.5,0.22,6.709,37.936
"TRANSITIONAL BASALT [16518]",47.01,14.4,31.3,4.03,17.7,4.2,1.56,4.3,0.68,3.74,0.67,1.63,0.22,1.33,0.19,43.51,123.51
"TRANSITIONAL BASALT [5198]",46.04,9.33,28.55,4.34,21.67,5.6,2.046,6.23,0.897,5.43,1.108,3.16,0.423,2.78,0.413,48.8,-87.27
"TRANSITIONAL BASALT [6671]",47.66,25.59,57.06,7.47,31.99,7.05,2.27,7.09,1.13,6.52,1.35,3.61,0.54,3.27,0.48,67.9,-33.6
