"LATITUDE.MIN","LONGITUDE.MIN","ROCK.NAME","LA.PPM.","CE.PPM.","PR.PPM.","ND.PPM.","SM.PPM.","EU.PPM.","GD.PPM.","TB.PPM.","DY.PPM.","HO.PPM.","ER.PPM.","TM.PPM.","YB.PPM.","LU.PPM."
28.56,-19,"TEPHRITE [19993]",120,218,23.4,83.6,14.6,4.45,12.1,1.56,8.61,1.49,3.94,0.52,2.94,0.39
28.56,-19,"TEPHRITE [19993]",124,225,24.2,90.3,15.5,4.38,11.9,1.54,8.59,1.53,3.83,0.48,2.98,0.44
-32.6928,-68.9967,"TEPHRITE [20186]",32.5,73.4,9.4,41.8,9.1,2.7,7.9,1,5,0.9,2.3,0.3,2,0.3
39.2,44,"TEPHRITE [20288]",36.1,77.8,9.27,35,6.8,2.03,6.15,1.03,6.12,1.16,3.38,0.51,3.22,0.51
39.2,44,"TEPHRITE [20288]",30,69.4,8.63,34.3,7.2,2.12,6.82,1.14,6.68,1.33,3.8,0.55,3.32,0.53
39.2,44,"TEPHRITE [20288]",28.7,65.6,8.31,35.6,7.26,2.16,7.23,1.18,6.62,1.3,3.81,0.56,3.62,0.53
39.2,44,"TEPHRITE [20288]",31.7,72.3,9.04,33.8,7.1,2.27,7.12,1.17,6.37,1.33,3.71,0.59,3.64,0.58
39.2,44,"TEPHRITE [20288]",30.7,69.2,8.64,36.4,7.21,2.15,6.55,1.11,5.96,1.22,3.4,0.56,3.5,0.53
39.2,44,"TEPHRITE [20288]",31.7,71,8.85,35.6,7.31,2.25,7.28,1.2,6.73,1.34,3.91,0.58,3.65,0.54
39.2,44,"TEPHRITE [20288]",32.1,73.4,9.01,37.2,7.44,2.35,7.58,1.21,6.78,1.35,3.8,0.59,3.69,0.55
39.2,44,"TEPHRITE [20288]",32.1,74.1,9.1,36.7,7.69,2.21,7.23,1.16,6.51,1.33,3.8,0.59,3.63,0.57
28.5,-18,"TEPHRITE [4795]",108.6,198.6,22.15,80.2,14.11,4.13,11.94,1.55,7.67,1.38,3.5,0.44,2.77,0.38
28.5,-18,"TEPHRITE [4795]",106.2,194.7,21.79,79.1,13.88,4.04,11.55,1.52,7.45,1.35,3.44,0.44,2.7,0.37
41.5,36,"TEPHRITE [20334]",28.2,63.6,7.65,31.2,6.61,1.85,6.38,0.94,5.22,1.02,3.04,0.45,2.99,0.44
41.5,36,"TEPHRITE [20334]",29.4,64,7.77,31.7,6.64,1.81,6.27,0.93,5.38,1.02,3.08,0.46,2.96,0.43
41.5,36,"TEPHRITE [20334]",31.7,65.9,8.15,34.2,7.59,1.98,7.08,1.05,5.18,1.16,3.2,0.52,3.11,0.46
41.5,36,"TEPHRITE [20334]",19.9,45,5.83,26.4,5.68,1.59,5.44,0.85,4.73,0.97,2.82,0.4,2.6,0.39
41.5,36,"TEPHRITE [20334]",32.4,64.6,8.48,35.9,7.57,2.1,7.38,1.06,6.02,1.21,3.33,0.51,3.26,0.49
41.5,36,"TEPHRITE [20334]",24.7,54.5,6.85,28.8,6.26,1.69,5.91,0.89,4.97,0.99,2.83,0.4,2.76,0.4
41.5,36,"TEPHRITE [20334]",21.1,49,6.17,25.8,5.89,1.66,5.6,0.86,4.68,0.93,2.67,0.41,2.57,0.39
41.5,36,"TEPHRITE [20334]",24.8,56.6,7.19,31.1,6.88,1.89,6.35,0.95,5.13,1.01,2.99,0.42,2.76,0.41
41.5,36,"TEPHRITE [20334]",24.4,53.7,6.71,30.3,6.18,1.66,5.84,0.89,4.76,0.96,2.69,0.42,2.49,0.4
41.5,36,"TEPHRITE [20334]",22.9,53.5,6.72,28.4,6.49,1.79,6.03,0.9,4.84,0.92,2.82,0.39,2.48,0.38
41.5,36,"TEPHRITE [20334]",27.9,59.2,7.28,30.1,6.79,1.85,6.12,0.92,4.69,0.93,2.61,0.4,2.53,0.38
41.5,36,"TEPHRITE [20334]",29.5,57.8,7.4,31.2,6.39,1.84,5.81,0.9,5.17,0.94,2.44,0.41,2.57,0.4
41.5,36,"TEPHRITE [20334]",23.1,48.2,6.34,28.8,5.84,1.72,5.82,0.89,4.87,1.01,2.8,0.44,2.94,0.43
41.5,36,"TEPHRITE [20334]",24.9,56.9,7.56,32.5,7.03,2,6.86,1.02,5.89,1.17,3.14,0.52,3.31,0.49
41.5,36,"TEPHRITE [20334]",21,46.5,6.37,27.3,6.3,1.8,6.09,0.91,5.23,1.04,3.19,0.44,2.99,0.43
41.5,36,"TEPHRITE [20334]",22.5,49.1,6.17,26.6,6.17,1.56,5.61,0.84,4.52,1.02,3.02,0.41,2.7,0.39
