"LATITUDE.MIN","LONGITUDE.MIN","ROCK.NAME","LA.PPM.","CE.PPM.","PR.PPM.","ND.PPM.","SM.PPM.","EU.PPM.","GD.PPM.","TB.PPM.","DY.PPM.","HO.PPM.","ER.PPM.","TM.PPM.","YB.PPM.","LU.PPM."
28.56,-19,"TEPHRITIC-PHONOLITE [19993]",129,211,20.4,70.2,10.8,3,8.19,1.05,6.15,1.13,3.1,0.42,2.87,0.41
39.2,44,"TEPHRITIC-PHONOLITE [20288]",54.3,116,13.51,49.9,9.75,2.83,9.63,1.59,9.41,1.96,5.49,0.85,5.72,0.81
39.2,44,"TEPHRITIC-PHONOLITE [20288]",52.1,112.5,12.93,49.9,9.9,2.89,9.51,1.6,9.05,1.97,5.65,0.9,5.55,0.86
39.2,44,"TEPHRITIC-PHONOLITE [20288]",52,109.9,12.45,46.4,9.02,2.68,9.11,1.48,8.57,1.8,5.56,0.84,5.4,0.77
39.2,44,"TEPHRITIC-PHONOLITE [20288]",57.2,113.1,12.59,45.3,8.53,2.74,8.42,1.44,8.3,1.77,5.47,0.87,5.4,0.78
39.2,44,"TEPHRITIC-PHONOLITE [20288]",54.5,110.6,12.47,47.1,8.69,2.74,8.58,1.47,8.23,1.77,5.37,0.85,5.47,0.78
39.2,44,"TEPHRITIC-PHONOLITE [20288]",55.5,113.8,13.84,55.6,10.09,2.96,9.72,1.66,9.58,2.04,5.78,0.87,5.81,0.87
39.2,44,"TEPHRITIC-PHONOLITE [20288]",54.3,114.8,13.26,53,9.96,2.92,10.07,1.62,9.48,2.02,5.84,0.89,5.65,0.85
39.2,44,"TEPHRITIC-PHONOLITE [20288]",53.8,114.3,13.12,50.8,9.43,2.85,9.84,1.6,9.37,1.98,5.54,0.88,5.57,0.83
60,72,"TEPHRITIC-PHONOLITE [20370]",51.5,89.1,10.4,43.3,7.86,1.87,7.76,1.33,8.44,1.92,5.62,0.91,5.38,0.7
60,72,"TEPHRITIC-PHONOLITE [20370]",59,106,10.8,44.4,7.94,2.37,7.98,1.29,8,1.73,5.21,0.86,5.03,0.66
60,72,"TEPHRITIC-PHONOLITE [20370]",50.9,95.8,10.8,45.7,8.55,2.56,8.41,1.34,8.74,1.85,5.84,0.96,5.67,0.73
30.3,-16.1681,"TEPHRITIC-PHONOLITE [4868]",99.4,174,17.5,60.6,10,2.89,8.29,1.25,6.92,1.35,3.86,0.56,3.62,0.52
39.3614,28.0107,"TEPHRITIC-PHONOLITE [18825]",215.5,420.6,43.17,152,22.3,5.3,10.66,1.44,6.31,0.96,252,0.38,2.43,0.38
39.3614,28.0107,"TEPHRITIC-PHONOLITE [18825]",330.5,610.6,61.47,203.1,29,7.43,14.03,1.89,8.08,1.14,2.97,0.42,2.79,0.37
39.3614,28.0107,"TEPHRITIC-PHONOLITE [18825]",252.6,495.7,51.67,181.7,26.1,6.69,12.72,1.67,7.03,1.1,2.76,0.44,2.73,0.38
39.3614,28.0107,"TEPHRITIC-PHONOLITE [18825]",184.8,430,40.74,156.8,19.2,5.13,12.07,1.41,6.04,0.95,2.63,0.38,2.37,0.35
39.3614,28.0107,"TEPHRITIC-PHONOLITE [18825]",177.7,419.8,39.71,149.3,18.3,4.94,10.86,1.36,6.03,0.93,2.49,0.35,2.31,0.35
41,39,"TEPHRITIC-PHONOLITE [20875]",121.5,239.3,24.39,87.4,13.42,3.25,7.82,1.06,4.96,0.84,2.26,0.32,2.05,0.3
41,39,"TEPHRITIC-PHONOLITE [20875]",135.8,261.9,26.52,93,12.3,3.02,6.9,0.92,4.12,0.67,1.83,0.26,1.53,0.23
49.2961,125.9028,"TEPHRITIC-PHONOLITE [22379]",103,185,21.4,81,13.3,3.88,10.3,1.35,6.28,0.95,2.37,0.27,1.47,0.18
49.2961,125.9028,"TEPHRITIC-PHONOLITE [22379]",105,188,21.7,79.5,12.9,3.78,10,1.31,6.19,0.93,2.35,0.26,1.4,0.18
38.7061,47.7867,"TEPHRITIC-PHONOLITE [22469]",72.05,126.99,14.4,54.15,10.11,2.8,8.53,1.12,5.9,1.08,2.89,0.42,2.75,0.42
40.82,14.07,"TEPHRITIC-PHONOLITE [22427]",132,250,24.4,85.2,15.5,1.58,10.65,1.67,9,1.74,5.11,0.75,5.19,0.78
40.82,14.07,"TEPHRITIC-PHONOLITE [22427]",111.5,214,23.6,81.2,14.5,1.86,10.95,1.69,9.22,1.76,5.41,0.73,5.47,0.76
40.82,14.07,"TEPHRITIC-PHONOLITE [22427]",141.5,284,32,111.5,18.65,2.5,15.1,2.02,10.75,2.05,5.52,0.79,5.82,0.97
-72.73407,165.44599,"TEPHRITIC-PHONOLITE [22774]",96.7723161091026,169.051521339069,17.828053177534,61.2732414197918,9.90136633187406,3.13590141725643,8.55707024842902,1.08069640070213,6.14397131804952,1.20704590871335,3.46172473983754,0.478739070975529,3.20077269140902,0.469471706531351
-72.686549,165.608717,"TEPHRITIC-PHONOLITE [22774]",116.355219442821,199.215186634286,20.3303648391419,67.7599209886629,11.0220056655508,3.12628015271119,9.07518820226212,1.11704277172056,6.58959375636299,1.22357769719761,3.52537734467084,0.489873440288902,3.34452939372885,0.478759328562333
-72.727103,165.539127,"TEPHRITIC-PHONOLITE [22774]",102.200780448519,173.838963380577,18.0474456706144,60.6884305000338,9.39367506181501,2.94654440496064,7.79614707789928,0.945085785381239,5.58225503036038,1.05237551919845,2.97484094079013,0.42087104127557,2.80248001187343,0.419637066940204
22,74.08,"TEPHRITIC-PHONOLITE [22803]",118.5,151.6,11.89,27.97,2.255,0.931,2.474,0.205,0.622,0.12,0.33,0.052,0.393,0.061
22,74.08,"TEPHRITIC-PHONOLITE [22803]",80.95,124.3,11.9,36.83,6.246,2.305,6.311,0.775,4.104,0.826,2.174,0.324,2.129,0.322
33.95,85.2333,"TEPHRITIC-PHONOLITE [23110]",203,404,45.93,169,23.61,5.45,16.36,1.73,8.02,1.35,3.14,0.42,2.45,0.36
33.0167,85.25,"TEPHRITIC-PHONOLITE [23110]",179.9,357.4,40.84,151.1,21.53,5.13,14.91,1.61,7.64,1.28,2.98,0.39,2.37,0.34
33.0167,85.25,"TEPHRITIC-PHONOLITE [23110]",245.8,442.1,47.63,165.3,22.21,5.2,16.12,1.75,8.3,1.48,3.61,0.51,3.17,0.46
33.4,85.7667,"TEPHRITIC-PHONOLITE [23110]",245.9,437.6,46.66,161.4,22.04,5.19,15.99,1.76,8.5,1.48,3.67,0.52,3.23,0.48
33.3833,85.1667,"TEPHRITIC-PHONOLITE [23110]",160.5,314.1,35.76,131.9,18.87,4.48,13.15,1.44,6.84,1.18,2.79,0.38,2.26,0.33
33.3833,85.1667,"TEPHRITIC-PHONOLITE [23110]",164.1,321,35.17,121.3,17.26,4.19,12.41,1.44,7.08,1.24,3.08,0.44,2.73,0.4
33.3833,85.1667,"TEPHRITIC-PHONOLITE [23110]",158.8,319.6,33.89,117,16.66,4.07,12.09,1.42,7.07,1.26,3.2,0.47,2.91,0.43
33.3833,85.1667,"TEPHRITIC-PHONOLITE [23110]",162.3,321,34.9,121.2,17.19,4.23,12.64,1.47,7.44,1.35,3.48,0.52,3.37,0.51
33.3833,85.1667,"TEPHRITIC-PHONOLITE [23110]",144.9,302.8,32.42,112.9,16.26,3.93,11.76,1.41,7.1,1.31,3.39,0.51,3.18,0.48
33.3833,85.1667,"TEPHRITIC-PHONOLITE [23110]",169.2,332,35.84,124.3,17.71,4.3,12.6,1.51,7.52,1.35,3.39,0.5,3.19,0.47
61,33,"TEPHRITIC-PHONOLITE [23194]",20.2,46.4,5.81,24.7,4.65,1.75,4.22,0.64,3.54,0.67,1.86,0.24,1.78,0.25
61,33,"TEPHRITIC-PHONOLITE [23194]",31.5,67.6,8.88,35,7.02,2.29,5.46,0.79,4.13,0.74,2.24,0.31,1.87,0.27
-37.05,-12.3,"TEPHRITIC-PHONOLITE [6857]",111,217,24,84.3,13.1,3.73,9.79,1.34,6.86,1.26,3.14,0.436,2.66,0.379
-37.05,-12.3,"TEPHRITIC-PHONOLITE [6857]",119,236,26.2,92.3,14.1,4,10.6,1.45,7.44,1.38,3.49,0.474,2.89,0.409
-28.67,17.2,"TEPHRITIC-PHONOLITE [23759]",62,146,17,71,14,3.3,14,2.3,14,2.7,7.2,1,6.3,0.86
-28.67,17.2,"TEPHRITIC-PHONOLITE [23759]",56,116,15,64,11,1.8,11,1.5,8,1.6,4.2,0.5,3.5,0.45
-28.67,17.2,"TEPHRITIC-PHONOLITE [23759]",50,139,14,61,14,3.2,15,2.2,15,2.9,8.2,1.2,7.6,1
40.639,44.58325,"TEPHRITIC-PHONOLITE [23775]",72.5,125,14,56.2,10.3,3.1,7.6,1.2,4.9,0.9,2.4,0.4,2.4,0.4
28.3,-16.6,"TEPHRITIC-PHONOLITE [23922]",121.53,211.39,21.58,67.48,10.03,3.08,10.22,1.22,6.3,1.2,3.37,0.41,2.91,0.41
40.795,14.163,"LATITE [20123] / TEPHRITIC-PHONOLITE [9456] / PUMICE [15326]",72.92,128.5,13.02,50.44,9.181,2.323,7.044,0.963,5.073,0.895,2.427,0.362,2.466,0.376
40.795,14.163,"TEPHRITIC-PHONOLITE [9456] / PUMICE [15326]",69,132,14.6,51,9,2.6,7,1,4.7,0.9,2.3,0.4,2,0.3
40.795,14.163,"TEPHRITIC-PHONOLITE [9456] / PUMICE [15326]",68,127,14.5,51,9,2.5,7,1,5,0.9,2.4,0.4,2.3,0.4
40.78,14.05,"TEPHRITIC-PHONOLITE [9456] / PUMICE [15326]",64,123,13.3,47.1,8,2.2,6,0.9,5,0.9,2.5,0.4,2.3,0.4
40.78,14.05,"TEPHRITIC-PHONOLITE [9456] / PUMICE [15326]",63,125,13.7,47.4,9,2.4,7,0.9,5,0.9,2.6,0.4,2.4,0.4
