"LATITUDE.MIN","LONGITUDE.MIN","ROCK.NAME","LA.PPM.","CE.PPM.","PR.PPM.","ND.PPM.","SM.PPM.","EU.PPM.","GD.PPM.","TB.PPM.","DY.PPM.","HO.PPM.","ER.PPM.","TM.PPM.","YB.PPM.","LU.PPM."
19.74,-155.05,"THOLEIITIC BASALT [2]",9.5,24.44,3.4,17,4.98,1.66,5.52,0.807,4.84,0.919,2.29,0.308,2.04,0.269
64.7984,-17.2003,"THOLEIITIC BASALT, OLIVINE [4738]",2.69,7.26,1.08,5.82,2.01,0.81,2.6,0.45,3.06,0.71,1.75,0.29,1.86,0.32
64.7984,-17.2003,"THOLEIITIC BASALT, OLIVINE [4738]",2.64,6.88,1.03,5.18,1.71,0.79,2.55,0.4,2.66,0.62,1.77,0.25,1.67,0.29
-19.115,-176.5533,"BASALT [6407] / THOLEIITIC BASALT [10608] / NOT GIVEN [10898]",4.43,15.3,2.85,16.26,6.21,2.1,8.84,1.67,11.24,2.46,7.55,1.15,7.69,1.17
-19.6883,-175.9933,"BASALT [6407] / THOLEIITIC BASALT [10608] / NOT GIVEN [10898]",1.66,4.95,0.99,5.62,2.04,0.82,3.13,0.58,4,0.93,2.83,0.44,2.78,0.43
19.74,-155.05,"THOLEIITIC BASALT [2]",9.1,23.9,3.47,17.4,4.64,1.73,5.48,0.82,4.94,0.926,2.33,0.305,1.78,0.265
-20.709,-176.775,"THOLEIITIC BASALT, CLINOPYROXENE-OLIVINE [3380]",1.48,4.26,0.71,4.17,1.47,0.62,2.17,0.38,2.57,0.59,1.61,0.22,1.46,0.23
-20.709,-176.775,"THOLEIITIC BASALT, CLINOPYROXENE-OLIVINE [3380] / NOT GIVEN [10898]",1.52,4.27,0.67,4.04,1.64,0.59,2.23,0.36,2.49,0.56,1.64,0.23,1.46,0.29
-20.709,-176.775,"THOLEIITIC BASALT, ORTHOPYROXENE-CLINOPYROXENE [3380] / NOT GIVEN [10898]",3.01,7.86,1.29,7.6,2.64,1.01,3.66,0.51,3.85,0.85,2.35,0.4,2.25,0.42
-20.709,-176.775,"THOLEIITIC BASALT, ORTHOPYROXENE-CLINOPYROXENE [3380] / NOT GIVEN [10898]",2.99,8.13,1.26,7.46,2.56,0.91,3.36,0.6,3.73,0.83,2.44,0.38,2.19,0.46
-20.709,-176.775,"THOLEIITIC BASALT, ORTHOPYROXENE-CLINOPYROXENE [3380] / NOT GIVEN [10898]",2.03,5.25,0.85,4.84,1.49,0.63,2.21,0.29,2.42,0.47,1.42,0.22,1.38,0.23
-20.709,-176.775,"THOLEIITIC BASALT, ORTHOPYROXENE-CLINOPYROXENE [3380] / NOT GIVEN [10898]",1.89,5.22,0.86,4.59,1.7,0.61,2.09,0.3,2.37,0.47,1.32,0.19,1.37,0.2
-20.709,-176.775,"THOLEIITIC BASALT, ORTHOPYROXENE-CLINOPYROXENE [3380] / NOT GIVEN [10898]",1.9,4.79,0.79,4.33,1.52,0.62,2.07,0.3,2.16,0.51,1.33,0.2,1.35,0.21
-20.709,-176.775,"THOLEIITIC BASALT, ORTHOPYROXENE-CLINOPYROXENE [3380] / NOT GIVEN [10898]",2.01,5.4,0.82,4.73,1.72,0.58,2.12,0.34,2.24,0.55,1.47,0.23,1.45,0.22
-20.709,-176.775,"THOLEIITIC BASALT, OLIVINE-CLINOPYROXENE [3380] / NOT GIVEN [10898]",1.12,3.23,0.57,3.43,1.41,0.55,1.97,0.31,2.37,0.54,1.48,0.23,1.31,0.23
-20.709,-176.775,"THOLEIITIC BASALT, OLIVINE-CLINOPYROXENE [3380] / NOT GIVEN [10898]",3.27,8.7,1.36,7.73,2.41,0.87,3.27,0.57,3.42,0.74,2.22,0.33,2.08,0.38
-20.709,-176.775,"THOLEIITIC BASALT, CLINOPYROXENE-OLIVINE [3380] / NOT GIVEN [10898]",1.93,5.56,0.78,4.97,1.59,0.68,2,0.31,2.32,0.5,1.26,0.24,1.33,0.26
-20.709,-176.775,"THOLEIITIC BASALT, CLINOPYROXENE-ORTHOPYROXENE [3380] / NOT GIVEN [10898]",3.21,8.57,1.31,7.48,2.35,0.85,3.14,0.51,3.32,0.67,2.16,0.34,1.9,0.39
-20.709,-176.775,"THOLEIITIC BASALT, CLINOPYROXENE-ORTHOPYROXENE [3380] / NOT GIVEN [10898]",3.24,8.51,1.25,7.4,2.39,0.86,3.13,0.54,3.35,0.66,2.1,0.34,1.93,0.33
-20.709,-176.775,"THOLEIITIC BASALT, CLINOPYROXENE-ORTHOPYROXENE [3380] / NOT GIVEN [10898]",2.02,5.67,1,5.71,2.15,0.82,2.76,0.48,3.14,0.71,2.12,0.32,1.86,0.41
-20.709,-176.775,"THOLEIITIC BASALT, CLINOPYROXENE-ORTHOPYROXENE [3380] / NOT GIVEN [10898]",1.87,5.44,0.88,5.59,2.11,0.77,2.94,0.53,3.1,0.64,1.99,0.31,1.89,0.36
-20.709,-176.775,"THOLEIITIC BASALT, CLINOPYROXENE-ORTHOPYROXENE [3380] / NOT GIVEN [10898]",2.6,7.25,1.2,6.49,2.43,1,3.06,0.47,3.22,0.82,2.12,0.28,1.99,0.31
19.74,-155.05,"THOLEIITIC BASALT [2]",11.49,29.7,4.29,21.3,5.6,2.01,6.35,0.932,5.59,1.017,2.55,0.336,1.94,0.291
