"LATITUDE.MIN","LONGITUDE.MIN","ROCK.NAME","LA.PPM.","CE.PPM.","PR.PPM.","ND.PPM.","SM.PPM.","EU.PPM.","GD.PPM.","TB.PPM.","DY.PPM.","HO.PPM.","ER.PPM.","TM.PPM.","YB.PPM.","LU.PPM."
31.75,115.75,"TRACHYANDESITE [20008]",52.6,93.9,10.7,37.8,6.26,1.49,4.96,0.7,3.11,0.58,1.76,0.23,1.47,0.22
31.75,115.75,"TRACHYANDESITE [20008]",55.1,98.5,11,37.6,6.4,1.39,4.9,0.7,3.18,0.58,1.72,0.22,1.41,0.21
31.75,115.75,"TRACHYANDESITE [20008]",40.7,72.5,8.23,28.7,5.08,1.19,4.15,0.63,3.15,0.61,1.82,0.24,1.63,0.24
31.75,115.75,"TRACHYANDESITE [20008]",46.1,89.1,10.4,38.6,6.34,1.56,4.72,0.59,3.07,0.59,1.6,0.24,1.65,0.26
31.75,115.75,"TRACHYANDESITE [20008]",34,61.8,7.52,27.7,5.37,1.57,4.86,0.78,4.09,0.79,2.3,0.32,2.12,0.31
31.75,115.75,"TRACHYANDESITE [20008]",42.7,83.5,9.33,34.3,5.82,1.37,4.78,0.65,3.58,0.7,1.89,0.27,1.79,0.27
30.73,86.7083,"TRACHYANDESITE [20030]",144,343,46.4,201,33.4,4.97,16.2,1.58,6.28,0.91,2.39,0.29,1.73,0.25
30.73,86.7083,"TRACHYANDESITE [20030]",123,301,39.2,170,27.8,4.31,13.9,1.42,5.88,0.94,2.48,0.3,1.85,0.27
30.73,86.7083,"TRACHYANDESITE [20030]",157,386,51.3,219,35.8,5.59,18,1.76,6.82,1.05,2.79,0.36,1.98,0.29
30.73,86.7083,"TRACHYANDESITE [20030]",154,361,49.6,213,34.7,5.48,17.7,1.77,7.31,1.13,2.99,0.39,2.2,0.29
31.3717,84.39,"TRACHYANDESITE [20030]",63,136,16.4,70,14,3.33,8.9,1.05,4.87,0.81,2.01,0.25,1.68,0.24
31.3783,84.3917,"TRACHYANDESITE [20030]",76,158,18.9,78,15.2,3.42,9.8,1.16,5.22,0.85,2.06,0.28,1.71,0.26
31.2967,82.975,"TRACHYANDESITE [20030]",99,232,32.8,142,26.5,4.15,13.9,1.39,5.94,0.97,2.52,0.32,1.94,0.28
29.3317,87.01,"TRACHYANDESITE [20030]",69,149,18,73,13.5,2.78,8.9,1.09,5.23,0.92,2.23,0.29,1.85,0.25
29.3317,87.01,"TRACHYANDESITE [20030]",71,151,18.4,73,13.3,2.79,9,1.12,5.38,0.93,2.25,0.31,1.77,0.27
29.3317,87.01,"TRACHYANDESITE [20030]",74,161,19.6,79,15,3.08,9.8,1.19,5.7,0.97,2.42,0.32,1.87,0.28
29.3317,87.01,"TRACHYANDESITE [20030]",44,116,13.8,57,10.7,2.27,7.2,0.92,4.6,0.77,1.99,0.26,1.53,0.23
29.3317,87.0083,"TRACHYANDESITE [20030]",77,167,20.5,83,15.5,3.17,10.1,1.27,6.12,0.98,2.52,0.34,2.06,0.3
32,81.6933,"TRACHYANDESITE [20030]",61,159,25,112,20.8,3.37,12.3,1.3,5.26,0.79,2.19,0.27,1.51,0.22
31.8433,82.11,"TRACHYANDESITE [20030]",56,142,22,98,18.6,3.02,10.3,1.13,4.56,0.75,2.2,0.28,1.6,0.26
31.8431,82.11,"TRACHYANDESITE [20030]",66,165,25.8,109,22.5,3.6,12.2,1.33,5.35,0.9,2.5,0.32,1.87,0.28
31.98,81.9683,"TRACHYANDESITE [20030]",39,92,11.1,49,11.1,2.41,5.6,0.64,2.82,0.46,1.3,0.19,1.19,0.18
31.98,81.9683,"TRACHYANDESITE [20030]",116,255,36.4,164,37.2,6.43,20.6,2.12,8.31,1.29,2.92,0.37,2.22,0.33
31.9783,81.9683,"TRACHYANDESITE [20030]",105,233,30.4,133,29.7,4.99,15.1,1.59,6.49,0.94,2.23,0.26,1.68,0.24
31.9183,81.8683,"TRACHYANDESITE [20030]",119,304,41.6,181,33.3,5.21,16.3,1.76,7.11,1.07,2.59,0.31,1.94,0.27
31.8217,81.8067,"TRACHYANDESITE [20030]",101,233,31.2,132,24.1,4.17,12.5,1.38,5.73,0.85,2.02,0.26,1.54,0.22
31.8217,81.8067,"TRACHYANDESITE [20030]",92,219,28.7,121,22.3,4.13,11.3,1.27,5.3,0.8,1.87,0.23,1.51,0.21
31.8217,81.8067,"TRACHYANDESITE [20030]",80,196,26.7,116,21.7,4.5,11,1.22,5.15,0.74,1.87,0.25,1.45,0.22
31.8217,81.8067,"TRACHYANDESITE [20030]",140,349,46.2,201,36.4,5.54,17.4,1.88,7.72,1.16,2.7,0.35,2.05,0.29
