"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"WEHRLITE, XENOLITH [15629]",40.6,2.97,7.37,1.07,4.8,1.37,0.42,1.23,0.2,1.15,0.22,0.54,0.07,0.4,0.06,36.59,118.81
"WEHRLITE [28611]",44.97,0.39,0.88,0.11,0.54,0.15,0.12,0.3,0.05,0.39,0.08,0.25,0.04,0.27,0.04,41.53,94.82
"WEHRLITE [28611]",46.95,0.07,0.29,0.05,0.36,0.17,0.07,0.27,0.06,0.4,0.1,0.29,0.04,0.3,0.05,41.53,94.82
"WEHRLITE, XENOLITH [18926]",42.48,5.1,9.61,1.362,6.47,1.43,0.496,1.56,0.216,1.22,0.217,0.533,0.0679,0.327,0.0577,22.825,4.95
"WEHRLITE, AMPHIBOLE-PLAGIOCLASE [26480]",37.22,0.9,1.8,0.2,0.8,0.2,0.11,0.18,0.03,0.21,0.05,0.14,0.02,0.13,0.02,39.9,40.1
"WEHRLITE [22196]",38.28,0.57,1.36,0.25,1.81,0.34,0.17,0.31,0.05,0.33,0.06,0.19,0.02,0.22,0.05,42.5,95.8
"WEHRLITE, MICA, XENOLITH [17331]",43.26,7.9,19.1,2.6,12.7,2.9,0.83,2.86,0.35,2.01,0.36,0.9,0.12,0.72,0.115,47.965,-109.535
"WEHRLITE [5147]",42.8,0.533,1.01,0.136,0.607,0.191,0.142,0.296,0.052,0.363,0.083,0.234,0.039,0.259,0.043,49,-79.37
"WEHRLITE, APATITE [25175]",29.2857854367965,154,343,43.3,179,30.9,6.1,22.6,2.87,15.05,2.93,7.29,0.91,5.16,0.78,48.8,-86.5
"WEHRLITE, XENOLITH [10399]",42.56,1.296,2.884,0.433,1.912,0.559,0.195,0.722,0.135,0.839,0.184,0.519,0.077,0.477,0.076,-1.2554,-90.4412
"WEHRLITE, XENOLITH [19204]",48.3,0.572421,1.923732,0.363181,2.054265,0.734763,0.253950785821138,0.770313,0.136133136207727,0.869517,0.166236,0.413191381923636,0.058672,0.372802,0.051569,28.4,-14
"WEHRLITE, XENOLITH [19581]",40.12,0.059,0.206,0.01,0.0072,0.02,0.003,0.012,0.002,0.016,0.003,0.01,0.002,0.015,0.002,-37.5,174.85
"WEHRLITE [27344]",40.05,0.58,1.48,0.22,1.01,0.3,0.18,0.34,0.07,0.39,0.09,0.25,0.03,0.25,0.04,40.6,91.6
"WEHRLITE, APATITE [25175]",13.2785836177474,153.5,342,41.7,173,30.2,6.36,21.8,2.58,13.25,2.49,6.22,0.75,3.91,0.61,48.8,-86.5
"WEHRLITE [27315]",39.17,3.4,7.2,0.83,3.8,1.01,0.44,1.09,0.16,0.81,0.17,0.51,0.08,0.43,0.06,22.1127,106.8276
"WEHRLITE [22123]",42.18,1.9,4.2,0.6,2.3,0.59,0.2,0.67,0.11,0.66,0.14,0.35,0.06,0.36,0.06,22.15,86.53
"WEHRLITE [28611]",44.75,0.21,0.55,0.09,0.53,0.2,0.09,0.32,0.06,0.43,0.08,0.27,0.04,0.27,0.04,41.53,94.82
"WEHRLITE, XENOLITH [20331]",41.1,1.057783053513,3.43550580146666,0.599694776186541,3.31659367946948,1.08637632760449,0.365051910099704,1.20580148724382,0.18728201259793,1.17049008292365,0.229023624195402,0.539851032327079,0.0692685724564973,0.409549300911428,0.0574713956844851,-21.2303,55.6654
"WEHRLITE, XENOLITH [18926]",42.86,34.8,67.7,7.217,28.3,4.36,1.365,3.48,0.439,2.24,0.37,0.931,0.117,0.581,0.106,22.825,4.95
