"LATITUDE.MIN","LONGITUDE.MIN","ROCK.NAME","LA.PPM.","CE.PPM.","PR.PPM.","ND.PPM.","SM.PPM.","EU.PPM.","GD.PPM.","TB.PPM.","DY.PPM.","HO.PPM.","ER.PPM.","TM.PPM.","YB.PPM.","LU.PPM."
22.8,41.38,"WEHRLITE, XENOLITH [20037]",1.2,2.6,0.37,1.8,0.47,0.18,0.58,0.1,0.61,0.11,0.34,0.04,0.32,0.04
22.8,41.38,"WEHRLITE, XENOLITH [20037]",1.4,2.4,0.38,1.7,0.45,0.19,0.56,0.1,0.63,0.12,0.36,0.03,0.34,0.05
26.92,9.37,"WEHRLITE, XENOLITH [20273]",10.6,26.6,3.07,12.2,2.13,0.85,1.88,0.28,1.69,0.31,0.79,0.11,0.68,0.1
55.0875,90.2632,"WEHRLITE, XENOLITH [18839]",11,35,5.4,26,6.1,2.5,5.4,0.72,4,0.66,1.6,0.2,1.2,0.16
38,-1,"WEHRLITE, XENOLITH [20869]",1.28621209001929,3.64366438434035,0.545531191119325,2.60167424250735,0.562803506001286,0.209319062903216,0.554745019964567,0.0839181072186596,0.540759178515444,0.101846892566906,0.288406338061374,0.0410801950835188,0.251318918194256,0.0422011535618718
30.6,34.8,"WEHRLITE, XENOLITH [20912]",4.61,10.4,1.38,6.26,1.57,0.51,1.6,0.21,1.16,0.22,0.57,0.08,0.45,0.06
30.6,34.8,"WEHRLITE, XENOLITH [20912]",2.97,7.49,1.05,4.99,1.39,0.5,1.6,0.24,1.35,0.25,0.67,0.09,0.5,0.07
30.6,34.8,"WEHRLITE, XENOLITH [20912]",1.1,2.98,0.47,2.3,0.65,0.21,0.67,0.09,0.59,0.11,0.3,0.04,0.26,0.04
11.6,-2.8,"WEHRLITE [20930]",0.65,1.4,0.18,0.76,0.18,0.09,0.21,0.04,0.31,0.07,0.22,0.03,0.24,0.04
11.6,-2.8,"WEHRLITE [20930]",1.73,3.84,0.49,2.11,0.53,0.21,0.6,0.12,0.87,0.2,0.63,0.1,0.67,0.1
29,-14,"WEHRLITE, SPINEL, XENOLITH [5037] / CLINOPYROXENITE, XENOLITH [5037]",6.9,19.5,2.62,11.1,2.2,0.49,2,0.3,1.7,0.4,1.2,0.2,1.3,0.21
35,73,"WEHRLITE [21787]",0,1,0.2,1,0.2,0.1,0.1,0,0.3,0,0.1,0,0.2,0
56.3088,109.787,"WEHRLITE [21826]",32.5,30.5,2.27,4.4,1.09,0.4,1.39,0.23,1.34,0.28,0.75,0.1,0.65,0.09
22.15,86.53,"WEHRLITE [22123]",2.1,4.3,0.6,2.3,0.57,0.17,0.64,0.11,0.64,0.13,0.35,0.06,0.35,0.06
22.15,86.53,"WEHRLITE [22123]",2.9,6,0.7,3,0.71,0.22,0.82,0.13,0.77,0.16,0.4,0.06,0.4,0.06
22.15,86.53,"WEHRLITE [22123]",2.7,5.6,0.7,3,0.75,0.24,0.88,0.14,0.84,0.18,0.47,0.07,0.45,0.07
22.15,86.53,"WEHRLITE [22123]",3.4,7.1,0.9,3.7,0.89,0.26,1.02,0.16,0.94,0.2,0.52,0.08,0.52,0.08
22.15,86.53,"WEHRLITE [22123]",1.9,4.2,0.6,2.3,0.59,0.2,0.67,0.11,0.66,0.14,0.35,0.06,0.36,0.06
22.15,86.53,"WEHRLITE [22123]",2.9,6.2,0.8,3.5,0.88,0.27,1,0.16,0.94,0.2,0.49,0.07,0.46,0.07
42.5,95.8,"WEHRLITE [22196]",1.07,2.91,0.56,3.23,0.97,0.38,1.13,0.18,1.15,0.22,0.63,0.09,0.58,0.09
42.5,95.8,"WEHRLITE [22196]",0.4,1.33,0.28,1.91,0.75,0.24,0.94,0.17,1.04,0.2,0.58,0.07,0.4,0.07
42.5,95.8,"WEHRLITE [22196]",0.38,0.85,0.17,1.04,0.36,0.09,0.42,0.07,0.43,0.09,0.25,0.04,0.19,0.03
42.5,95.8,"WEHRLITE [22196]",1.15,2.36,0.44,2.34,0.68,0.44,0.86,0.13,0.8,0.15,0.45,0.05,0.34,0.05
42.5,95.8,"WEHRLITE [22196]",1.09,2.76,0.55,3.25,1.15,0.53,1.45,0.23,1.47,0.28,0.77,0.1,0.65,0.09
