"LATITUDE.MIN","LONGITUDE.MIN","ROCK.NAME","LA.PPM.","CE.PPM.","PR.PPM.","ND.PPM.","SM.PPM.","EU.PPM.","GD.PPM.","TB.PPM.","DY.PPM.","HO.PPM.","ER.PPM.","TM.PPM.","YB.PPM.","LU.PPM."
40.87,35.21,"LEUCITITE [20318]",36.3,63.9,6.8,26.9,4.99,1.41,4.64,0.67,2.97,0.61,1.74,0.27,1.49,0.26
40.87,35.21,"LEUCITITE [20318]",53.3,96.4,10.5,40,7.76,1.98,7.05,1.03,4.66,1,2.75,0.42,2.49,0.42
40.87,35.21,"LEUCITITE [20318]",35.5,62.3,6.86,26.1,5.01,1.39,4.65,0.7,3.04,0.66,1.69,0.28,1.54,0.26
40.87,35.21,"LEUCITITE [20318]",37.2,68.7,7.09,28.1,5.18,1.44,4.77,0.69,3.04,0.7,1.71,0.28,1.55,0.28
40.87,35.21,"LEUCITITE [20318]",35.3,60.9,6.56,25.6,5.05,1.31,4.3,0.65,2.76,0.67,1.54,0.24,1.51,0.27
40.87,35.21,"LEUCITITE [20318]",56.1,101.3,10.67,39.2,7.87,1.98,6.6,1,4.57,1.04,2.58,0.42,2.5,0.38
40.87,35.21,"LEUCITITE [20318]",52.1,99.6,10.35,40.2,7.27,2.06,6.73,0.97,4.62,1.02,2.24,0.42,2.19,0.39
40.87,35.21,"LEUCITITE [20318]",51.9,101.7,10.45,41.3,8,2.17,6.96,0.99,5.24,0.89,2.59,0.4,2.42,0.41
40.87,35.21,"LEUCITITE [20318]",42.4,73.6,7.64,26.8,5.51,1.46,4.91,0.73,3.58,0.72,1.91,0.3,1.67,0.27
40.87,35.21,"LEUCITITE [20318]",39.1,69.8,7.2,27.9,5.36,1.36,4.66,0.67,2.8,0.62,1.8,0.27,1.65,0.25
40,34,"LEUCITITE [20318]",34,63.7,7.17,27,5.85,1.43,5.37,0.75,3.34,0.69,1.65,0.26,1.37,0.22
40,34,"LEUCITITE [20318]",54.5,100.2,10.77,39,7.62,2.1,6.94,1,5.82,0.96,2.87,0.4,2.4,0.4
40,34,"LEUCITITE [20318]",54.6,97,10.9,41,7.82,1.92,7.09,0.94,5.23,0.86,1.98,0.34,2.23,0.29
40,34,"LEUCITITE [20318]",51,91,9.35,35.9,6.71,1.81,6.24,0.92,4.21,0.89,2.29,0.33,1.89,0.31
40,34,"LEUCITITE [20318]",33.6,62,7.35,29.8,6.29,1.65,5.38,0.72,3.6,0.69,1.85,0.27,1.53,0.26
40,34,"LEUCITITE [20318]",30.7,60.8,6.85,28.2,6.03,1.38,5.12,0.7,3.7,0.59,1.67,0.24,1.33,0.22
40,34,"LEUCITITE [20318]",27.7,52.3,6.02,24.4,5.63,1.31,4.61,0.64,3.16,0.57,1.39,0.19,1.35,0.2
41,34,"LEUCITITE [20318]",47.1,87.4,9.46,38.5,7.7,2.07,7.07,1.09,5.15,1.17,3.08,0.43,2.55,0.41
41,34,"LEUCITITE [20318]",54.5,95,9.55,36.6,6.96,1.78,5.91,0.88,3.96,0.91,2.42,0.41,2.06,0.34
41,34,"LEUCITITE [20318]",43.9,81.1,9.27,33.7,7.48,2.06,6.74,1.04,5.19,1.01,2.74,0.4,2.33,0.37
41,34,"LEUCITITE [20318]",36.7,66.5,7.37,31.7,5.58,1.53,4.66,0.69,3.49,0.6,1.78,0.27,1.54,0.25
41,34,"LEUCITITE [20318]",48.6,91.3,10.91,46.3,9.76,2.49,8.22,1.12,5.98,1.01,3.09,0.42,2.3,0.39
41,34,"LEUCITITE [20318]",36.1,72.8,8.59,35.6,8,2.18,6.81,1.01,5.49,1.04,2.75,0.4,2.48,0.38
41,34,"LEUCITITE [20318]",42,81.5,8.62,34.9,6.78,1.85,6.07,0.86,4.13,0.81,2.14,0.33,1.81,0.29
41,34,"LEUCITITE [20318]",27.5,55.2,6.34,26.6,5.78,1.49,5.26,0.8,3.88,0.81,2.12,0.33,1.73,0.31
40.67,35.83,"LEUCITITE [20318]",40.9,81.5,9.19,37.3,7.44,1.83,6.29,0.92,3.87,0.89,2.03,0.32,1.83,0.31
40.67,35.83,"LEUCITITE [20318]",39.7,73.8,8.58,33.4,7.21,1.77,5.8,0.81,4.16,0.82,1.89,0.32,1.76,0.29
40.67,35.83,"LEUCITITE [20318]",38.2,71.8,8.46,32.8,6.53,1.85,5.64,0.8,3.95,0.76,2.05,0.31,1.91,0.28
40.67,35.83,"LEUCITITE [20318]",33.5,66.5,8.21,32,8.32,2.14,7.42,0.97,5.26,0.8,2.15,0.36,1.79,0.3
41,34,"LEUCITITE [20318]",49.5,99.6,10.51,38.2,8.44,2.11,6.95,1,4.68,0.88,2.16,0.36,2,0.3
41,34,"LEUCITITE [20318]",44.4,89.2,9.65,38.8,7.8,2.16,7.08,1,4.95,0.9,2.5,0.33,2.08,0.31
41,34,"LEUCITITE [20318]",41.5,80.7,8.78,37.5,7.29,2.07,6.6,0.97,4.46,1,2.38,0.4,1.94,0.34
41,34,"LEUCITITE [20318]",47.1,90.4,10.23,43.9,8.42,2.33,7.45,1.08,5.76,0.94,2.64,0.33,2.3,0.38
40,34,"LEUCITITE [20318]",54.5,104.2,11.72,47.3,9.22,2.5,8.13,1.11,5.71,1.1,2.66,0.4,2.45,0.36
39,-4,"LEUCITITE [20341]",69.2,156,18.9,81,15.1,3.2,8,0.9,4.2,0.7,1.7,0.23,1.4,0.22
39,-4,"LEUCITITE [20341]",80.8,184,22.4,97.8,18.4,3.8,10,1.1,5.2,0.9,2.3,0.3,1.8,0.26
39,-4,"LEUCITITE [20341]",69.4,157,19.1,82.7,15.2,3.2,8.3,0.9,4.2,0.7,1.8,0.23,1.4,0.22
