"LATITUDE.MIN","LONGITUDE.MIN","ROCK.NAME","LA.PPM.","CE.PPM.","PR.PPM.","ND.PPM.","SM.PPM.","EU.PPM.","GD.PPM.","TB.PPM.","DY.PPM.","HO.PPM.","ER.PPM.","TM.PPM.","YB.PPM.","LU.PPM."
34.8747,132.6692,"ADAKITE [19747]",46,113,14,55.9,9.62,2.46,6.22,0.69,3.56,0.59,1.69,0.207,1.43,0.179
34.6597,131.9183,"ADAKITE [19747]",46.6,114,14.1,56.1,9.71,2.47,6.09,0.68,3.5,0.57,1.67,0.203,1.41,0.175
34.6747,131.9069,"ADAKITE [19747]",46.6,110,13.6,53.8,9.31,2.35,6.06,0.7,3.51,0.61,1.73,0.214,1.47,0.189
34.6703,131.9019,"ADAKITE [19747]",38.3,93.5,11.7,46,7.76,2.05,5.07,0.6,3.04,0.54,1.53,0.2,1.34,0.164
48.6,-87.85,"ADAKITE [5582]",18.5,38.2,4.71,16.201,2.757,0.875,2.14,0.214,1.08,0.19,0.47,0.071,0.44,0.077
48.65,-86.28,"ADAKITE [5582]",40.2,89.4,10.49,43.911,7.223,1.609,4.66,0.498,2.48,0.48,1.26,0.169,1.08,0.169
48.65,-86.28,"ADAKITE [5582]",51.5,109.6,12.79,47.798,7.699,1.781,5.57,0.572,3.14,0.57,1.52,0.225,1.17,0.2
48.8,-85,"ADAKITE [5582]",15.3,32,3.36,12.451,2.329,0.937,2.09,0.262,1.3,0.23,0.55,0.091,0.53,0.219
49,-85.5,"ADAKITE [5582]",41.4,86.2,10.3,38.9,6.8,1.66,4.55,0.473,2.44,0.42,0.98,0.141,0.87,0.137
49,-85.5,"ADAKITE [5582]",20.1,44.1,5.07,19.7,3.55,0.898,2.64,0.293,1.54,0.28,0.71,0.111,0.67,0.095
49,-85.5,"ADAKITE [5582]",20.3,42.6,4.99,16.556,2.796,0.846,2.26,0.242,1.27,0.23,0.61,0.081,0.53,0.0926
49,-85.5,"ADAKITE [5582]",30.4,62.7,7.25,26.3,4.07,1.087,2.78,0.264,1.37,0.25,0.6,0.081,0.51,0.071
48.6,-87.85,"ADAKITE [5575]",27.3,57.7,6.96,30.967,5.212,1.117,3.07,0.366,1.87,0.34,0.91,0.132,0.81,0.1479
48.6,-87.85,"ADAKITE [5575]",28.5,60.9,7.38,31.444,5.326,1.212,3.5,0.404,2.24,0.44,1.16,0.162,0.99,0.173
49,-85.5,"ADAKITE [5575]",44.3,94.4,11.52,46.619,8.4,1.895,5.85,0.652,3.34,0.57,1.41,0.19,1.18,0.203
49,-85.5,"ADAKITE [5575]",45.7,99.2,12.12,48.3,8.7,2.078,6.19,0.663,3.47,0.64,1.58,0.231,1.42,0.295
