"LATITUDE.MIN","LONGITUDE.MIN","ROCK.NAME","LA.PPM.","CE.PPM.","PR.PPM.","ND.PPM.","SM.PPM.","EU.PPM.","GD.PPM.","TB.PPM.","DY.PPM.","HO.PPM.","ER.PPM.","TM.PPM.","YB.PPM.","LU.PPM."
19.74,-155.05,"ALKALI BASALT [1] / BASALT [14362]",22.7,55,7.62,32.8,7.81,2.41,7.6,1.07,6.7,1.15,2.99,0.37,2.21,0.3
30,85,"BASALT [16380]",28,59.5,7.6,30.38,6.669,1.92,6.15,1.06,5.79,1.14,3.44,0.46,3.03,0.44
30,85,"BASALT [16380]",28,59.2,7.53,30.22,6.527,1.74,5.94,1.01,5.52,1.09,3.36,0.45,3.04,0.46
30,85,"BASALT [16380]",23.1,47.5,6.16,25.36,5.649,1.51,5.05,0.88,4.77,0.94,2.87,0.38,2.54,0.37
30,85,"BASALT [16380]",28.2,59.8,7.53,29.56,6.446,1.84,6.29,1.03,5.72,1.11,3.38,0.46,3.04,0.45
30,85,"BASALT [16380]",24.1,50.8,6.57,27.25,6.106,1.68,5.6,0.96,5.36,1.04,3.19,0.43,2.77,0.42
30,85,"BASALT [16380]",23.3,48.2,6.02,23.36,5.263,1.42,4.97,0.86,4.8,0.93,2.83,0.38,2.48,0.37
30,85,"BASALT [16380]",23.1,49,6.34,26.65,6.013,1.58,5.34,0.92,5.16,1.01,3.04,0.41,2.64,0.4
30,85,"BASALT [16380]",15.8,26.8,4.25,18.9,4.71,1.48,4.6,0.8,5.27,1.09,3.03,0.45,2.59,0.37
30,85,"BASALT [16380]",13.35,32.94,4.67,16.96,4.096,1.65,5.1,0.84,5.08,1.05,2.87,0.47,2.75,0.41
30,85,"BASALT [16380]",12.1,28.36,4.05,15.17,3.86,1.31,4.02,0.72,4.11,0.84,2.45,0.39,2.41,0.35
30,85,"BASALT [16380]",12.3,27,3.62,15.77,3.925,1.26,3.55,0.69,4.14,0.82,2.54,0.34,2.26,0.34
30,85,"BASALT [16380]",13.6,28.8,3.9,16.51,4.057,1.7,3.87,0.75,4.44,0.9,2.69,0.38,2.43,0.38
30,85,"BASALT [16380]",12.5,26.5,3.59,14.78,3.646,1.26,3.53,0.69,3.94,0.78,2.4,0.33,2.21,0.34
30,85,"BASALT [16380]",6.52,14.8,2.19,10.3,2.97,1.16,3.14,0.71,4.62,0.99,3,0.42,2.8,0.43
30,85,"BASALT [16380]",6.52,14.2,2.08,17.03,3.03,1.23,3.09,0.67,4.43,0.93,2.82,0.39,2.61,0.4
30,85,"BASALT [16380]",32.4,66.2,8.45,8.857,9.404,2.15,8.18,1.57,9.27,1.89,5.84,0.82,5.49,0.82
30,85,"BASALT [16380]",48.2,97.8,11.7,44.16,8.929,1.77,8.45,1.34,7.1,1.38,4.41,0.61,4.24,0.66
30,85,"BASALT [16380]",65.8,107,14.6,50.9,9.387,1.7,8.74,1.26,6.3,1.22,3.89,0.51,3.44,0.53
30,85,"BASALT [16380]",9.94,20.26,2.81,9.93,2.73,0.37,3.91,0.85,5.41,1.11,3.52,0.57,3.71,0.54
30,85,"BASALT [16380]",41.2,84.7,10.3,38.65,8.114,2,7.88,1.3,7.09,1.39,4.36,0.58,3.93,0.59
30,85,"BASALT [16380]",38.4,78.3,9.59,36.8,7.16,1.79,7.38,1.22,6.62,1.31,4.04,0.55,3.65,0.55
