"LATITUDE.MIN","LONGITUDE.MIN","ROCK.NAME","LA.PPM.","CE.PPM.","PR.PPM.","ND.PPM.","SM.PPM.","EU.PPM.","GD.PPM.","TB.PPM.","DY.PPM.","HO.PPM.","ER.PPM.","TM.PPM.","YB.PPM.","LU.PPM."
31.8367,82.1067,"BASALTIC-TRACHYANDESITE [20030]",108,229,27.9,112,22.3,4.9,14.4,1.58,6.88,1.07,2.41,0.32,1.93,0.26
19.1717,-99.4956,"BASALTIC-TRACHYANDESITE [20034]",113,229,31.2,135,26.5,6.4,17.4,2,8.5,1.24,3.06,0.39,2.35,0.33
42,127,"BASALTIC-TRACHYANDESITE [17986]",29.3,60.4,7.51,30.7,6.4,2.1,5.68,0.81,4.56,0.88,2.27,0.29,2.01,0.29
42,127,"BASALTIC-TRACHYANDESITE [17986]",16.7,38.8,5.16,22.1,5.78,1.64,4.76,0.79,4.36,0.92,2.28,0.33,2.2,0.3
42.5828,124.2158,"BASALTIC-TRACHYANDESITE [20335]",54.3,118,15.8,61.8,12.5,3.13,9.83,1.19,5.42,0.94,2.3,0.31,1.93,0.29
44,83,"BASALTIC-TRACHYANDESITE [20415]",18.3,41.4,4.63,18.4,3.99,1.1,4.12,0.61,3.64,0.73,2.21,0.31,2.1,0.32
35,-99,"BASALTIC-TRACHYANDESITE [20451]",26.0248,58.6553,7.9264,29.30229632,6.178897668,1.6921,7.0274,1.2344,7.5076,1.5414,4.4849,0.6421,4.1717,0.6287
35,-99,"BASALTIC-TRACHYANDESITE [20451]",31.299,69.581,8.8488,39.8297,6.9219,1.7646,7.9298,1.4566,9.0355,1.8522,5.3635,0.7667,4.9518,0.7399
31.33,116.9,"BASALTIC-TRACHYANDESITE [20461]",100.5,184.5,21.6,70.4,11.2,2.91,7.64,0.95,5.18,0.95,2.46,0.34,2.15,0.33
31.35,116.57,"BASALTIC-TRACHYANDESITE [20461]",45.1,107.5,13.8,50.4,9.42,2.84,7.98,1.2,6.25,1.18,3.35,0.51,3.15,0.47
29.5,96.5,"BASALTIC-TRACHYANDESITE [16208]",32.6,67.7,7.77,30.7,6.41,1.62,6.37,1.03,5.85,1.22,3.43,0.5,3.25,0.49
29.5,96.5,"BASALTIC-TRACHYANDESITE [16208]",32.5,66.5,7.77,30.9,6.59,1.63,6.63,1.07,6.05,1.26,3.53,0.51,3.3,0.5
29.5,96.5,"BASALTIC-TRACHYANDESITE [16208]",43.5,91.4,10.5,41,8.51,1.91,8.41,1.33,7.5,1.54,4.39,0.63,4.16,0.62
49,124,"BASALTIC-TRACHYANDESITE [20500]",57.59,122.8,17.34,67.36,12.76,3.15,9.84,1.53,7.48,1.35,3.6,0.55,3.39,0.5
49,124,"BASALTIC-TRACHYANDESITE [20500]",46.35,97.75,13.61,51.13,9.74,2.5,8,1.25,6.27,1.17,3.2,0.5,3.06,0.53
49,124,"BASALTIC-TRACHYANDESITE [20500]",26.93,56.72,7.99,31.11,5.94,1.7,4.8,0.76,3.89,0.72,1.9,0.3,1.87,0.3
49.0953,123.9281,"BASALTIC-TRACHYANDESITE [20500]",31.25,61.51,8.74,35.84,7.09,2.09,5.85,0.95,4.99,0.96,2.71,0.48,2.88,0.41
49,124,"BASALTIC-TRACHYANDESITE [20500]",26.61,53.46,7.7,31.68,6.34,1.83,5.22,0.84,4.49,0.86,2.44,0.44,2.57,0.37
49,124,"BASALTIC-TRACHYANDESITE [20500]",36.25,77.57,10.54,40.05,7.68,2.19,6.35,0.98,4.8,0.87,2.3,0.36,2.28,0.36
49.0697,124.0722,"BASALTIC-TRACHYANDESITE [20500]",39.58,87.47,11.52,47.3,9.14,2.53,7.3,1.13,5.59,1.03,2.88,0.5,2.82,0.47
49,124,"BASALTIC-TRACHYANDESITE [20500]",33.25,70.15,9.57,35.84,7.17,1.99,5.79,0.93,4.79,0.88,2.4,0.39,2.31,0.38
44,83,"BASALTIC-TRACHYANDESITE [19847]",17.6,38.4,5.45,21.6,5.4,1.48,5.05,0.91,4.7,1.15,3.47,0.46,2.98,0.51
44,83,"BASALTIC-TRACHYANDESITE [19847]",20.3,49.1,7.08,29.9,7.76,2.1,7.52,1.54,8.58,2.01,5.04,0.83,5.2,0.82
44,83,"BASALTIC-TRACHYANDESITE [19847]",10.2,22.9,3.25,14.2,3.36,1.1,3.49,0.72,3.95,0.81,2.82,0.44,2.59,0.42
44,83,"BASALTIC-TRACHYANDESITE [19847]",6.5,18.6,2.88,14.8,4.92,1.22,4.75,0.83,5.06,1.21,4.12,0.61,3.94,0.54
39.3614,28.0107,"BASALTIC-TRACHYANDESITE [18825]",252.2,417.1,43.73,141.3,19.8,4.9,9.58,1.25,5.9,0.91,2.39,0.36,2.13,0.3
39.3614,28.0107,"BASALTIC-TRACHYANDESITE [18825]",228,430.5,44.92,154.4,19.5,5.04,9,1.24,5.04,0.78,1.98,0.31,2.03,0.27
39.3614,28.0107,"BASALTIC-TRACHYANDESITE [18825]",159.5,292.1,30.06,102,15.8,3.7,9.28,1.28,6.37,0.95,2.65,0.39,2.22,0.33
39.3614,28.0107,"BASALTIC-TRACHYANDESITE [18825]",146.7,277.9,29.74,102.9,15,3.95,7.86,1.1,5.27,0.8,2.21,0.31,2,0.25
39.3614,28.0107,"BASALTIC-TRACHYANDESITE [18825]",262.6,471.9,48.22,161.2,20.9,5.14,10.68,1.4,6.2,0.88,2.54,0.39,2.34,0.36
39.3614,28.0107,"BASALTIC-TRACHYANDESITE [18825]",185.9,337.4,33.32,111.7,16,3.9,8.56,1.07,5.03,0.77,2.2,0.33,2.25,0.34
39.3614,28.0107,"BASALTIC-TRACHYANDESITE [18825]",259.8,475.4,45.54,150.9,20.3,5.03,10.26,1.27,5.78,0.96,2.62,0.4,2.68,0.39
39.3614,28.0107,"BASALTIC-TRACHYANDESITE [18825]",261.5,467.5,43.84,137.6,17.7,4.08,8.79,1.25,5.53,0.82,2.4,0.37,2.36,0.36
39.3614,28.0107,"BASALTIC-TRACHYANDESITE [18825]",171.2,297.8,27.99,94.9,12.8,3.15,6.04,0.95,4.38,0.75,1.9,0.29,1.98,0.32
39.3614,28.0107,"BASALTIC-TRACHYANDESITE [18825]",124.6,230,24.69,94.6,12.6,3.46,9.52,1.24,6.56,1.11,2.87,0.43,2.98,0.43
39.3614,28.0107,"BASALTIC-TRACHYANDESITE [18825]",273.4,495.9,50.54,174.6,22.7,5.7,10.54,1.3,5.38,0.82,2.11,0.37,2.18,0.31
39.3614,28.0107,"BASALTIC-TRACHYANDESITE [18825]",223.6,405.5,42.29,145.3,19.3,4.83,9.55,1.25,5.81,0.93,2.5,0.36,2.24,0.33
