"LATITUDE.MIN","LONGITUDE.MIN","ROCK.NAME","LA.PPM.","CE.PPM.","PR.PPM.","ND.PPM.","SM.PPM.","EU.PPM.","GD.PPM.","TB.PPM.","DY.PPM.","HO.PPM.","ER.PPM.","TM.PPM.","YB.PPM.","LU.PPM."
44.3616,-121.7606,"CALC-ALKALI BASALT [4452]",21.6,50.8,7.1,31.9,6.28,2.02,4.41,0.68,4.02,0.77,2.11,0.28,1.76,0.28
-40.87,172.82,"NOT GIVEN [6778]",14,31,3.3,14,2.8,0.62,2.6,0.4,2.4,0.5,1.4,0.22,1.46,0.22
-40.87,172.82,"NOT GIVEN [6778]",15,31,4,16.4,3.2,1.02,2.8,0.44,2.5,0.5,1.4,0.21,1.23,0.2
-40.87,172.82,"NOT GIVEN [6778]",16,35,4.7,19.1,4.2,1.24,3.7,0.54,3.1,0.68,1.8,0.27,1.64,0.27
-40.87,172.82,"NOT GIVEN [6778]",26,59,7.8,31.5,6,1.43,4.7,0.63,3.5,0.64,1.7,0.23,1.52,0.22
-40.87,172.82,"NOT GIVEN [6778]",22,46,5.2,20.5,4,1.25,3.4,0.48,2.8,0.59,1.6,0.25,1.59,0.24
-40.87,172.82,"NOT GIVEN [6778]",21,46,5.4,18.9,3.5,1.07,3.1,0.44,2.7,0.57,1.5,0.24,1.5,0.23
-40.87,172.82,"NOT GIVEN [6778]",31,66,8.2,33,6.6,2.2,6.4,0.71,4,0.77,2,0.28,1.79,0.25
-40.87,172.82,"NOT GIVEN [6778]",33,69,7.5,27.3,4.6,1.28,3.6,0.44,2.4,0.49,1.3,0.18,1.3,0.19
47.98,-121.15,"BASALT [7175] / CALC-ALKALI BASALT [19246]",13.3995221631383,34.9222468045347,4.26700057827555,18.3296033640752,3.92478649258447,1.27727756947234,3.86546823152056,0.610713632037848,3.68123122327682,0.739354954884261,2.19672635187168,0.326217604851349,2.05502686430275,0.308114147595517
47.98,-121.15,"BASALT [7175] / CALC-ALKALI BASALT [19246]",13.388807823762,35.6632899500882,4.37375676727753,18.8589956720711,4.02101670101425,1.29798323521731,4.01448024579856,0.639796246018457,3.7723139112788,0.75522038405028,2.24269079990817,0.333264954796641,2.13281753676421,0.317941085086213
47.98,-121.15,"BASALT [7175] / CALC-ALKALI BASALT [19246]",14.3882122507929,35.581102285417,4.50879215775261,18.7469776492972,3.97993611364131,1.28387479898878,3.96769662316758,0.619850291345469,3.71736629123538,0.747369659486578,2.21811975133112,0.328053851345137,2.07937557185785,0.313776242476278
48,-121.12,"BASALT [7175] / CALC-ALKALI BASALT [19246]",19.6275472490307,44.5925649209129,5.73203400364743,23.824777212432,4.56779954055848,1.36729231138462,3.88597710069107,0.544099857763251,3.26484781483455,0.674809340603784,1.83989332047924,0.2749021018132,1.76098452143823,0.255161073491107
43.804,-121.65425,"CALC-ALKALI BASALT [13085]",9.97,22.27,2.97,14.12,4.07,1.41,4.29,0.74,4.55,0.91,2.53,0.36,2.23,0.35
