"LATITUDE.MIN","LONGITUDE.MIN","ROCK.NAME","LA.PPM.","CE.PPM.","PR.PPM.","ND.PPM.","SM.PPM.","EU.PPM.","GD.PPM.","TB.PPM.","DY.PPM.","HO.PPM.","ER.PPM.","TM.PPM.","YB.PPM.","LU.PPM."
41,124,"CARBONATITE [20006]",33.1,66.4,8.24,32,5.54,1.82,5.04,0.6,2.77,0.42,0.93,0.1,0.56,0.08
37.76,-90.21,"CARBONATITE [20208]",94.7,169,18.1,68.7,11.6,3.41,8,1.1,4.7,0.7,1.8,0.22,1.2,0.17
37.76,-90.21,"CARBONATITE [20208]",69.4,138,15.2,59.2,11,2.99,7.3,1,4.7,0.9,2.1,0.28,1.6,0.23
14.83,-24.68,"CARBONATITE [20286]",907.355882238417,1664.2738776572,181.278118208084,682.126415909545,104.161569058614,28.3492255178595,79.0607780325991,10.4037759748793,56.2236841134021,10.0979926510484,28.0352454045142,3.45917205992874,19.6105688684607,2.6220559338402
14.83,-24.68,"CARBONATITE [20286]",700.198969266114,1160.16714644814,118.033802251237,439.051719170833,76.071584149501,23.4860748226045,69.8347748527692,7.78381934337133,38.2612687621361,6.46550936515832,16.5226807612535,1.84436442338689,9.69691954597874,1.03940684364151
14.83,-24.68,"CARBONATITE [20286]",88.2188960569364,121.300072919493,11.396708021376,39.6639542258672,6.15724709558529,1.86696638139853,5.49084270018333,0.727961700931936,4.42840383092782,1.09580208930692,3.906848373038,0.686006395223463,5.49801072800921,0.786876719261452
14.83,-24.68,"CARBONATITE [20286]",411.372812996377,690.983431886913,74.0425717822826,289.744833086392,45.5860393745745,12.646854140231,39.6161726569766,4.40008591954671,22.6753359054627,3.27859918477456,8.90677444987967,1.01774839327145,6.59865705909002,0.577255542583138
14.83,-24.68,"CARBONATITE [20286]",161.251735455739,253.749302045803,24.0363706014563,86.4342255788472,12.3508625684653,3.96868380966988,12.9752223701994,1.61211740385629,9.21626335944375,1.87160807834826,5.99951180560637,0.724762554391994,5.13722794197983,0.575849630853375
14.83,-24.68,"CARBONATITE [20286]",323.799513549643,534.739753520377,51.6815319661793,181.524788819388,25.5422845760233,7.82300611835042,21.5053865695015,2.47194552311786,14.7482037428923,2.78839058848368,8.33845558352881,1.01412681282095,6.32236829671276,0.790031524884233
14.83,-24.68,"CARBONATITE [20286]",281.7195095059,528.35035656273,57.7371506471069,214.545401486186,35.3309971121321,10.340904137259,28.5975962857231,3.62517171709665,18.9455861417622,3.51385488390532,9.08539879637967,1.17491399670971,7.16328028819238,1.00203783256346
14.83,-24.68,"CARBONATITE [20286]",180.760892344951,234.706211919192,19.1097100845306,59.0528477305098,7.82229375926886,2.25972760662786,6.43366336830532,1.05908891554693,7.70545892593072,1.82233633413632,7.47027166703618,1.30656269021959,10.8728530950181,1.56516637286162
14.83,-24.68,"CARBONATITE [20286]",755.010591000225,1312.47274917534,140.060424964218,525.167453061807,80.9551603205936,22.2658373575879,62.1793639453479,7.75400617790924,42.5116333720903,7.40271824238458,17.3468232329532,1.8794711090743,10.4111735839154,1.29077545518776
14.83,-24.68,"CARBONATITE [20286]",184.313552709037,465.331444562185,61.8089200509704,269.833679382443,50.7778724611103,13.5889144936826,38.7951237760839,4.31757190320339,19.9832297634449,3.00873931328519,6.40445390500163,0.626975022416324,2.86118746884816,0.33849254104774
14.83,-24.68,"CARBONATITE [20286]",186.53562940697,401.335834631005,45.7826639584764,172.99489185556,30.8463429276692,8.00085470056628,24.0229886446279,3.33214299418093,16.3545783846362,2.93915659296345,7.36981427570112,0.935874900203155,6.86100605966087,1.06557158590395
14.83,-24.68,"CARBONATITE [20286]",143.532063962658,209.488391481225,18.476707660998,60.5911992028855,10.6306830082013,3.54952383612675,12.145532227564,2.1091077672357,12.9400325277453,2.84784738935671,7.78190509370547,1.04981539417424,6.10993102405742,0.804298106491447
14.83,-24.68,"CARBONATITE [20286]",115.546656439103,225.253918832918,25.1464814156735,92.0511014303926,14.8479165309565,4.21728585811054,12.014756655898,1.58533994190709,8.54906011276834,1.58844061074977,4.12823356298192,0.532078634712691,3.7052175363741,0.50819360846828
54,108,"CARBONATITE, CALCITE [20287]",375,738,89.7,239,34.3,13.3,33.3,3.98,17.5,2.44,4.77,0.56,2.86,0.38
54,108,"CARBONATITE, CALCITE [20287]",379,822,101,386,55.4,13.8,39.2,4.22,19.8,2.85,6.07,0.63,3.29,0.38
54,108,"CARBONATITE, CALCITE [20287]",325,635,76.4,297,56.3,17.7,54.2,8.38,46.6,7.94,16,1.89,9.73,1.19
54,108,"CARBONATITE, CALCITE [20287]",194,368,38.6,143,21.3,5.34,15.5,1.79,7.58,1.17,2.42,0.28,1.46,0.2
