"LATITUDE.MIN","LONGITUDE.MIN","ROCK.NAME","LA.PPM.","CE.PPM.","PR.PPM.","ND.PPM.","SM.PPM.","EU.PPM.","GD.PPM.","TB.PPM.","DY.PPM.","HO.PPM.","ER.PPM.","TM.PPM.","YB.PPM.","LU.PPM."
42,128,"COMENDITIC RHYOLITE [20416]",164.5,321.1,35.8,127.5,28,0.4,24.9,4,25,4.8,12.4,1.7,10.3,1.5
23.8,-99.2,"COMENDITIC RHYOLITE [20439]",14.2,31.5,3.54,13.4,26.4,0.096,1.66,0.29,1.83,0.38,1.13,0.169,1.13,0.179
23.8,-99.2,"COMENDITIC RHYOLITE [20439]",19.8,45.8,5.07,20.9,3.96,0.496,3.32,0.58,3.85,0.82,2.5,0.383,2.66,0.422
23.8,-99.2,"COMENDITIC RHYOLITE [20439]",12.9,42.8,5.08,21.7,5.18,0.933,4.8,0.82,5.04,1.01,2.97,0.455,3.17,0.526
24.73,-99.9,"COMENDITIC RHYOLITE [20439]",22.9,40.1,4.23,13.9,2.24,0.239,1.73,0.29,1.85,0.36,1.07,0.173,1.13,0.168
24.73,-99.9,"COMENDITIC RHYOLITE [20439]",13.4,27.2,3.22,11.7,2.33,0.207,1.98,0.32,1.95,0.38,1.1,0.161,1.08,0.167
24.73,-99.9,"COMENDITIC RHYOLITE [20439]",19.8,38.9,4.5,15.6,3.18,0.195,2.64,0.43,2.5,0.44,1.17,0.186,1.43,0.236
24.98,-100.06,"COMENDITIC RHYOLITE [20439]",9,20.3,2.58,10.8,2.6,0.14,2.6,0.6,3.7,0.8,2.4,0.34,2,0.27
-19.4321,46.9696,"COMENDITIC RHYOLITE [20855]",62.6,110,13.6,41.6,7,0.2,4.7,0.8,4.6,1,2.9,0.51,3.9,0.68
7,40,"COMENDITIC RHYOLITE [21827]",173,313,37,133,23.9,3.92,21.6,3.7,21.9,4.3,12.3,1.87,12,1.72
7,40,"COMENDITIC RHYOLITE [21827]",85.6,179,21.6,77.2,14.9,0.95,12.2,2.1,13.3,2.8,8.9,1.5,10.4,1.48
7,40,"COMENDITIC RHYOLITE [21827]",97.5,142,21.7,69.4,14.4,1.63,14.3,3.3,23.7,5.3,16.4,2.61,17,2.47
7,40,"COMENDITIC RHYOLITE [21827]",143,238,37.8,128,23.2,3.19,16.1,2.9,18.2,3.7,11.7,1.93,14.4,2.14
36.81133,11.97583,"COMENDITIC RHYOLITE [22611]",127.3,198.5,26.81,100.6,17.76,3.02,15.17,2.52,14.19,2.55,7.36,1.08,7.7,1.11
39,8,"COMENDITIC RHYOLITE [23153]",129.106986027944,231.2,29.4535928143713,107.387824351297,20.1736526946108,0.560978043912176,19.9681636726547,2.9936127744511,17.198003992016,2.9562874251497,8.70319361277445,1.18163672654691,7.85698602794411,1.14850299401198
39,8,"COMENDITIC RHYOLITE [23153]",94.27591522158,215.1,21.4104046242775,77.2670520231214,15.005105973025,0.38728323699422,15.1040462427746,2.37630057803468,14.547591522158,2.73574181117534,8.58843930635838,1.25154142581888,8.50982658959538,1.3266859344894
38.9907,8.3943,"COMENDITIC RHYOLITE [23153]",67.5313976377953,155.2,15.6997047244095,58.123031496063,11.4682086614173,0.448129921259843,11.719094488189,1.83238188976378,11.3959645669291,2.1503937007874,6.31879921259843,0.923031496062992,6.11929133858268,0.922637795275591
39.1436,8.2267,"COMENDITIC RHYOLITE [23153]",470.298316831683,284.6,84.1242574257426,301.540396039604,46.0712871287129,1.01217821782178,43.5725742574257,5.93851485148515,35.0222772277228,6.2250495049505,19.500198019802,2.67524752475248,17.5293069306931,2.58653465346535
39.1476,8.2796,"COMENDITIC RHYOLITE [23153]",115.8156,243.1,26.4819,95.9178,18.7086,0.4836,19.7663,3.1994,19.9113,3.8484,11.9026,1.7197,11.4172,1.6932
39.1577,8.2458,"COMENDITIC RHYOLITE [23153]",113.771622934888,226.7,27.0508260447036,99.7845481049563,19.702915451895,0.557337220602527,20.0652089407191,3.25179786200194,19.9645286686103,3.73197278911565,11.4375121477162,1.66540330417881,11.3962099125364,1.70563654033042
-28.3972,153.2708,"COMENDITIC RHYOLITE [9650]",9.8,42,2.7,11,4.3,0.37,5.8,1.1,7.1,1.7,5.1,0.87,5.3,0.82
-13,-42.7,"COMENDITIC RHYOLITE [23745]",82.4,148.4,14.37,51.2,8.59,1.95,7.71,1.13,6.82,1.36,3.55,0.53,3.37,0.48
-13,-42.7,"COMENDITIC RHYOLITE [23745]",168.2,211.9,36.45,136.1,24.25,5.47,24.94,3.36,19.76,3.86,10.07,1.37,8.5,1.24
-13,-42.7,"COMENDITIC RHYOLITE [23745]",113.6,79.3,21.37,69.5,11.6,2.03,10.34,1.73,10.47,2.07,6,0.89,5.57,0.85
-13,-42.7,"COMENDITIC RHYOLITE [23745]",118,116,24.42,85.2,14.95,2.6,13.98,2.55,15.73,3.09,8.41,1.14,6.83,0.99
-13,-42.7,"COMENDITIC RHYOLITE [23745]",121.7,111.4,23.22,81.2,13.06,2.1,12.74,2.3,15.17,3.18,8.94,1.26,7.56,1.15
-13,-42.7,"COMENDITIC RHYOLITE [23745]",115.4,68.7,21.74,72,10.98,1.76,9.81,1.76,10.43,1.99,5.31,0.75,4.83,0.72
-13,-42.7,"COMENDITIC RHYOLITE [23745]",127.2,108.5,26.5,92,15.4,2.41,13.85,2.32,14.01,2.74,7.64,1.13,7.33,1.09
7.32,38.56,"COMENDITIC RHYOLITE [7625]",102,215,24.9,96,19.3,4.5,18,3.02,19,3.6,10.2,1.47,9.7,1.45
42,127,"COMENDITIC RHYOLITE [24944]",182,475.2,22.3,79.5,15.4,0.3,13.2,2.1,12.2,2.3,6.5,0.9,6.1,0.9
42,127,"COMENDITIC RHYOLITE [24944]",180.4,511.8,24.7,88.6,19.9,0.3,16.9,3,17.8,3.3,9.6,1.4,9.4,1.3
