"LATITUDE.MIN","LONGITUDE.MIN","ROCK.NAME","LA.PPM.","CE.PPM.","PR.PPM.","ND.PPM.","SM.PPM.","EU.PPM.","GD.PPM.","TB.PPM.","DY.PPM.","HO.PPM.","ER.PPM.","TM.PPM.","YB.PPM.","LU.PPM."
41.4105,-122.1918,"DACITE [4684]",12,24.8,3.16,11.8,2.47,0.84,2.39,0.36,2.11,0.42,1.17,0.18,1.22,0.19
38.48,14.9,"DACITE [19952]",43.2,82.5,9.66,35.3,6.5,1.27,5.29,0.88,4.46,0.91,2.51,0.37,2.5,0.39
42.4027,119.696,"DACITE [20063]",42.89,87.1,10.65,39.79,7.89,1.98,7.42,1.17,6.9,1.52,4.09,0.62,4.02,0.62
42.4027,119.696,"DACITE [20063]",39,77.9,9.19,36.3,7.39,1.71,6.79,0.99,5.65,1.09,2.94,0.43,2.9,0.39
42.509,119.8103,"DACITE [20063]",53.86,105.32,12.3,42.55,7.89,1.78,7.3,1.11,6.5,1.34,3.66,0.56,3.64,0.57
42.5572,118.9513,"DACITE [20063]",43.19,84.36,9.97,36.24,6.86,1.52,5.76,0.83,4.57,0.95,2.52,0.38,2.51,0.41
27.5811,127.1362,"RHYOLITE [6864] / DACITE, HYPERSTHENE-HORNBLENDE [5382]",16.2,32.46,3.75,14.22,3.08,0.81,3.09,0.53,3.33,0.73,2.26,0.38,2.51,0.41
15,39,"DACITE [19837]",5,13,1.8,8.8,2.6,0.8,2.4,0.43,3,0.64,2,0.32,2.1,0.34
0.521916,-78.341385,"DACITE [19324]",12.57233333,24.341,3.223666667,13.667,2.883,0.75,2.25,0.306,1.650333333,0.34,0.875666667,0.124333333,0.882333333,0.104
0.521484,-78.345237,"DACITE [19324]",10.60633333,20.71066667,2.747333333,11.807,2.557333333,0.704333333,2.354333333,0.294333333,1.718,0.327,0.860666667,0.138,0.866333333,0.134666667
0.51763,-78.336108,"DACITE [19324]",11.29933333,21.44366667,2.718666667,11.45666667,2.636666667,0.639333333,2.129,0.242666667,1.647666667,0.336333333,0.831666667,0.143666667,0.804333333,0.104
0.473673,-78.338684,"DACITE [19324]",10.085,19.994,2.496333333,11.266,2.221333333,0.686333333,1.938333333,0.253,1.485666667,0.298,0.777333333,0.111333333,0.820333333,0.107666667
0.477146,-78.346278,"DACITE [19324]",9.554666667,17.67533333,2.248333333,10.04633333,2.046666667,0.588333333,1.722,0.218333333,1.388666667,0.278,0.707333333,0.103333333,0.72,0.101333333
0.477598,-78.346475,"DACITE [19324]",10.55133333,20.936,2.856333333,12.01866667,2.665,0.764666667,2.373666667,0.333333333,1.995,0.380666667,1.034666667,0.143666667,1.012333333,0.165
0.513747,-78.320839,"DACITE [19324]",13.17066667,24.90166667,3.041,13.08933333,2.844666667,0.741666667,2.314666667,0.294666667,1.728333333,0.342666667,0.873,0.127,0.910333333,0.148333333
0.521091,-78.334275,"DACITE [19324]",13.165,23.78966667,3.215666667,14.442,3.021,0.871333333,2.350666667,0.321333333,1.967666667,0.39,1.010333333,0.148,0.921333333,0.152333333
0.492755,-78.326468,"DACITE [19324]",10.72866667,19.21033333,2.573666667,11.23033333,2.36,0.738,1.898666667,0.260333333,1.614333333,0.312333333,0.866666667,0.127333333,0.872333333,0.131333333
37.16,139.5,"DACITE [15519]",12.8,28.3,3.35,14.3,3.8,1,4.1,0.7,4.7,1,3.2,0.49,3.2,0.5
37.16,139.5,"DACITE [15519]",14.5,31.1,3.61,15.1,4,1.03,4.4,0.8,5,1.1,3.4,0.51,3.2,0.49
37.16,139.5,"DACITE [15519]",13.7,29.5,3.58,15.1,3.9,1.11,4.3,0.8,4.7,1,3.2,0.49,3.1,0.47
37.16,139.5,"DACITE [15519]",13.7,29.3,3.76,16.4,4.4,1.21,4.8,0.8,5.2,1.1,3.5,0.52,3.4,0.51
37.16,139.5,"DACITE [15519]",10.6,24.1,3,14,3.7,1.08,4.4,0.8,5,1.1,3.4,0.53,3.3,0.52
37.16,139.5,"DACITE [15519]",10.3,23.7,2.96,13.2,3.7,1.05,4.3,0.8,5,1.1,3.4,0.51,3.3,0.51
37.16,139.5,"DACITE [15519]",12.1,27,3.35,14.6,3.9,0.98,4.4,0.8,5.2,1.1,3.4,0.51,3.4,0.53
37.16,139.5,"DACITE [15519]",11.6,26.2,3.26,14.2,3.7,0.99,4.3,0.8,5,1.1,3.3,0.51,3.2,0.5
37.16,139.5,"DACITE [15519]",7.4,17.7,2.57,10.8,2.9,0.92,3.2,0.6,3.8,0.8,2.5,0.39,2.6,0.4
37.16,139.5,"DACITE [15519]",11.4,22.2,2.8,11.6,2.7,0.79,3.1,0.5,3.3,0.7,2.2,0.34,2.3,0.38
37.16,139.5,"DACITE [15519]",14.2,30.5,3.71,15.3,3.5,0.89,3.5,0.7,4.1,0.9,2.7,0.43,2.9,0.46
52.5,40,"DACITE [20102]",17.6,39.2,4.07,15.4,3.2,0.76,2.04,0.278,1.51,0.295,0.808,0.126,0.73,0.118
22.0389,95.0431,"DACITE [20049]",26.1,50.8,5.69,20.8,3.54,1.08,2.87,0.42,2.27,0.47,1.38,0.21,1.45,0.22
-7.2,109.92,"DACITE [20041]",23.3,48.4,5.74,22.3,4.76,1.49,5.17,0.76,4.37,0.94,2.56,0.42,2.55,0.42
-7.2,109.92,"DACITE [20041]",23.2,47.1,5.68,21.4,4.52,1.05,4.64,0.71,4.19,0.84,2.66,0.4,2.65,0.42
