"LATITUDE.MIN","LONGITUDE.MIN","ROCK.NAME","LA.PPM.","CE.PPM.","PR.PPM.","ND.PPM.","SM.PPM.","EU.PPM.","GD.PPM.","TB.PPM.","DY.PPM.","HO.PPM.","ER.PPM.","TM.PPM.","YB.PPM.","LU.PPM."
33.24489,134.1745,"GABBRO [19928]",3.1,6.4,1,6,2.3,1,3.4,0.7,4.1,0.9,2.4,0.4,2.6,0.3
27,102,"GABBRO [19986]",9.76,23.5,3.38,15.5,4.64,1.51,5.76,0.97,6.18,1.35,3.74,0.53,3.47,0.5
27,102,"GABBRO [19986]",8.49,21.3,3.11,14.6,4.36,1.46,5.57,0.98,6.08,1.39,3.67,0.52,3.31,0.49
26.5144,102.1441,"GABBRO [19986]",8.32,20,2.99,13.7,4.27,1.46,5.26,0.94,5.9,1.34,3.65,0.52,3.23,0.5
27,102,"GABBRO [19986]",8.77,20.9,3.24,14.8,4.47,1.51,5.45,1,6.21,1.32,3.75,0.54,3.38,0.5
27,102,"GABBRO [19986]",9.18,23.1,3.38,16,4.77,1.46,5.75,1.05,6.42,1.44,3.97,0.57,3.55,0.53
27,102,"GABBRO [19986]",10.1,24.1,3.52,16.2,4.76,1.61,5.81,1.03,6.62,1.42,4.05,0.57,3.63,0.54
27,102,"GABBRO [19986]",9.99,24.4,3.5,16.5,4.88,1.66,6.12,1.08,6.59,1.48,4.08,0.58,3.65,0.53
27,102,"GABBRO [19986]",10.5,25,3.58,16.7,4.93,1.89,6.03,1.04,6.36,1.4,4,0.58,3.66,0.58
27,102,"GABBRO [19986]",10.8,26.6,3.73,17.2,5,1.71,6.98,1.11,6.97,1.49,4.19,0.61,3.69,0.56
27,102,"GABBRO [19986]",9.82,24.3,3.52,15.9,4.81,1.28,5.95,1.04,6.63,1.39,4.3,0.63,3.99,0.58
27,102,"GABBRO [19986]",8.34,20.9,3.03,14.4,4.34,1.47,5.69,0.98,6.18,1.31,3.73,0.52,3.38,0.51
27,102,"GABBRO [19986]",7.73,19.9,2.91,13.8,4.36,1.29,5.48,0.92,5.76,1.21,3.52,0.5,3.14,0.48
27,102,"GABBRO [19986]",9.32,22.5,3.21,15.2,4.5,1.51,5.72,1,6.12,1.31,3.7,0.53,3.46,0.53
27,102,"GABBRO [19986]",9.95,22.7,3.51,16.6,4.88,1.61,6.34,1.06,6.72,1.41,3.92,0.59,3.64,0.54
27,102,"GABBRO [19986]",13.3,33.8,3.83,19.4,5.48,1.7,5.84,1.08,7.22,1.57,4.36,0.65,4.04,0.61
27,102,"GABBRO [19986]",8.64,19.4,2.53,12.7,3.5,1.19,3.86,0.68,4.51,0.96,2.75,0.42,2.5,0.39
27,102,"GABBRO [19986]",9.89,22.3,2.88,14.2,3.88,1.4,4.46,0.78,5.17,1.1,3.08,0.46,2.81,0.43
64.03,-16.68,"GABBRO [4594]",14.4,31,3.87,17.4,4.93,1.6,5.2,0.85,4.99,0.98,2.43,0.34,1.9,0.29
67.51,17.77,"GABBRO [20003]",23.9,61.3,10,50.2,11.7,3.46,10.2,1.33,7.83,1.44,3.72,0.43,2.42,0.33
67.45,17.6,"GABBRO [20003]",22.5,56.5,8.7,42.1,9.4,2.88,8.6,1.09,6.49,1.21,3.01,0.35,2,0.26
67.45,17.6,"GABBRO [20003]",8.1,23.1,4.1,21.2,5.5,1.7,5.6,0.8,4.61,0.92,2.35,0.31,1.83,0.29
67.45,17.6,"GABBRO [20003]",55.4,98.5,11.1,42.1,6.2,1.91,4.2,0.53,3.52,0.62,1.73,0.22,1.56,0.26
67.51,17.77,"GABBRO [20003]",7.8,17.3,2.7,12.8,3.2,1.14,3.1,0.39,2.47,0.47,1.22,0.15,0.97,0.14
67.45,17.6,"GABBRO [20003]",8.1,18.8,3.1,15,3.6,1.38,3.6,0.47,2.91,0.55,1.46,0.17,1.14,0.16
67.51,17.77,"GABBRO [20003]",69.9,150.8,20.3,81.4,13.4,3.53,7.6,0.91,4.78,0.76,2.03,0.21,1.42,0.19
67.51,17.77,"GABBRO [20003]",20.1,48.6,7.1,31,6,2.02,4.8,0.6,3.43,0.67,1.75,0.2,1.39,0.2
67.51,17.77,"GABBRO [20003]",38,78.5,9.9,38.9,6.9,1.96,4.5,0.54,2.98,0.48,1.37,0.2,1.34,0.21
67.51,17.77,"GABBRO [20003]",7.5,20.2,3.1,16.8,4.2,1.25,3.9,0.54,3.25,0.57,1.59,0.21,1.4,0.18
67.51,17.77,"GABBRO [20003]",7.6,19.6,3.1,15.5,3.7,1.26,3.7,0.48,2.97,0.59,1.56,0.2,1.24,0.18
32,36,"GABBRONORITE [20029]",1.4,2.7,0.33,1.5,0.37,0.37,0.36,0.06,0.41,0.07,0.21,0.03,0.14,0.01
