"LATITUDE.MIN","LONGITUDE.MIN","ROCK.NAME","LA.PPM.","CE.PPM.","PR.PPM.","ND.PPM.","SM.PPM.","EU.PPM.","GD.PPM.","TB.PPM.","DY.PPM.","HO.PPM.","ER.PPM.","TM.PPM.","YB.PPM.","LU.PPM."
40,30,"HAWAIITE [20101]",47.5,89.4,10.27,39.8,6.1,1.8,5.69,0.74,4.83,0.87,2.27,0.35,2.07,0.34
40,30,"HAWAIITE [20101]",20.6,43,4.93,20,4.29,1.46,4.55,0.71,4.11,0.88,2.28,0.36,2.19,0.34
40,30,"HAWAIITE [20101]",20.9,42.4,5.2,21,4.57,1.49,4.78,0.78,4.67,0.9,2.61,0.39,2.45,0.4
40,30,"HAWAIITE [20101]",19,41,4.8,19.6,4.28,1.47,4.52,0.76,4.1,0.89,2.45,0.36,2.34,0.36
40,30,"HAWAIITE [20101]",17.6,39.4,4.75,21,4.62,1.49,4.78,0.76,4.29,0.9,2.54,0.37,2.3,0.37
-35.3,173.9,"BASALT [21740]",25.2544654195999,21.2445414331265,17.6323811007785,16.1934502890607,11.6114382933865,10.7165361161262,9.52237104848097,8.39948893771162,7.68859309089532,6.93613318431956,6.91239987102506,6.31304317712162,6.48231575525075,6.13433909974767
-35.3,173.9,"BASALT [21740]",23.6258905461492,18.7221688877151,14.9720601966822,13.2933407034053,9.90115848632238,8.36937817266219,7.47465865722121,6.45758180883371,5.83616092014095,5.05916023370861,4.65772401254038,4.33684645529837,4.21088229666944,3.83608020211942
-35.3,173.9,"BASALT [21740]",24.2462877457617,18.7756466870867,14.9320869766383,13.3093600222244,9.44066637738454,8.35142510320522,7.30346257817603,6.29129089103954,5.45659002734981,4.70044721780048,4.46213810169516,4.05789474243301,3.96069962092681,3.67709952363266
39.2,44,"HAWAIITE [20288]",23.1,51.7,6.84,34.4,8.1,2.12,6.97,1.24,6.54,1.37,3.79,0.6,3.51,0.56
39.2,44,"HAWAIITE [20288]",22.2,51.3,6.67,25.7,6.13,1.96,6.48,1.14,6.36,1.28,3.74,0.59,3.6,0.53
39.2,44,"HAWAIITE [20288]",31.4,67.1,8.68,34.5,7.28,2.27,7.41,1.24,6.76,1.39,3.92,0.6,3.76,0.57
39.2,44,"HAWAIITE [20288]",31.4,67.7,8.6,35.8,7.12,2.27,7.25,1.24,6.59,1.34,3.83,0.61,3.65,0.58
39.2,44,"HAWAIITE [20288]",21.1,48,6.28,26.5,5.99,1.99,6.47,1.06,6.08,1.17,3.54,0.5,3.32,0.48
39.2,43,"HAWAIITE [20322]",30,63.2,7.67,31.6,5.77,1.8,5.28,0.86,4.93,1.02,2.8,0.43,2.57,0.4
39.2,43,"HAWAIITE [20322]",29.5,64.1,7.88,31.5,6.11,1.91,5.83,0.99,5.48,1.15,3.13,0.49,3.08,0.46
39.2,43,"HAWAIITE [20322]",29,64.6,6.87,25,5.11,1.67,5.72,0.88,4.89,0.97,3.08,0.44,2.59,0.43
-19.41,47.2,"HAWAIITE [20343]",46.2,94.4,11,44.3,9.1,3,7.6,1.2,5.9,1.1,2.9,0.4,2.4,0.4
51.3815,101.3,"HAWAIITE [20364]",25.1,57,7.07,30.3,6.76,2.04,5.77,0.8,4.13,0.74,1.79,0.22,1.32,0.18
51.4031,101.245,"HAWAIITE [20364]",31.8,68.9,8.7,35.1,7.48,2.24,6.25,0.91,4.67,0.79,1.96,0.24,1.41,0.2
51.3815,101.2274,"HAWAIITE [20364]",26.7,59.7,7.79,32.9,7.65,2.27,5.95,0.84,4.34,0.75,1.78,0.23,1.28,0.19
51.3553,101.2217,"HAWAIITE [20364]",29.1,64.9,8.4,34.5,7.44,2.31,6.39,0.91,4.64,0.83,2.01,0.25,1.37,0.19
51.3556,101.2204,"HAWAIITE [20364]",26.9,58.6,7.87,32.7,7.66,2.29,6.4,0.9,4.52,0.78,1.83,0.24,1.36,0.18
51.4311,101.1842,"HAWAIITE [20364]",30.2,65.5,8.4,35.9,7.91,2.47,6.75,0.96,4.8,0.81,1.88,0.24,1.33,0.18
51.2742,101.2081,"HAWAIITE [20364]",26.4,60.4,7.66,32,7.27,2.19,6.56,0.86,4.31,0.8,1.91,0.24,1.26,0.17
51.3816,101.291,"HAWAIITE [20364]",22.4,50.6,6.65,28.7,6.31,1.98,5.51,0.8,4.17,0.77,1.77,0.24,1.39,0.2
51.2467,101.3728,"HAWAIITE [20364]",26.4,57.7,7.16,30.3,7.15,2.1,5.76,0.81,4.42,0.74,1.8,0.23,1.22,0.16
51.4327,101.2064,"HAWAIITE [20364]",29.8,65.1,8.46,33.9,7.69,2.31,6.39,0.86,4.6,0.8,1.88,0.23,1.28,0.18
51.446,101.129,"HAWAIITE [20364]",31.1,64.6,8.21,34.5,8.03,2.38,6.51,0.88,4.67,0.76,1.66,0.22,1.34,0.18
51.4644,101.3008,"HAWAIITE [20364]",29.2,63.5,8.11,33.8,7.58,2.29,6.37,0.91,4.58,0.79,1.79,0.23,1.34,0.19
51.2793,101.2352,"HAWAIITE [20364]",28.9,62.7,8.31,33.5,7.92,2.33,6.53,0.91,4.63,0.79,1.95,0.25,1.4,0.19
51.3716,101.2076,"HAWAIITE [20364]",24.8,55.4,7.32,31.9,7.51,2.26,6.32,0.9,4.68,0.81,1.88,0.24,1.43,0.21
51.4573,101.1573,"HAWAIITE [20364]",27.5,61.3,8.13,34.5,7.61,2.29,6.2,0.86,4.62,0.76,1.74,0.22,1.36,0.17
51.3817,101.2477,"HAWAIITE [20364]",24,53.3,6.73,28.9,6.64,1.99,5.45,0.82,4.42,0.8,1.83,0.23,1.27,0.18
51.4004,101.2177,"HAWAIITE [20364]",30.8,66.8,8.51,34.9,7.76,2.35,6.47,0.9,4.62,0.8,1.9,0.23,1.35,0.18
51.3498,101.2763,"HAWAIITE [20364]",22.4,51.7,6.76,29.2,7,2.2,6.18,0.86,4.56,0.8,1.88,0.24,1.43,0.19
51.3715,101.2106,"HAWAIITE [20364]",27.1,58.8,7.63,31.5,7.11,2.15,5.93,0.88,4.64,0.79,1.85,0.24,1.38,0.18
51.3789,101.2448,"HAWAIITE [20364]",21.5,49.5,6.37,27.4,6.25,1.92,5.55,0.76,4.11,0.7,1.63,0.22,1.27,0.18
51.3726,101.2556,"HAWAIITE [20364]",26.5,59.4,7.79,32.6,7.13,2.21,6.15,0.87,4.55,0.8,1.89,0.23,1.3,0.19
51.3984,101.2412,"HAWAIITE [20364]",23,51.1,6.76,28.6,6.38,1.95,5.37,0.79,4.17,0.74,1.77,0.24,1.38,0.2
51.3941,101.2431,"HAWAIITE [20364]",22.1,51.5,6.87,29.2,7.21,2.14,6.15,0.85,4.31,0.78,1.72,0.23,1.28,0.18
51.4021,101.22,"HAWAIITE [20364]",25.6,57.3,7.39,29.8,6.86,2.12,5.73,0.8,4.22,0.73,1.6,0.22,1.24,0.18
51.3721,101.2123,"HAWAIITE [20364]",23.8,55.9,7.34,31.8,7.46,2.25,6.18,0.85,4.53,0.78,1.85,0.24,1.4,0.19
51.3772,101.2505,"HAWAIITE [20364]",22.5,52.2,6.84,28.6,6.49,2.06,5.96,0.81,4.43,0.73,1.73,0.24,1.41,0.19
51.4414,101.1363,"HAWAIITE [20364]",30.7,66.5,8.63,35.2,7.81,2.43,6.66,0.93,4.68,0.78,1.72,0.23,1.36,0.19
51.386,101.2849,"HAWAIITE [20364]",26.1,58.7,7.54,32.1,7.16,2.16,6.13,0.87,4.35,0.76,1.87,0.24,1.3,0.19
51.3462,101.2233,"HAWAIITE [20364]",24.7,54.5,7.11,31.5,7.08,2.17,6.05,0.82,4.43,0.77,1.72,0.22,1.29,0.18
51.4307,101.1659,"HAWAIITE [20364]",22.3,49.9,6.62,27.7,6.46,2.02,5.84,0.83,4.29,0.74,1.76,0.23,1.38,0.19
51.3773,101.2477,"HAWAIITE [20364]",26.3,58,7.11,30.2,6.93,2.08,5.63,0.78,4.17,0.7,1.56,0.21,1.25,0.19
51.3496,101.2801,"HAWAIITE [20364]",23.9,52.9,6.86,29.2,7.08,2.17,5.85,0.82,4.39,0.75,1.72,0.23,1.31,0.19
