"LATITUDE.MIN","LONGITUDE.MIN","ROCK.NAME","LA.PPM.","CE.PPM.","PR.PPM.","ND.PPM.","SM.PPM.","EU.PPM.","GD.PPM.","TB.PPM.","DY.PPM.","HO.PPM.","ER.PPM.","TM.PPM.","YB.PPM.","LU.PPM."
50,17,"LAMPROPHYRE, MICA [17923]",44.6,95.7,11.03,43.6,7.6,2.27,5.45,0.83,4.41,0.86,2.14,0.32,1.92,0.29
58.77,-2.97,"LAMPROPHYRE [20039]",52,92.65,10.9,40.14,7.32,2.18,6.79,0.9,4.27,0.74,1.97,0.26,1.54,0.25
37.408,120.1443,"LAMPROPHYRE [20271]",55.3,139.8,12.37,49.75,8.43,2.53,7.54,1.09,6.41,1.06,3.11,0.44,2.6,0.36
37.398,120.1338,"LAMPROPHYRE [20271]",52.1,131.4,11.54,47.12,8,2.39,7.21,1.04,6.1,1.02,2.96,0.42,2.42,0.38
37.408,120.1443,"LAMPROPHYRE [20271]",49.2,93.5,10.28,36.27,7.11,2.16,6.7,0.89,4.53,0.87,2.3,0.3,1.96,0.28
37.398,120.1338,"LAMPROPHYRE [20271]",57.9,120,13.65,55.82,9.84,3.91,8.9,1.15,7.18,1.32,3.33,0.47,2.98,0.42
37.408,120.1443,"LAMPROPHYRE [20271]",64.3,121,13.31,52.5,9.72,3.12,10.09,1.23,6.46,1.17,3.14,0.4,2.58,0.38
37.398,120.1338,"LAMPROPHYRE [20271]",55.3,144.2,12.15,47.61,8.5,2.82,7.48,1.08,6.49,1.11,3.05,0.45,2.52,0.38
37.398,120.1338,"LAMPROPHYRE [20271]",62,153.9,13.33,53.04,9.02,2.88,8.73,1.22,6.88,1.16,3.31,0.48,2.75,0.39
37.398,120.1338,"LAMPROPHYRE [20271]",62.4,153.1,13.47,53.57,9.4,2.89,8.53,1.25,6.72,1.13,3.26,0.43,2.59,0.41
37.398,120.1338,"LAMPROPHYRE [20271]",60,119.8,13.65,50.56,9.26,2.93,8.03,1.05,5.95,1.17,2.93,0.4,2.48,0.38
37.398,120.1338,"LAMPROPHYRE [20271]",60.5,119.3,12.81,49.14,9.29,2.89,7.99,1.02,6.04,1.14,2.97,0.4,2.52,0.38
37.398,120.1338,"LAMPROPHYRE [20271]",68.6,135.5,13.84,54.37,9.86,3.33,9.45,1.23,6.8,1.3,3.31,0.44,2.84,0.41
37.398,120.1338,"LAMPROPHYRE [20271]",60.3,114,12.5,48.89,9.23,2.85,7.98,0.97,5.39,1.01,2.54,0.36,2.26,0.35
37.398,120.1338,"LAMPROPHYRE [20271]",58,116.8,13.08,52.41,9.81,3.14,8.64,1.1,6.42,1.15,3.08,0.4,2.52,0.38
37.398,120.1338,"LAMPROPHYRE [20271]",57.2,145.2,12.64,51.58,9.05,3.03,8.37,1.18,6.56,1.17,3.17,0.46,2.64,0.38
37.398,120.1338,"LAMPROPHYRE [20271]",60.1,106.2,11.78,44.01,8.67,2.76,7.92,1.05,5.56,1.06,2.76,0.38,2.53,0.34
40.67,35.83,"LAMPROPHYRE [20318]",37.7,74.1,8.12,30.8,6.58,1.72,5.8,0.84,4.13,0.82,1.93,0.31,1.75,0.32
40.67,35.83,"LAMPROPHYRE [20318]",43.8,72.8,7.11,25.9,4.88,1.37,4.37,0.73,3.64,0.81,2.2,0.38,2.03,0.34
40.67,35.83,"LAMPROPHYRE [20318]",41.2,76.3,9.22,35.6,7.77,2.16,6.62,0.99,5.21,0.97,2.58,0.37,2.58,0.35
40.67,35.83,"LAMPROPHYRE [20318]",41.5,77.9,8.24,29.9,5.87,1.57,4.83,0.75,3.79,0.78,2.26,0.37,2.14,0.38
40.67,35.83,"LAMPROPHYRE [20318]",39.9,77.2,8.14,30.9,5.86,1.57,5.02,0.77,3.57,0.8,2.11,0.35,2.02,0.33
40.67,35.83,"LAMPROPHYRE [20318]",33.6,69.8,8.9,39.7,8.9,2.3,7.91,1.21,5.42,1.05,2.69,0.34,2.06,0.32
40,34,"LAMPROPHYRE [20318]",22.5,41.8,4.9,18.2,3.95,1.12,3.74,0.59,2.88,0.64,1.78,0.26,1.47,0.24
40,34,"LAMPROPHYRE [20318]",34.2,59.8,6.41,24,5.02,1.27,4.95,0.81,3.97,0.92,2.48,0.44,2.11,0.39
