"LATITUDE.MIN","LONGITUDE.MIN","ROCK.NAME","LA.PPM.","CE.PPM.","PR.PPM.","ND.PPM.","SM.PPM.","EU.PPM.","GD.PPM.","TB.PPM.","DY.PPM.","HO.PPM.","ER.PPM.","TM.PPM.","YB.PPM.","LU.PPM."
56,14,"NEPHELINITE [19997]",74.4,140,15.7,57.1,9.83,2.97,8.79,1.17,6.07,1.1,2.95,0.38,2.28,0.36
14.83,-24.68,"NEPHELINITE [20286]",55.357741845161,138.859866329283,16.8188813764468,67.859412865792,13.087442773735,4.08262030028482,11.1723647953836,1.39335715575658,8.28344679859758,1.38654650067798,3.87816263448728,0.458216660179089,3.16800208532584,0.444367472372149
14.83,-24.68,"NEPHELINITE [20286]",67.5263999835675,133.701386558443,15.128929590289,58.8223363525053,10.2900427000756,3.07982575088203,7.93429216623546,1.20427514589277,5.60537842428593,1.18990092224162,3.44700458992117,0.431384242878835,2.57514342052649,0.440749680452859
14.83,-24.68,"NEPHELINITE [20286]",54.2511475079559,111.489073638511,12.318391035194,46.8915621197107,9.27103794840222,2.88837248469801,7.77279025291415,1.17845335252859,6.6692921674716,1.20302886437126,3.06108924330147,0.356785235172968,2.39000937377856,0.346643850315344
14.83,-24.68,"NEPHELINITE [20286]",51.1711355361298,142.690629757237,18.271405548864,74.8896611737764,12.2329710820201,3.40550518480632,8.37004351503692,0.927229781719743,4.23221786491212,0.672843592233604,1.47367508759439,0.183235760219566,0.961845577246553,0.137604200818621
14.83,-24.68,"NEPHELINITE [20286]",96.2290998745583,186.850841240546,20.8138869791892,83.8105007750005,15.3992072701114,4.5493324172235,12.7807619051333,1.68873677774474,9.32789239532796,1.77701218134822,4.81717302065755,0.569451333625202,3.04825486381455,0.517036861732163
14.83,-24.68,"NEPHELINITE [20286]",88.2202855284568,198.471875399477,23.161841350451,90.9462195326517,16.5432220536006,4.74760983647256,12.0570552281287,1.49812989544571,8.07003690872077,1.48974345356376,3.71582590540094,0.40362636191498,2.53335465606747,0.32765432050842
-19.41,47.2,"NEPHELINITE, OLIVINE [20343]",69.3,129,14.1,53.4,9.6,3,7.3,1,4.7,0.8,2,0.3,1.5,0.2
-19.41,47.2,"NEPHELINITE, OLIVINE [20343]",65.1,126,14.1,52.9,9.5,2.9,7.5,0.9,4.6,0.8,1.9,0.2,1.3,0.2
-19.41,47.2,"NEPHELINITE, OLIVINE [20343]",85.8,154,17.1,62.6,10.5,3.4,8.4,1.2,5.7,1,2.4,0.3,1.7,0.2
-19.41,47.2,"NEPHELINITE, OLIVINE [20343]",81.1,153,16.5,62.2,10.8,3.3,8.4,1.1,5.1,0.9,2.1,0.3,1.6,0.2
-19.41,47.2,"NEPHELINITE, OLIVINE [20343]",62.1,118,13,49.9,9.4,3,7.9,1.1,5.3,0.9,2.2,0.3,1.6,0.3
21.34,-157.85,"NEPHELINITE, MELILITE [20349]",69.7,144,17.4,70.2,14.4,4.39,11.7,1.47,6.22,0.906,1.9,0.2,1.08,0.14
21.34,-157.85,"NEPHELINITE, MELILITE [20349]",73,152,18.5,74.7,15.4,4.63,12.6,1.58,6.67,0.97,2.04,0.21,1.17,0.152
21.34,-157.85,"NEPHELINITE, MELILITE [20349]",71.1,147,17.9,72.1,14.8,4.53,12.1,1.51,6.38,0.926,1.95,0.2,1.11,0.146
21.34,-157.85,"NEPHELINITE, MELILITE [20349]",70,145,17.6,70.9,14.6,4.44,11.9,1.5,6.35,0.928,1.95,0.21,1.12,0.145
21.34,-157.85,"NEPHELINITE, MELILITE [20349]",72.1,149,18.1,72.8,14.9,4.56,12.2,1.54,6.46,0.931,1.95,0.2,1.11,0.146
21.34,-157.85,"NEPHELINITE, MELILITE [20349]",71.5,149,18.1,73.3,15.1,4.61,12.3,1.54,6.44,0.937,1.95,0.2,1.13,0.146
21.34,-157.85,"NEPHELINITE, MELILITE [20349]",73.8,152,18.5,74.5,15.3,4.62,12.5,1.57,6.65,0.965,2.01,0.21,1.15,0.151
