"LATITUDE.MIN","LONGITUDE.MIN","ROCK.NAME","LA.PPM.","CE.PPM.","PR.PPM.","ND.PPM.","SM.PPM.","EU.PPM.","GD.PPM.","TB.PPM.","DY.PPM.","HO.PPM.","ER.PPM.","TM.PPM.","YB.PPM.","LU.PPM."
22.8,41.38,"PERIDOTITE, XENOLITH [20037]",0.5,1.1,0.11,0.5,0.09,0.04,0.12,0.02,0.19,0.03,0.11,0.02,0.13,0.02
22.8,41.38,"PERIDOTITE, XENOLITH [20037]",1.1,2,0.25,1.1,0.24,0.1,0.32,0.05,0.36,0.09,0.23,0.03,0.23,0.04
22.8,41.38,"PERIDOTITE, XENOLITH [20037]",0.2,0.2,0.02,0.3,0.05,0.04,0.16,0.04,0.31,0.07,0.26,0.04,0.29,0.04
22.8,41.38,"PERIDOTITE, XENOLITH [20037]",0.6,1.1,0.14,0.5,0.08,0.06,0.15,0.03,0.16,0.03,0.12,0.01,0.13,0.02
22.8,41.38,"PERIDOTITE, XENOLITH [20037]",0.3,0.5,0.04,0.3,0.05,0.02,0.05,0.01,0.05,0.02,0.03,0.01,0.05,0.01
22.8,41.38,"PERIDOTITE, XENOLITH [20037]",0.6,1.3,0.11,0.5,0.05,0.04,0.09,0.01,0.09,0.02,0.07,0.01,0.08,0.01
22.8,41.38,"PERIDOTITE, XENOLITH [20037]",0.4,0.6,0.05,0.3,0.05,0.03,0.18,0.04,0.32,0.07,0.22,0.04,0.28,0.04
22.8,41.38,"PERIDOTITE, XENOLITH [20037]",0.4,0.8,0.07,0.5,0.05,0.04,0.14,0.03,0.21,0.07,0.11,0.04,0.18,0.03
22.8,41.38,"PERIDOTITE, XENOLITH [20037]",0.56,1,0.11,0.53,0.09,0.05,0.17,0.03,0.24,0.06,0.17,0.03,0.2,0.03
68,27,"PERIDOTITE [20106]",0.37,1.21,0.19,0.95,0.37,0,0.42,0,0.7,0.14,0.43,0,0.42,0
68,27,"PERIDOTITE [20106]",0.88,1.5,0.24,1.38,0.41,0,0.62,0,0.57,0.14,0.44,0,0.43,0
68,27,"PERIDOTITE [20106]",0.66,1.76,0.27,1.54,0.64,0,0.91,0.17,1.23,0.21,0.69,0,0.73,0.12
68,27,"PERIDOTITE [20106]",0.99,1.14,0.2,1.12,0.5,0,0.74,0.13,0.84,0.22,0.58,0,0.56,0
68,27,"PERIDOTITE [20106]",0.17,1.11,0.2,1.37,0.52,0,0.71,0.13,0.86,0.21,0.57,0.11,0.62,0
26.92,9.37,"PERIDOTITE, GARNET, XENOLITH [20273]",1.21,2.72,0.35,1.63,0.38,0.14,0.46,0.08,0.53,0.11,0.3,0.04,0.27,0.05
26.92,9.37,"PERIDOTITE, SPINEL, XENOLITH [20273]",2.37,3.03,0.25,0.85,0.17,0.07,0.25,0.05,0.35,0.08,0.23,0.03,0.23,0.04
26.92,9.37,"PERIDOTITE, SPINEL, XENOLITH [20273]",7.87,17.9,1.95,7.4,1.19,0.38,0.98,0.14,0.79,0.14,0.37,0.05,0.33,0.05
26.92,9.37,"PERIDOTITE, SPINEL, XENOLITH [20273]",4.57,10.1,1.24,5.32,1.03,0.35,0.96,0.13,0.75,0.13,0.31,0.04,0.24,0.04
26.92,9.37,"PERIDOTITE, SPINEL, XENOLITH [20273]",7.97,20.4,2.38,9.61,1.6,0.52,1.3,0.18,1.08,0.19,0.5,0.07,0.43,0.07
26.92,9.37,"PERIDOTITE, SPINEL, XENOLITH [20273]",10.2,26.7,3.12,12.6,2,0.66,1.55,0.21,1.14,0.2,0.5,0.07,0.43,0.07
26.92,9.37,"PERIDOTITE, SPINEL, XENOLITH [20273]",4.27,7.92,0.81,2.99,0.45,0.16,0.42,0.06,0.42,0.09,0.24,0.03,0.23,0.04
26.92,9.37,"PERIDOTITE, SPINEL, XENOLITH [20273]",1.86,2.03,0.14,0.48,0.12,0.05,0.19,0.04,0.27,0.06,0.17,0.03,0.17,0.03
26.92,9.37,"PERIDOTITE, SPINEL, XENOLITH [20273]",3.08,7.9,1.05,4.54,0.83,0.27,0.7,0.09,0.53,0.09,0.21,0.03,0.18,0.03
26.92,9.37,"PERIDOTITE, SPINEL, XENOLITH [20273]",1.91,4.83,0.62,2.62,0.48,0.15,0.39,0.05,0.27,0.04,0.1,0.01,0.08,0.01
26.92,9.37,"PERIDOTITE, SPINEL, XENOLITH [20273]",5.93,12.8,1.47,5.68,0.87,0.28,0.71,0.09,0.56,0.11,0.28,0.04,0.26,0.04
26.92,9.37,"PERIDOTITE, SPINEL, XENOLITH [20273]",5.53,14.6,1.85,7.57,1.29,0.41,1.04,0.14,0.82,0.15,0.37,0.05,0.32,0.05
26.92,9.37,"PERIDOTITE, SPINEL, XENOLITH [20273]",5.97,11.3,1.08,3.63,0.52,0.18,0.5,0.08,0.54,0.11,0.32,0.05,0.32,0.05
45.72,4.02,"PERIDOTITE, XENOLITH [18618]",2.29,3.141,0.28,0.86,0.129,0.049,0.188,0.038,0.28,0.063,0.19,0.03,0.21,0.035
45.72,4.02,"PERIDOTITE, XENOLITH [18618]",3.39,7.22,0.78,2.76,0.387,0.119,0.316,0.05,0.32,0.071,0.21,0.032,0.22,0.038
45.72,4.02,"PERIDOTITE, XENOLITH [18618]",2.27,2.883,0.21,0.55,0.106,0.041,0.179,0.038,0.3,0.071,0.22,0.035,0.24,0.042
45.72,4.02,"PERIDOTITE, XENOLITH [18618]",1.56,2.362,0.19,0.51,0.116,0.049,0.192,0.041,0.31,0.077,0.23,0.038,0.26,0.043
