"LATITUDE.MIN","LONGITUDE.MIN","ROCK.NAME","LA.PPM.","CE.PPM.","PR.PPM.","ND.PPM.","SM.PPM.","EU.PPM.","GD.PPM.","TB.PPM.","DY.PPM.","HO.PPM.","ER.PPM.","TM.PPM.","YB.PPM.","LU.PPM."
31.75,115.75,"TRACHYBASALT [20008]",65,126,15.2,58.4,9.61,2.52,7.4,0.9,4.54,0.85,2.18,0.3,1.94,0.29
31.75,115.75,"TRACHYBASALT [20008]",80.5,154,17.8,66.4,11,2.8,8.71,1.07,5.32,0.96,2.39,0.32,1.98,0.29
31.75,115.75,"TRACHYBASALT [20008]",79.7,152,17.7,65.5,11,2.8,8.75,1.06,5.37,0.95,2.39,0.32,1.98,0.3
18.5258,-99.1958,"TRACHYBASALT [20033]",24.6,57.8,7.4,28.6,6.4,2,5.7,1,5.49,1.07,3,0.43,2.74,0.41
18.6892,-99.2336,"TRACHYBASALT [20033]",28.7,53.6,8.7,33.7,7.4,2.3,6.6,1.16,6.22,1.2,3.34,0.48,3.07,0.47
42.5564,124.3381,"TRACHYBASALT [20335]",24.3,52.9,6.47,26.3,5.3,1.6,4.98,0.7,4.15,0.81,2.12,0.32,2.08,0.29
42.5553,124.3636,"TRACHYBASALT [20335]",25.3,57.6,8.01,33.7,6.55,1.91,5.6,0.8,4.18,0.83,2.16,0.31,2.01,0.3
42.5828,124.2158,"TRACHYBASALT [20335]",50.9,115,15.5,59.2,11.9,2.84,9.21,1.16,5.42,0.93,2.29,0.31,1.9,0.281
42,128,"TRACHYBASALT [20416]",37.6,76.1,9.3,38.2,8,2.9,7.4,1,6,1,2.3,0.3,1.6,0.2
35,-99,"TRACHYBASALT [20451]",19.4116,44.6341,6.6725,22.77285801,4.958940441,2.1795,6.5463,1.0236,5.9042,1.1748,3.3246,0.467,3.0017,0.4481
35,-99,"TRACHYBASALT [20451]",25.2342,59.3134,8.4373,40.4248,9.3652,2.7851,9.2974,1.4564,8.2525,1.606,4.4523,0.6113,3.8524,0.5633
29.5,96.5,"TRACHYBASALT [16208]",15.8,72.1,5.09,21.3,4.99,1.24,5.11,0.89,5.27,1.11,3.15,0.47,3.07,0.46
