"LATITUDE.MIN","LONGITUDE.MIN","ROCK.NAME","LA.PPM.","CE.PPM.","PR.PPM.","ND.PPM.","SM.PPM.","EU.PPM.","GD.PPM.","TB.PPM.","DY.PPM.","HO.PPM.","ER.PPM.","TM.PPM.","YB.PPM.","LU.PPM."
31.75,115.75,"TRACHYDACITE [20008]",50.9,84.6,9.32,30.7,5.05,1.17,4.13,0.64,3.15,0.61,1.97,0.27,1.85,0.27
31.75,115.75,"TRACHYDACITE [20008]",46.9,83.4,9.54,32.7,5.53,1.4,4.38,0.64,2.86,0.55,1.63,0.21,1.37,0.2
31.75,115.75,"TRACHYDACITE [20008]",56.4,94.8,10.5,34.8,5.37,1.22,4.34,0.65,3.03,0.58,1.86,0.25,1.63,0.25
31.75,115.75,"TRACHYDACITE [20008]",52.4,93.4,10.6,35.9,6.03,1.39,4.68,0.67,3.04,0.56,1.7,0.21,1.4,0.2
31.75,115.75,"TRACHYDACITE [20008]",58.8,100,11.5,39.3,6.87,1.5,5.18,0.81,3.78,0.75,2.3,0.31,2.06,0.31
31.75,115.75,"TRACHYDACITE [20008]",61.8,105,12,40.8,6.76,1.46,5.46,0.84,4.02,0.76,2.31,0.31,2.02,0.31
31.75,115.75,"TRACHYDACITE [20008]",57.6,102,11.5,38.4,6.59,1.48,5.01,0.8,3.73,0.72,2.14,0.29,1.97,0.28
31.75,115.75,"TRACHYDACITE [20008]",58.9,102,11.6,38.9,6.67,1.5,5.24,0.8,3.86,0.74,2.22,0.3,2.03,0.29
31.75,115.75,"TRACHYDACITE [20008]",42.2,71.1,7.39,23.7,3.92,0.99,3.08,0.45,2.04,0.39,1.22,0.16,1.05,0.16
31.75,115.75,"TRACHYDACITE [20008]",43.9,72.1,7.55,24.5,4.06,0.95,3.04,0.46,2.08,0.39,1.22,0.16,1.09,0.16
31.75,115.75,"TRACHYDACITE [20008]",54.6,98.7,11.1,37.5,6.45,1.44,5.06,0.79,3.75,0.72,2.17,0.29,1.9,0.28
31.75,115.75,"TRACHYDACITE [20008]",56.9,103,11.3,38.1,6.34,1.39,4.86,0.79,3.7,0.71,2.12,0.29,1.96,0.29
31.75,115.75,"TRACHYDACITE [20008]",48.2,81.9,8.96,29.4,4.68,1.13,3.8,0.59,2.88,0.57,1.69,0.24,1.7,0.25
31.75,115.75,"TRACHYDACITE [20008]",42.1,77.4,8.81,31,5.04,1.31,3.68,0.52,2.22,0.4,1.15,0.14,0.94,0.13
31.75,115.75,"TRACHYDACITE [20008]",41.3,70.7,8.19,28.7,4.71,1.36,3.92,0.58,2.8,0.53,1.64,0.22,1.51,0.22
31.75,115.75,"TRACHYDACITE [20008]",41.5,67,7.2,23.7,4.02,0.97,3.07,0.45,2.09,0.38,1.15,0.16,1.05,0.16
39.2,43,"TRACHYDACITE [20322]",56,109.6,11.9,43.4,7.48,1.6,6.19,1.02,5.95,1.14,3.4,0.51,3.22,0.48
39.2,43,"TRACHYDACITE [20322]",59.1,118.4,12.92,51.1,9.17,2.03,9.33,1.49,8.9,1.72,4.86,0.75,4.28,0.69
39.2,43,"TRACHYDACITE [20322]",53.2,103.7,11.76,41.8,6.91,1.36,6.23,0.98,5.55,1.08,3.24,0.48,3.38,0.48
39.2,43,"TRACHYDACITE [20322]",56.3,112.2,12.56,44.5,7.61,1.44,6.66,1.06,5.91,1.17,3.47,0.53,3.52,0.53
39.2,43,"TRACHYDACITE [20322]",49.7,98.3,10.58,39,6.99,1.29,5.69,0.91,5.55,1.05,3.02,0.47,3.01,0.46
33.4425,-111.4622,"TRACHYDACITE [20344]",28.6,54.3,5.7,23.4,3.5,0.7,2.8,0.4,2.4,0.4,1.2,0.2,1.3,0.2
53,90,"TRACHYDACITE [20388]",55.6,128.9,14.6,55.9,9.71,1.74,8.5,1.31,8.53,1.81,5.52,0.85,5.84,0.93
32,82,"TRACHYDACITE [18619]",79.35,167.7,21.62,73.78,12.14,1.16,7.58,0.83,3.31,0.51,1.52,0.18,1.16,0.18
53,13,"TRACHYDACITE [10179]",30,63,7.4,27,5.3,0.86,4.6,0.71,3.6,0.7,2,0.31,2,0.3
53,13,"TRACHYDACITE [10179]",33,66,7.6,28,5.3,1.2,6.8,0.59,3.9,0.74,2.2,0.33,2.1,0.33
30.346,39.348,"TRACHYDACITE [20713]",39.8,75.5,8.87,34.2,6.72,1.57,6.25,0.9,5.22,1.05,2.91,0.43,2.71,0.4
30.648,39.418,"TRACHYDACITE [20713]",42.4,73.3,7.78,25.3,5.01,0.86,4.28,0.65,3.6,0.76,2.19,0.34,2.15,0.33
30.648,39.418,"TRACHYDACITE [20713]",38.5,66.5,7.55,27.3,5.24,1.09,4.8,0.71,4.13,0.84,2.25,0.34,2.45,0.37
29.8467,86.7467,"TRACHYDACITE [20736]",100,204,26.8,108,20.1,3.05,11,1.21,5.19,0.74,1.77,0.23,1.46,0.2
31.9347,81.1238,"TRACHYDACITE [20736]",93.1,192,21.1,76.6,11.9,1.3,6.61,0.67,2.96,0.47,1.19,0.16,1.09,0.14
31.905,81.17,"TRACHYDACITE [20736]",99,195,22,80.1,12.4,1.4,6.9,0.69,3.03,0.52,1.34,0.17,1.11,0.15
31.905,81.17,"TRACHYDACITE [20736]",98.4,197,22.1,78,12.2,1.4,6.25,0.63,2.85,0.44,1.13,0.16,1.02,0.13
31.905,81.17,"TRACHYDACITE [20736]",97.6,201,22.1,79.7,12.1,1.46,6.62,0.69,2.98,0.49,1.39,0.19,1.12,0.16
31.3722,84.391,"TRACHYDACITE [20736]",83,167,18.2,64.5,10.1,1.59,5.58,0.57,2.31,0.36,0.98,0.14,0.95,0.11
31.3722,84.391,"TRACHYDACITE [20736]",85.2,177,18.6,66.6,10.1,1.62,5.77,0.58,2.48,0.38,1.01,0.15,0.94,0.12
40.937,12.858,"TRACHYDACITE [20721]",42.5,72.6,7.2,24.6,4.2,0.9,3.4,0.6,3.4,0.7,2.1,0.3,2.1,0.3
40.937,12.858,"TRACHYDACITE [20721]",48.9,81.4,8.3,27.4,4.5,0.8,3.3,0.5,3,0.6,1.8,0.3,1.9,0.4
40.937,12.858,"TRACHYDACITE [20721]",34.8,60.6,6,20.8,3.7,0.8,3,0.5,3,0.7,2,0.3,2.1,0.3
40.93043,12.83838,"TRACHYDACITE [20721]",37.5,66,6.4,21.1,3.5,0.4,2.6,0.5,3.1,0.6,2.1,0.3,2.3,0.4
30.43,-6.81,"TRACHYDACITE [20901]",67.8,132,16,63.6,11,1.45,9.81,1.67,9.67,1.97,5.5,0.82,5.04,0.8
30.43,-6.81,"TRACHYDACITE [20901]",73.7,145,16.2,60,11.2,2.46,9.69,1.52,9.6,1.93,5.54,0.8,5.12,0.75
30.43,-6.81,"TRACHYDACITE [20901]",70.3,140,17.6,67.5,12.6,1.19,11.2,1.83,9.96,2.02,5.49,0.77,5.72,0.83
40.0028,115.9625,"TRACHYDACITE [21078]",43,70.3,9.34,33.2,4.9,1.26,3.3,0.53,2.49,0.51,1.57,0.21,1.42,0.23
-32.95,-65.7833,"TRACHYDACITE [20991]",42.1,75.6,8.73,31.8,5.5,1.59,3.7,0.5,2.8,0.5,1.6,0.25,1.7,0.28
-24.67,-68.17,"TRACHYDACITE [5168]",46,96,10.5,38,6.8,1.1,5.7,0.73,4.5,0.85,2.39,0.35,2.25,0.45
29,103,"TRACHYDACITE [21395]",46,92,10.4,41.1,8.19,1.34447758923029,7.52444310844896,1.24,7.07,1.41,4.04,0.601,4.15,0.588
40,42,"TRACHYDACITE [21630]",33.9,59.2,6.68,24.3,4.59,1.33,4.3,0.71,4.45,0.89,2.63,0.4,2.64,0.4
40,42,"TRACHYDACITE [21630]",37.3,67.6,7.48,27.5,5.05,1.28,5,0.82,5.17,1.02,3.39,0.51,3.31,0.54
40,42,"TRACHYDACITE [21630]",35.3,63,7.02,24.7,5.16,1.23,5.11,0.84,5.38,1.08,3.2,0.51,3.51,0.53
41,104,"TRACHYDACITE [21780]",17.2869731,39.8809187,4.8219304,17.4097237,2.9750042,0.9833186,2.2467345,0.3099103,1.6657438,0.3217931,0.8488652,0.1219277,0.7660113,0.1126222
41,104,"TRACHYDACITE [21780]",18.1700092,41.9742408,5.0002078,18.2518158,3.272091,0.9931404,2.8547803,0.4503508,2.6669346,0.5552955,1.6094989,0.2544747,1.7101299,0.2669808
37.7024,45.9785,"TRACHYDACITE [21910]",34,61,6.3,23,3.3,0.9,2.8,0.3,1.8,0.3,0.9,0,0.9,0
38.4151,45.5672,"TRACHYDACITE [21910]",12.4,22,2.5,9.5,1.8,0.7,2,0.2,1.8,0.4,1.3,0,1.4,0.2
37.7389,45.2532,"TRACHYDACITE [21910]",42,75,7.7,26,4.5,1.2,2.9,0.4,2.2,0.5,1.3,0.2,1.3,0.2
38.9213,44.2476,"TRACHYDACITE [21910]",72,116,11.3,36,5.1,1.2,4,0.5,3.1,0.6,1.6,0.2,1.8,0.3
43.5731,95.9686,"TRACHYDACITE [22272]",26.1,61,6.7,30.6,5.3,1.3,5.04,0.85,5,0.97,3.06,0.45,2.86,0.46
43.575,97.0656,"TRACHYDACITE [22272]",24.4,48.2,5.5,21.9,3.7,0.72,2.44,0.4,2.69,0.55,1.71,0.28,1.98,0.35
10.069871269,-73.868432771,"TRACHYDACITE [22303]",36.8,68.9,8.39,26,4.7,1.77,4.93,0.76,4.3,0.78,2.24,0.34,2.13,0.32
10.16953871,-73.767385572,"TRACHYDACITE [22303]",34.9,67.1,8.21,29.7,5.14,1.37,4.42,0.7,4,0.8,2.47,0.41,2.78,0.44
40.87,37.76,"TRACHYDACITE [15790]",38.7,45.1,6.73,24.2,4.3,0.96,3.9,0.54,2.92,0.59,1.59,0.24,1.64,0.28
40.87,37.76,"TRACHYDACITE [15790]",28.5,48,5.34,18.7,3.3,0.88,3.12,0.48,2.8,0.55,1.58,0.23,1.73,0.26
