"LATITUDE.MIN","LONGITUDE.MIN","ROCK.NAME","LA.PPM.","CE.PPM.","PR.PPM.","ND.PPM.","SM.PPM.","EU.PPM.","GD.PPM.","TB.PPM.","DY.PPM.","HO.PPM.","ER.PPM.","TM.PPM.","YB.PPM.","LU.PPM."
33.07,-16.33,"TRACHYTE [635] / BASALT [3348]",128,221,23,79,13.1,3.94,12.5,1.8,11.2,2.59,8.54,1.26,8.84,1.43
40.971,124.5479,"TRACHYTE [20006]",116,200,21.1,72,12.3,3.36,7.85,0.88,4.33,0.71,1.58,0.22,1.36,0.2
40.971,124.5479,"TRACHYTE [20006]",191,260,34.1,116,18.4,3.84,12,1.36,6.69,1.08,2.55,0.36,2.27,0.33
40.971,124.5479,"TRACHYTE [20006]",126,192,19.8,65.7,9.72,2.34,6.17,0.67,3.17,0.5,1.15,0.17,1.01,0.15
40.971,124.5479,"TRACHYTE [20006]",212,328,29.7,89.7,14.1,3.45,10,1.24,6.45,1.11,2.66,0.4,2.45,0.35
32,81.6933,"TRACHYTE [20030]",66,183,29.7,136,25,3.8,14,1.46,5.69,0.82,2.17,0.25,1.42,0.21
31.8783,81.805,"TRACHYTE [20030]",90,259,35.8,161,31.2,4.74,16.3,1.73,7.31,1.12,2.47,0.36,1.91,0.28
35.0312,-114.4548,"TRACHYTE [20061]",115,223,24.1,87,12.7,2.95,9.3,1.1,5.75,1.05,2.95,0.44,2.81,0.46
35.0309,-114.3751,"TRACHYTE [20061]",87,172,18.5,66,10.3,2.14,7.9,1,5.36,1,2.84,0.4,2.57,0.41
34.9768,-114.3838,"TRACHYTE [20061]",94,189,20.6,74,11.5,2.75,7.7,1.04,5.49,1.03,2.66,0.37,2.28,0.35
35.0486,-114.4755,"TRACHYTE [20061]",173,338,35.6,106,18.1,3.14,10.9,1.45,7.6,1.41,3.93,0.57,3.49,0.5
34.9665,-114.2683,"TRACHYTE [20061]",133,236,26.9,98,13.7,3.52,9,1.07,5.51,0.98,2.82,0.4,2.55,0.43
34.9172,-114.2213,"TRACHYTE [20061]",174,320,35.8,129,18.8,2.84,12,1.39,7.11,1.27,3.43,0.48,2.98,0.49
34.9041,-114.3282,"TRACHYTE [20061]",147,298,32.3,112,16.8,2.66,11.4,1.52,7.58,1.38,3.81,0.54,3.46,0.54
40,30,"TRACHYTE [20101]",39,70.3,7.65,28.2,4.71,1.43,4.2,0.59,3.37,0.74,2.05,0.33,2.13,0.39
40,30,"TRACHYTE [20101]",25.8,43.8,4.97,17.6,3.29,0.94,3.26,0.45,2.9,0.56,1.42,0.24,1.3,0.24
40,30,"TRACHYTE [20101]",36.9,70.7,7.3,27.7,4.62,1.37,4.38,0.67,3.93,0.74,2.25,0.37,2.44,0.38
38.72,-27.22,"TRACHYTE [20129]",82.7,163,18.2,71.1,14.6,4.09,13.5,2.3,12.2,2.3,7.1,1.01,6,0.87
38.72,-27.22,"TRACHYTE [20129]",103.7,201,22.2,85.4,17.7,3.42,15.9,2.8,15.2,2.9,8.9,1.32,7.8,1.11
-32.6928,-68.9967,"TRACHYTE [20186]",47.9,91.1,10.3,39.3,7.4,2.1,6.1,0.8,4.2,0.8,2.4,0.4,2.5,0.4
-32.6928,-68.9967,"TRACHYTE [20186]",58.6,113,12.4,45,7.6,1.9,5.9,0.8,3.9,0.8,2.3,0.3,2.2,0.4
-14,48,"TRACHYTE, QUARTZ [20197]",98.3,185.1,20.5,71.8,11.8,2.3,9,1.3,7.1,1.3,3.4,0.5,3,0.4
27.5,-15.5,"TRACHYTE [4744]",90.3,179,23.5,87.2,15.9,5.72,14.4,2,10.7,2.03,5.32,0.677,4.29,0.563
