"LATITUDE.MIN","LONGITUDE.MIN","ROCK.NAME","LA.PPM.","CE.PPM.","PR.PPM.","ND.PPM.","SM.PPM.","EU.PPM.","GD.PPM.","TB.PPM.","DY.PPM.","HO.PPM.","ER.PPM.","TM.PPM.","YB.PPM.","LU.PPM."
63.569,-18.451,"TRANSITIONAL BASALT [9565]",29,68.7,9.24,40.6,9.86,3.19,9.77,1.49,8.39,1.55,3.98,0.52,3.21,0.447
64.807,-15.633,"TRANSITIONAL BASALT [9565]",16.6,36.5,4.64,19.3,4.44,1.47,4.48,0.669,3.82,0.726,1.91,0.26,1.67,0.234
63.397,-20.28,"TRANSITIONAL BASALT [9565] / NOT GIVEN [20356]",8.78,21.6,3.09,14.3,3.96,1.39,4.48,0.734,4.5,0.902,2.45,0.338,2.18,0.313
64.866,-21.978,"TRANSITIONAL BASALT [9565]",13.4,31.7,4.11,17.6,4.08,1.33,3.94,0.608,3.74,0.754,2.1,0.275,1.85,0.265
64.864,-22.366,"TRANSITIONAL BASALT [9565]",21.3,48.3,6.31,27.1,6.14,2,6.13,0.926,5.41,1.06,2.84,0.396,2.51,0.364
64.965,-22.884,"TRANSITIONAL BASALT [9565] / NOT GIVEN [20356]",19.6,42,5.26,21.2,4.43,1.39,4.3,0.625,3.6,0.699,1.9,0.26,1.69,0.246
-0.78,-91.03,"TRANSITIONAL BASALT [600]",24.8,54,6.9,31.8,8.78,2.9,8.6,1.51,8.9,1.78,4.8,0.62,3.69,0.56
-0.78,-91.03,"TRANSITIONAL BASALT [600]",19.6,42.9,5.7,26.3,7.39,2.5,7.2,1.28,7.6,1.53,4,0.52,3.15,0.48
-0.78,-91.03,"TRANSITIONAL BASALT [600]",18.6,40.9,5.4,24.6,7.04,2.4,7.3,1.25,7.4,1.41,3.9,0.48,2.93,0.43
-0.78,-91.03,"TRANSITIONAL BASALT [600]",25,55.5,7,32.3,8.85,3,8.7,1.53,9.3,1.8,4.9,0.62,3.7,0.57
-0.78,-91.03,"TRANSITIONAL BASALT [600]",15.7,34.3,4.5,20.7,5.93,2.1,6,1.05,6.2,1.19,3.2,0.41,2.5,0.38
-0.78,-91.03,"TRANSITIONAL BASALT [600]",23.7,51.6,6.6,30.1,8.3,2.8,8.4,1.47,8.6,1.68,4.5,0.59,3.48,0.53
-0.78,-91.03,"TRANSITIONAL BASALT [600]",19.7,43.2,5.7,26,7.43,2.6,7.5,1.29,7.7,1.49,4,0.52,2.94,0.46
-0.78,-91.03,"TRANSITIONAL BASALT [600]",20.3,44.6,5.7,26.2,7.16,2.5,7.1,1.27,7.6,1.48,4,0.51,3.09,0.46
-0.78,-91.03,"TRANSITIONAL BASALT [600]",15.9,34.4,4.5,20.6,5.81,2,5.6,1.01,6.1,1.2,3.2,0.41,2.46,0.37
-0.78,-91.03,"TRANSITIONAL BASALT [600]",24.9,54.3,7,31.8,8.72,3,8.7,1.52,9,1.73,4.8,0.62,3.66,0.56
-0.78,-91.03,"TRANSITIONAL BASALT [600]",21,45.4,6,27.9,7.76,2.6,7.5,1.34,7.9,1.53,4,0.54,3.16,0.48
-0.78,-91.03,"TRANSITIONAL BASALT [600]",30.1,66.4,8.6,39.8,10.8,3.5,10,1.79,11,2.08,5.4,0.7,4.25,0.65
-0.78,-91.03,"TRANSITIONAL BASALT [600]",16,34.6,4.6,21.2,6.14,2.2,6.3,1.09,6.4,1.25,3.3,0.42,2.51,0.39
-0.78,-91.03,"TRANSITIONAL BASALT [600]",20.3,43.7,5.7,26.1,7.11,2.5,6.9,1.22,7.4,1.45,3.9,0.5,3.05,0.46
-0.78,-91.03,"TRANSITIONAL BASALT [600]",20.8,45.3,5.8,27.3,7.66,2.6,7.5,1.29,7.8,1.52,4.1,0.54,3.13,0.47
-0.87,-91.35,"TRANSITIONAL BASALT [5038]",22.46,47.2,5.87,26.52,6.88,2.3,6.81,1.12,6.77,1.3,3.54,0.47,2.75,0.42
-0.87,-91.35,"TRANSITIONAL BASALT [5038]",19.07,40.37,5.14,22.99,5.99,2.07,6.14,1,5.95,1.15,3.14,0.4,2.46,0.37
9.135,39.9383,"TRANSITIONAL BASALT [20947]",16.1,37.6,4.23,18.3,4.08,1.67,4.09,0.64,3.32,0.63,1.68,0.23,1.4,0.21
9.1394,39.9372,"TRANSITIONAL BASALT [20947]",16.5,37.1,4.59,20.6,4.94,2.1,5.27,0.81,4.91,0.98,2.67,0.39,2.4,0.35
9.5517,40.0808,"TRANSITIONAL BASALT [20947]",17.1,40.4,4.56,19.7,4.35,1.77,4.35,0.69,3.58,0.68,1.82,0.26,1.56,0.23
9.9739,40.0958,"TRANSITIONAL BASALT [20947]",16.1,39.3,4.57,20.6,4.87,1.91,5,0.82,4.42,0.86,2.32,0.33,2,0.29
9.9731,40.1933,"TRANSITIONAL BASALT [20947]",16.8,40.8,4.75,21.1,5.04,1.94,5.25,0.89,4.94,0.98,2.69,0.39,2.4,0.35
9.0408,40.3922,"TRANSITIONAL BASALT [20947]",15.2,36.2,4.66,21.6,5.13,2.21,5.45,0.83,4.96,0.98,2.65,0.38,2.39,0.35
9.1219,40.4572,"TRANSITIONAL BASALT [20947]",12.2,28.6,3.75,17.4,4.01,1.85,4.09,0.59,3.45,0.66,1.77,0.25,1.58,0.23
9.1353,39.9514,"TRANSITIONAL BASALT [20947]",17.53,38.12,4.87,21.05,4.71,1.79,4.7,0.7,3.93,0.75,2.04,0.27,1.78,0.26
9.15,39.9533,"TRANSITIONAL BASALT [20947]",19.13,42.15,5.28,22.55,4.93,1.85,4.97,0.73,4.16,0.78,2.15,0.29,1.84,0.27
9.1489,39.9539,"TRANSITIONAL BASALT [20947]",17.53,41.02,4.62,19.93,4.4,1.81,4.4,0.69,3.62,0.7,1.85,0.26,1.61,0.23
9.9311,40.2694,"TRANSITIONAL BASALT [20947]",15.34,32.5,4,17.87,4.09,1.63,4.38,0.71,4.15,0.81,2.28,0.33,2.12,0.3
9.9411,40.0728,"TRANSITIONAL BASALT [20947]",16.59,36.22,4.95,22.02,5.14,1.98,5.55,0.85,4.95,0.97,2.69,0.37,2.4,0.34
9.7556,40.0308,"TRANSITIONAL BASALT [20947]",25.38,57.16,7.4,33.3,7.65,3.02,7.61,1.19,6.71,1.34,3.56,0.52,3.09,0.46
48.8,-87.27,"TRANSITIONAL BASALT [13001]",17.89,51.18,6.86,30.72,6.91,2.419,7,1.006,6.27,1.22,3.17,0.468,2.89,0.427
48.8,-87.27,"THOLEIITIC BASALT [5575] / TRANSITIONAL BASALT [13001]",7.5,20.5,3.02,15.18,4.71,1.34,5.72,0.98,6.85,1.41,4.06,0.6,4.2,0.65
48.6,-87.85,"TRANSITIONAL BASALT [5198]",12.92,34.36,4.76,21.37,5.53,1.903,5.87,0.931,4.93,0.952,2.49,0.409,2.17,0.317
48.6,-87.85,"TRANSITIONAL BASALT [5198]",13.43,32.92,4.41,21.25,5.49,1.86,5.82,0.81,4.98,0.9,2.41,0.34,1.94,0.27
48.6,-87.85,"ALKALI BASALT [5198] / TRANSITIONAL BASALT [13001]",22.62,54.02,6.75,28.8,5.68,1.71,4.92,0.59,3.41,0.56,1.41,0.2,1.12,0.15
50.92,-123.41,"BASALT [7175] / TRANSITIONAL BASALT [19246]",14.2695418721311,29.996377316596,4.16104105576329,18.455506402277,4.6831115089888,1.65430786485831,5.10334419229786,0.74675577431305,4.26131853354547,0.82371568556337,2.20174906827326,0.310673046497007,1.79429147082909,0.257129572171343
50.69,-123.57,"BASALT [7175] / TRANSITIONAL BASALT [19246]",12.696866350314,29.8873256632033,4.0357416967393,17.4856573744615,4.21160150109081,1.51376537132406,4.19873013845262,0.651458736033271,3.76332132500953,0.687701777832208,1.79922368666303,0.243359813510293,1.48168430191894,0.206598500657124
50.69,-123.57,"BASALT [7175] / TRANSITIONAL BASALT [19246]",15.4480926295779,31.3829077147263,4.15739169339971,18.1484583800297,4.37945642127158,1.5728230200263,4.77082560564226,0.682023285255762,3.80980284693878,0.735805738594321,1.92826594426261,0.274069962471537,1.53803388764787,0.222269400045692
50.55,-123.53,"BASALT [7175] / TRANSITIONAL BASALT [19246]",8.38147068495668,20.6308682203621,3.03729853128194,13.9852072676835,3.96864912880247,1.43185121426882,4.31835791272719,0.63803100479501,3.89223506102822,0.686690760411875,1.88135921985657,0.253991180990716,1.57068614613162,0.22169977113508
50.52,-123.58,"BASALT [7175] / TRANSITIONAL BASALT [19246]",13.4867740540373,32.578662282073,4.45096175796616,19.2867380992297,4.70167794387121,1.67005939898203,4.83237489483429,0.714372752902288,4.06099081533177,0.743895531008095,2.18212371467651,0.281262356885703,1.7707352171337,0.226841556395685
